,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,2024-01-01,BBUSDT_0.0,NOTUSDT_0.0,WIFUSDT_0.0,SOLUSDT_0,BTCUSDT_0,ORDIUSDT_0,LINKUSDT_0,1000BONKUSDT_0,ALICEUSDT_0,DOGEUSDT_0,BOMEUSDT_0.0,PEOPLEUSDT_0,ETHUSDT_0,JASMYUSDT_0,1000SHIBUSDT_0,WLDUSDT_0,HIGHUSDT_0,1000FLOKIUSDT_0,1000PEPEUSDT_0,XRPUSDT_0,ETHFIUSDT_0.0,ONDOUSDT_0.0,ENAUSDT_0.0,BNBUSDT_0,UNIUSDT_0,LDOUSDT_0,OMNIUSDT_0.0,STGUSDT_0,ENSUSDT_0,BEAMXUSDT_0,ARBUSDT_0,NEARUSDT_0,AVAXUSDT_0,ETCUSDT_0,ARUSDT_0,AUCTIONUSDT_0,FRONTUSDT_0,MATICUSDT_0,FILUSDT_0,DOTUSDT_0,BCHUSDT_0,BIGTIMEUSDT_0,ADAUSDT_0,ENJUSDT_0,TIAUSDT_0,OPUSDT_0,FETUSDT_0,OMUSDT_0.0,AEVOUSDT_0.0,WUSDT_0.0,FTMUSDT_0,GALAUSDT_0,1000SATSUSDT_0,RNDRUSDT_0
1,2024-01-02,BBUSDT_0.0,NOTUSDT_0.0,WIFUSDT_0.0,SOLUSDT_0,BTCUSDT_0,ORDIUSDT_0,LINKUSDT_0,1000BONKUSDT_0,ALICEUSDT_0,DOGEUSDT_0,BOMEUSDT_0.0,PEOPLEUSDT_0,ETHUSDT_0,JASMYUSDT_0,1000SHIBUSDT_0,WLDUSDT_0,HIGHUSDT_0,1000FLOKIUSDT_0,1000PEPEUSDT_0,XRPUSDT_0,ETHFIUSDT_0.0,ONDOUSDT_0.0,ENAUSDT_0.0,BNBUSDT_0,UNIUSDT_0,LDOUSDT_0,OMNIUSDT_0.0,STGUSDT_0,ENSUSDT_0,BEAMXUSDT_0,ARBUSDT_0,NEARUSDT_0,AVAXUSDT_0,ETCUSDT_0,ARUSDT_0,AUCTIONUSDT_0,FRONTUSDT_0,MATICUSDT_0,FILUSDT_0,DOTUSDT_0,BCHUSDT_0,BIGTIMEUSDT_0,ADAUSDT_0,ENJUSDT_0,TIAUSDT_0,OPUSDT_0,FETUSDT_0,OMUSDT_0.0,AEVOUSDT_0.0,WUSDT_0.0,FTMUSDT_0,GALAUSDT_0,1000SATSUSDT_0,RNDRUSDT_0
2,2024-01-03,BBUSDT_0.0,NOTUSDT_0.0,WIFUSDT_0.0,SOLUSDT_0,BTCUSDT_0,ORDIUSDT_0,LINKUSDT_0,1000BONKUSDT_0,ALICEUSDT_0,DOGEUSDT_0,BOMEUSDT_0.0,PEOPLEUSDT_0,ETHUSDT_0,JASMYUSDT_0,1000SHIBUSDT_0,WLDUSDT_0,HIGHUSDT_0,1000FLOKIUSDT_0,1000PEPEUSDT_0,XRPUSDT_0,ETHFIUSDT_0.0,ONDOUSDT_0.0,ENAUSDT_0.0,BNBUSDT_0,UNIUSDT_0,LDOUSDT_0,OMNIUSDT_0.0,STGUSDT_0,ENSUSDT_0,BEAMXUSDT_0,ARBUSDT_0,NEARUSDT_0,AVAXUSDT_0,ETCUSDT_0,ARUSDT_0,AUCTIONUSDT_0,FRONTUSDT_0,MATICUSDT_0,FILUSDT_0,DOTUSDT_0,BCHUSDT_0,BIGTIMEUSDT_0,ADAUSDT_0,ENJUSDT_0,TIAUSDT_0,OPUSDT_0,FETUSDT_0,OMUSDT_0.0,AEVOUSDT_0.0,WUSDT_0.0,FTMUSDT_0,GALAUSDT_0,1000SATSUSDT_0,RNDRUSDT_0
3,2024-01-04,BBUSDT_0.0,NOTUSDT_0.0,WIFUSDT_0.0,SOLUSDT_0,BTCUSDT_0,ORDIUSDT_0,LINKUSDT_0,1000BONKUSDT_0,ALICEUSDT_0,DOGEUSDT_0,BOMEUSDT_0.0,PEOPLEUSDT_0,ETHUSDT_0,JASMYUSDT_0,1000SHIBUSDT_0,WLDUSDT_0,HIGHUSDT_0,1000FLOKIUSDT_0,1000PEPEUSDT_0,XRPUSDT_0,ETHFIUSDT_0.0,ONDOUSDT_0.0,ENAUSDT_0.0,BNBUSDT_0,UNIUSDT_0,LDOUSDT_0,OMNIUSDT_0.0,STGUSDT_0,ENSUSDT_0,BEAMXUSDT_0,ARBUSDT_0,NEARUSDT_0,AVAXUSDT_0,ETCUSDT_0,ARUSDT_0,AUCTIONUSDT_0,FRONTUSDT_0,MATICUSDT_0,FILUSDT_0,DOTUSDT_0,BCHUSDT_0,BIGTIMEUSDT_0,ADAUSDT_0,ENJUSDT_0,TIAUSDT_0,OPUSDT_0,FETUSDT_0,OMUSDT_0.0,AEVOUSDT_0.0,WUSDT_0.0,FTMUSDT_0,GALAUSDT_0,1000SATSUSDT_0,RNDRUSDT_0
4,2024-01-05,BBUSDT_0.0,NOTUSDT_0.0,WIFUSDT_0.0,SOLUSDT_0,BTCUSDT_0,ORDIUSDT_0,LINKUSDT_0,1000BONKUSDT_0,ALICEUSDT_0,DOGEUSDT_0,BOMEUSDT_0.0,PEOPLEUSDT_0,ETHUSDT_0,JASMYUSDT_0,1000SHIBUSDT_0,WLDUSDT_0,HIGHUSDT_0,1000FLOKIUSDT_0,1000PEPEUSDT_0,XRPUSDT_0,ETHFIUSDT_0.0,ONDOUSDT_0.0,ENAUSDT_0.0,BNBUSDT_0,UNIUSDT_0,LDOUSDT_0,OMNIUSDT_0.0,STGUSDT_0,ENSUSDT_0,BEAMXUSDT_0,ARBUSDT_0,NEARUSDT_0,AVAXUSDT_0,ETCUSDT_0,ARUSDT_0,AUCTIONUSDT_0,FRONTUSDT_0,MATICUSDT_0,FILUSDT_0,DOTUSDT_0,BCHUSDT_0,BIGTIMEUSDT_0,ADAUSDT_0,ENJUSDT_0,TIAUSDT_0,OPUSDT_0,FETUSDT_0,OMUSDT_0.0,AEVOUSDT_0.0,WUSDT_0.0,FTMUSDT_0,GALAUSDT_0,1000SATSUSDT_0,RNDRUSDT_0
5,2024-01-06,BBUSDT_0.0,NOTUSDT_0.0,WIFUSDT_0.0,SOLUSDT_0,BTCUSDT_0,ORDIUSDT_0,LINKUSDT_0,1000BONKUSDT_0,ALICEUSDT_0,DOGEUSDT_0,BOMEUSDT_0.0,PEOPLEUSDT_0,ETHUSDT_0,JASMYUSDT_0,1000SHIBUSDT_0,WLDUSDT_0,HIGHUSDT_0,1000FLOKIUSDT_0,1000PEPEUSDT_0,XRPUSDT_0,ETHFIUSDT_0.0,ONDOUSDT_0.0,ENAUSDT_0.0,BNBUSDT_0,UNIUSDT_0,LDOUSDT_0,OMNIUSDT_0.0,STGUSDT_0,ENSUSDT_0,BEAMXUSDT_0,ARBUSDT_0,NEARUSDT_0,AVAXUSDT_0,ETCUSDT_0,ARUSDT_0,AUCTIONUSDT_0,FRONTUSDT_0,MATICUSDT_0,FILUSDT_0,DOTUSDT_0,BCHUSDT_0,BIGTIMEUSDT_0,ADAUSDT_0,ENJUSDT_0,TIAUSDT_0,OPUSDT_0,FETUSDT_0,OMUSDT_0.0,AEVOUSDT_0.0,WUSDT_0.0,FTMUSDT_0,GALAUSDT_0,1000SATSUSDT_0,RNDRUSDT_0
6,2024-01-07,BBUSDT_0.0,NOTUSDT_0.0,WIFUSDT_0.0,SOLUSDT_0,BTCUSDT_0,ORDIUSDT_0,LINKUSDT_0,1000BONKUSDT_0,ALICEUSDT_0,DOGEUSDT_0,BOMEUSDT_0.0,PEOPLEUSDT_0,ETHUSDT_0,JASMYUSDT_0,1000SHIBUSDT_0,WLDUSDT_0,HIGHUSDT_0,1000FLOKIUSDT_0,1000PEPEUSDT_0,XRPUSDT_0,ETHFIUSDT_0.0,ONDOUSDT_0.0,ENAUSDT_0.0,BNBUSDT_0,UNIUSDT_0,LDOUSDT_0,OMNIUSDT_0.0,STGUSDT_0,ENSUSDT_0,BEAMXUSDT_0,ARBUSDT_0,NEARUSDT_0,AVAXUSDT_0,ETCUSDT_0,ARUSDT_0,AUCTIONUSDT_0,FRONTUSDT_0,MATICUSDT_0,FILUSDT_0,DOTUSDT_0,BCHUSDT_0,BIGTIMEUSDT_0,ADAUSDT_0,ENJUSDT_0,TIAUSDT_0,OPUSDT_0,FETUSDT_0,OMUSDT_0.0,AEVOUSDT_0.0,WUSDT_0.0,FTMUSDT_0,GALAUSDT_0,1000SATSUSDT_0,RNDRUSDT_0
7,2024-01-08,BBUSDT_0.0,NOTUSDT_0.0,WIFUSDT_0.0,SOLUSDT_0,BTCUSDT_0,ORDIUSDT_0,LINKUSDT_0,1000BONKUSDT_0,ALICEUSDT_0,DOGEUSDT_0,BOMEUSDT_0.0,PEOPLEUSDT_0,ETHUSDT_0,JASMYUSDT_0,1000SHIBUSDT_0,WLDUSDT_0,HIGHUSDT_0,1000FLOKIUSDT_0,1000PEPEUSDT_0,XRPUSDT_0,ETHFIUSDT_0.0,ONDOUSDT_0.0,ENAUSDT_0.0,BNBUSDT_0,UNIUSDT_0,LDOUSDT_0,OMNIUSDT_0.0,STGUSDT_0,ENSUSDT_0,BEAMXUSDT_0,ARBUSDT_0,NEARUSDT_0,AVAXUSDT_0,ETCUSDT_0,ARUSDT_0,AUCTIONUSDT_0,FRONTUSDT_0,MATICUSDT_0,FILUSDT_0,DOTUSDT_0,BCHUSDT_0,BIGTIMEUSDT_0,ADAUSDT_0,ENJUSDT_0,TIAUSDT_0,OPUSDT_0,FETUSDT_0,OMUSDT_0.0,AEVOUSDT_0.0,WUSDT_0.0,FTMUSDT_0,GALAUSDT_0,1000SATSUSDT_0,RNDRUSDT_0
8,2024-01-09,AUCTIONUSDT_-5206.607060680552,FILUSDT_-2963.792097544651,WLDUSDT_-2828.0950979837253,FRONTUSDT_-2796.172652758553,FTMUSDT_-2757.8858554763556,NEARUSDT_-2715.952339939212,ALICEUSDT_-2522.818959249112,1000SATSUSDT_-2472.440601442662,ENJUSDT_-2409.6175000860435,TIAUSDT_-2251.3524203302186,1000FLOKIUSDT_-2230.3168891695173,LDOUSDT_-2175.628384032678,HIGHUSDT_-2113.5874895224283,ARBUSDT_-1849.829397118689,UNIUSDT_-1810.7307540802403,BEAMXUSDT_-1800.6552890102591,ARUSDT_-1777.3683536124138,JASMYUSDT_-1753.9907820525546,RNDRUSDT_-1741.0820952868573,GALAUSDT_-1693.405048107696,STGUSDT_-1648.5534274206404,ADAUSDT_-1594.894819574105,1000SHIBUSDT_-1553.3893737737535,MATICUSDT_-1548.3489462692994,AVAXUSDT_-1496.0537193322054,OPUSDT_-1490.8187366692055,FETUSDT_-1334.199688335859,SOLUSDT_-1294.5792433332774,1000PEPEUSDT_-1256.6103938261406,DOGEUSDT_-1105.6248214309846,BNBUSDT_-1105.5251829436747,DOTUSDT_-1040.496996072984,1000BONKUSDT_-680.813265756618,ORDIUSDT_-569.417160392738,ETCUSDT_-558.1857766326553,LINKUSDT_-543.7427566138609,XRPUSDT_-350.31315098840815,ENSUSDT_-74.98533980047132,BBUSDT_0.0,NOTUSDT_0.0,WIFUSDT_0.0,BOMEUSDT_0.0,ETHFIUSDT_0.0,ONDOUSDT_0.0,ENAUSDT_0.0,OMNIUSDT_0.0,OMUSDT_0.0,AEVOUSDT_0.0,WUSDT_0.0,ETHUSDT_428.03160855949847,BCHUSDT_600.7323412053701,BTCUSDT_1203.7881601833947,BIGTIMEUSDT_2287.160512675555,PEOPLEUSDT_7337.3058176543755
9,2024-01-10,AUCTIONUSDT_-6051.388460002377,FRONTUSDT_-4000.7026127322583,PEOPLEUSDT_-3699.39108199456,WLDUSDT_-2539.631182984971,FILUSDT_-2402.7871624294917,1000SATSUSDT_-2368.630464465633,FTMUSDT_-1959.6776086594139,ALICEUSDT_-1917.4270991004184,NEARUSDT_-1887.3791888442079,UNIUSDT_-1733.6988312355802,1000FLOKIUSDT_-1527.1660586959301,ARUSDT_-1494.4336478506978,GALAUSDT_-1372.5500544102586,HIGHUSDT_-1202.0593664153216,ARBUSDT_-1075.9432381498723,ENJUSDT_-1048.880524915598,MATICUSDT_-927.6784736910116,BEAMXUSDT_-777.4316887353663,STGUSDT_-720.4049356891711,BNBUSDT_-697.8097077253451,JASMYUSDT_-643.1528953431332,DOGEUSDT_-631.3776765061251,ADAUSDT_-584.6399151282357,DOTUSDT_-241.36208026400047,ENSUSDT_-215.22394906853265,1000PEPEUSDT_-121.21142620131758,FETUSDT_-83.54260404032836,XRPUSDT_-82.04463733630989,1000SHIBUSDT_-27.4879498563314,BBUSDT_0.0,NOTUSDT_0.0,WIFUSDT_0.0,BOMEUSDT_0.0,ETHFIUSDT_0.0,ONDOUSDT_0.0,ENAUSDT_0.0,OMNIUSDT_0.0,OMUSDT_0.0,AEVOUSDT_0.0,WUSDT_0.0,LINKUSDT_121.65661051328502,OPUSDT_156.82925075560252,AVAXUSDT_266.1138269713402,RNDRUSDT_301.5136741960845,ORDIUSDT_707.5391721093526,ETCUSDT_764.2727541561264,ETHUSDT_872.5073234243483,SOLUSDT_1342.536312999637,BCHUSDT_1535.6322742380103,TIAUSDT_1617.632028533431,BTCUSDT_1910.665817556585,LDOUSDT_2019.2236107744347,BIGTIMEUSDT_3950.329662992064,1000BONKUSDT_6573.01388258716
