datetime,open,high,low,close,volume
2023-07-29 03:00:00,0.671,0.6764,0.6647,0.6741,872548.0
2023-07-29 04:00:00,0.6735,0.6751,0.6626,0.6681,616806.0
2023-07-29 05:00:00,0.6678,0.6747,0.6667,0.6689,400152.0
2023-07-29 06:00:00,0.6689,0.6789,0.6686,0.6729,467475.0
2023-07-29 07:00:00,0.6728,0.6914,0.6712,0.682,1620732.0
2023-07-29 08:00:00,0.682,0.6862,0.675,0.6755,684388.0
2023-07-29 09:00:00,0.6754,0.6994,0.6754,0.6919,1666941.0
2023-07-29 10:00:00,0.6916,0.7116,0.6851,0.7037,3340658.0
2023-07-29 11:00:00,0.7038,0.71,0.6973,0.7065,1794484.0
2023-07-29 12:00:00,0.7065,0.7145,0.694,0.6965,1959482.0
2023-07-29 13:00:00,0.6966,0.705,0.6947,0.6975,733392.0
2023-07-29 14:00:00,0.6971,0.7013,0.6892,0.6925,793813.0
2023-07-29 15:00:00,0.6925,0.7075,0.6916,0.704,725602.0
2023-07-29 16:00:00,0.7039,0.708,0.696,0.7032,787591.0
2023-07-29 17:00:00,0.7031,0.7236,0.6992,0.7212,1173496.0
2023-07-29 18:00:00,0.7213,0.7439,0.7161,0.7393,6906145.0
2023-07-29 19:00:00,0.7393,0.7794,0.73,0.7631,11433444.0
2023-07-29 20:00:00,0.763,0.7732,0.7545,0.7637,10385137.0
2023-07-29 21:00:00,0.7636,0.767,0.7478,0.753,5583524.0
2023-07-29 22:00:00,0.7531,0.7542,0.7422,0.7454,3124727.0
2023-07-29 23:00:00,0.7454,0.7595,0.7448,0.7505,3400933.0
2023-07-30 00:00:00,0.7509,0.7537,0.732,0.7401,3579995.0
2023-07-30 01:00:00,0.7401,0.7463,0.7218,0.7291,3794255.0
2023-07-30 02:00:00,0.729,0.7295,0.7147,0.7184,7746775.0
2023-07-30 03:00:00,0.7187,0.7287,0.7175,0.7188,3072531.0
2023-07-30 04:00:00,0.7189,0.7339,0.7167,0.7232,5149519.0
2023-07-30 05:00:00,0.7232,0.7322,0.72,0.7255,5118115.0
2023-07-30 06:00:00,0.7256,0.7259,0.7,0.7046,9756854.0
2023-07-30 07:00:00,0.7046,0.7048,0.6967,0.7013,3402766.0
2023-07-30 08:00:00,0.7013,0.704,0.69,0.7007,3208053.0
2023-07-30 09:00:00,0.7007,0.7019,0.6923,0.7004,1839550.0
2023-07-30 10:00:00,0.7005,0.7047,0.6946,0.6984,1945357.0
2023-07-30 11:00:00,0.6984,0.704,0.6955,0.6984,1482841.0
2023-07-30 12:00:00,0.6984,0.6986,0.6827,0.6903,3177251.0
2023-07-30 13:00:00,0.691,0.6945,0.6802,0.685,2230890.0
2023-07-30 14:00:00,0.6851,0.6949,0.6832,0.6907,1508124.0
2023-07-30 15:00:00,0.6905,0.6935,0.6832,0.689,1241894.0
2023-07-30 16:00:00,0.6889,0.6945,0.685,0.6881,974529.0
2023-07-30 17:00:00,0.6882,0.6921,0.6875,0.6912,609374.0
2023-07-30 18:00:00,0.6913,0.6987,0.6905,0.6933,1029416.0
2023-07-30 19:00:00,0.6933,0.6952,0.6562,0.6738,4579107.0
2023-07-30 20:00:00,0.6738,0.6817,0.6609,0.6813,2186570.0
2023-07-30 21:00:00,0.6813,0.682,0.6736,0.68,1022311.0
2023-07-30 22:00:00,0.6799,0.6808,0.6742,0.6787,898432.0
2023-07-30 23:00:00,0.6787,0.6913,0.6778,0.6882,1055387.0
2023-07-31 00:00:00,0.688,0.6929,0.678,0.6903,1964549.0
2023-07-31 01:00:00,0.6904,0.6928,0.6808,0.6845,1003404.0
2023-07-31 02:00:00,0.6846,0.6864,0.6788,0.6793,907820.0
2023-07-31 03:00:00,0.6796,0.6834,0.6765,0.6797,761095.0
2023-07-31 04:00:00,0.6798,0.6808,0.6662,0.6705,1730780.0
2023-07-31 05:00:00,0.6706,0.6709,0.6626,0.665,1402837.0
2023-07-31 06:00:00,0.665,0.6667,0.66,0.6631,1101085.0
2023-07-31 07:00:00,0.6627,0.6688,0.6618,0.6636,672315.0
2023-07-31 08:00:00,0.6638,0.672,0.6625,0.6657,1237877.0
2023-07-31 09:00:00,0.6657,0.666,0.6502,0.6554,2712773.0
2023-07-31 10:00:00,0.6555,0.6561,0.6486,0.6515,1548297.0
2023-07-31 11:00:00,0.6517,0.655,0.6495,0.6541,1087885.0
2023-07-31 12:00:00,0.6543,0.6589,0.6533,0.6569,1042663.0
2023-07-31 13:00:00,0.6566,0.661,0.6491,0.6523,1450244.0
