datetime,open,high,low,close,volume
2021-03-16 03:00:00,19.0,25.49,19.0,23.389,299458.9
2021-03-16 04:00:00,23.389,25.183,22.652,23.065,217905.0
2021-03-16 05:00:00,23.065,23.664,21.367,22.129,243621.8
2021-03-16 06:00:00,22.081,22.256,20.67,20.806,245448.1
2021-03-16 07:00:00,20.798,22.5,20.798,22.158,219522.9
2021-03-16 08:00:00,22.178,22.248,20.372,20.413,218583.8
2021-03-16 09:00:00,20.414,20.643,18.453,18.963,739909.5
2021-03-16 10:00:00,18.962,19.372,17.544,18.188,522126.7
2021-03-16 11:00:00,18.186,18.564,17.302,18.242,347460.9
2021-03-16 12:00:00,18.25,19.114,17.078,17.463,453254.3
2021-03-16 13:00:00,17.498,17.634,16.517,16.63,590807.6
2021-03-16 14:00:00,16.63,17.101,15.564,16.092,836322.3
2021-03-16 15:00:00,16.071,17.199,15.581,16.727,609383.1
2021-03-16 16:00:00,16.727,17.814,16.331,17.671,557720.4
2021-03-16 17:00:00,17.651,17.719,15.557,15.91,602576.2
2021-03-16 18:00:00,15.904,16.79,15.899,16.098,313712.7
2021-03-16 19:00:00,16.067,17.2,16.0,16.7,335817.8
2021-03-16 20:00:00,16.704,17.5,16.437,17.393,308774.1
2021-03-16 21:00:00,17.416,17.949,16.819,17.339,357574.2
2021-03-16 22:00:00,17.339,17.339,16.404,16.649,201840.6
2021-03-16 23:00:00,16.647,17.272,16.4,17.099,118899.7
2021-03-17 00:00:00,17.099,18.88,16.729,18.539,311824.8
2021-03-17 01:00:00,18.541,18.88,17.52,17.669,267670.2
2021-03-17 02:00:00,17.669,18.0,16.873,17.703,184073.6
2021-03-17 03:00:00,17.736,17.776,17.049,17.421,135724.1
2021-03-17 04:00:00,17.419,17.768,16.5,16.611,194207.5
2021-03-17 05:00:00,16.61,16.877,16.0,16.462,218354.0
2021-03-17 06:00:00,16.485,16.876,16.43,16.564,105929.7
2021-03-17 07:00:00,16.567,16.899,16.2,16.577,150911.1
2021-03-17 08:00:00,16.578,16.953,16.311,16.757,132215.5
2021-03-17 09:00:00,16.749,16.788,15.7,15.975,230607.5
2021-03-17 10:00:00,15.999,16.436,15.802,16.242,132959.8
2021-03-17 11:00:00,16.24,16.286,15.676,15.841,161145.4
2021-03-17 12:00:00,15.841,15.885,14.67,15.123,416037.0
2021-03-17 13:00:00,15.127,15.6,15.029,15.034,295066.3
2021-03-17 14:00:00,15.034,15.088,14.176,14.3,531567.6
2021-03-17 15:00:00,14.3,15.339,14.1,15.037,341724.3
2021-03-17 16:00:00,15.037,15.374,14.496,14.737,306109.9
2021-03-17 17:00:00,14.737,14.867,14.3,14.578,203063.9
2021-03-17 18:00:00,14.578,15.614,14.578,15.579,323204.7
2021-03-17 19:00:00,15.564,15.873,14.97,15.334,211530.1
2021-03-17 20:00:00,15.31,15.859,15.08,15.54,210564.9
2021-03-17 21:00:00,15.524,15.556,15.063,15.318,152722.5
2021-03-17 22:00:00,15.3,15.317,14.905,15.19,131771.1
2021-03-17 23:00:00,15.17,15.364,14.439,14.607,304624.0
2021-03-18 00:00:00,14.613,14.976,14.324,14.615,187891.2
2021-03-18 01:00:00,14.615,14.887,14.345,14.85,124050.1
2021-03-18 02:00:00,14.85,15.424,14.802,14.962,242473.9
2021-03-18 03:00:00,14.962,17.481,14.962,16.958,722533.3
2021-03-18 04:00:00,17.002,17.2,16.233,16.78,364948.4
2021-03-18 05:00:00,16.766,19.95,16.735,19.769,1476591.2
2021-03-18 06:00:00,19.749,19.82,18.19,18.239,913045.4
2021-03-18 07:00:00,18.24,18.8,17.67,18.39,656594.6
2021-03-18 08:00:00,18.385,18.422,17.088,17.49,496445.5
2021-03-18 09:00:00,17.475,18.148,17.217,17.425,360315.4
2021-03-18 10:00:00,17.453,17.979,17.2,17.95,240349.7
2021-03-18 11:00:00,17.958,18.33,17.346,17.466,523934.5
2021-03-18 12:00:00,17.466,17.518,16.389,16.502,710328.6
2021-03-18 13:00:00,16.502,17.165,16.429,16.759,372366.2
2021-03-18 14:00:00,16.742,17.059,15.89,16.148,459033.7
2021-03-18 15:00:00,16.148,16.564,15.955,16.327,340592.7
2021-03-18 16:00:00,16.335,16.51,15.828,15.939,284589.7
2021-03-18 17:00:00,15.954,17.0,15.912,16.983,367810.3
2021-03-18 18:00:00,16.965,16.987,16.0,16.173,307726.8
2021-03-18 19:00:00,16.173,16.556,16.0,16.129,207889.7
2021-03-18 20:00:00,16.131,16.657,16.05,16.44,160462.5
2021-03-18 21:00:00,16.437,16.481,16.092,16.362,114626.2
2021-03-18 22:00:00,16.379,16.541,16.132,16.132,103694.9
2021-03-18 23:00:00,16.13,17.149,16.1,17.045,275917.0
2021-03-19 00:00:00,17.047,17.066,16.015,16.452,387898.5
2021-03-19 01:00:00,16.458,16.682,16.2,16.542,117078.8
2021-03-19 02:00:00,16.542,17.03,16.391,17.014,158750.4
2021-03-19 03:00:00,17.03,18.044,16.953,17.755,717779.9
2021-03-19 04:00:00,17.783,17.785,16.726,16.803,258304.0
2021-03-19 05:00:00,16.801,16.883,16.32,16.573,297076.3
2021-03-19 06:00:00,16.57,16.877,16.358,16.491,222265.7
2021-03-19 07:00:00,16.467,16.578,16.014,16.058,289406.7
2021-03-19 08:00:00,16.058,16.385,16.01,16.301,208296.1
2021-03-19 09:00:00,16.312,16.401,16.08,16.199,137250.8
2021-03-19 10:00:00,16.184,16.324,16.09,16.23,127483.3
2021-03-19 11:00:00,16.239,16.585,16.1,16.493,299837.6
2021-03-19 12:00:00,16.494,16.88,16.281,16.383,233111.1
2021-03-19 13:00:00,16.376,16.383,16.095,16.222,156084.4
2021-03-19 14:00:00,16.222,16.427,16.144,16.394,139535.4
2021-03-19 15:00:00,16.406,16.536,16.3,16.417,107533.5
2021-03-19 16:00:00,16.406,16.681,16.188,16.502,247071.5
2021-03-19 17:00:00,16.512,16.527,16.2,16.229,103658.3
2021-03-19 18:00:00,16.242,16.344,16.15,16.267,66954.3
2021-03-19 19:00:00,16.267,16.354,16.141,16.161,70598.0
2021-03-19 20:00:00,16.161,16.254,15.025,15.587,534820.0
2021-03-19 21:00:00,15.587,15.75,15.217,15.363,202921.3
2021-03-19 22:00:00,15.349,15.431,15.03,15.278,254155.6
2021-03-19 23:00:00,15.278,15.345,15.049,15.218,156839.9
2021-03-20 00:00:00,15.236,15.5,15.15,15.29,145321.5
2021-03-20 01:00:00,15.293,15.579,15.25,15.512,95382.7
2021-03-20 02:00:00,15.512,15.54,15.167,15.234,93856.8
2021-03-20 03:00:00,15.23,15.311,15.05,15.136,106004.5
2021-03-20 04:00:00,15.127,15.408,15.11,15.294,92388.0
2021-03-20 05:00:00,15.294,15.31,15.16,15.192,56432.1
2021-03-20 06:00:00,15.207,15.589,15.185,15.504,162868.4
2021-03-20 07:00:00,15.504,15.526,15.249,15.453,99716.9
2021-03-20 08:00:00,15.467,15.555,15.266,15.412,96923.8
2021-03-20 09:00:00,15.411,15.517,15.25,15.324,105729.8
2021-03-20 10:00:00,15.324,15.4,15.15,15.241,111778.5
2021-03-20 11:00:00,15.222,15.42,15.222,15.328,97515.0
2021-03-20 12:00:00,15.328,15.374,15.122,15.256,94244.3
2021-03-20 13:00:00,15.256,15.492,15.166,15.21,168107.1
2021-03-20 14:00:00,15.21,15.329,15.11,15.242,131931.4
2021-03-20 15:00:00,15.26,15.274,15.156,15.221,81571.3
2021-03-20 16:00:00,15.228,15.297,15.02,15.053,164608.9
2021-03-20 17:00:00,15.052,15.149,14.1,14.597,754448.6
2021-03-20 18:00:00,14.598,14.9,14.597,14.694,141308.1
2021-03-20 19:00:00,14.694,14.929,14.678,14.832,65174.1
2021-03-20 20:00:00,14.833,14.836,14.3,14.568,195706.9
2021-03-20 21:00:00,14.568,14.719,14.406,14.661,88017.6
2021-03-20 22:00:00,14.672,14.845,14.413,14.531,102471.8
2021-03-20 23:00:00,14.53,14.599,14.378,14.4,114003.6
2021-03-21 00:00:00,14.407,14.801,13.292,14.068,668675.2
2021-03-21 01:00:00,14.064,14.276,13.961,14.077,95334.6
2021-03-21 02:00:00,14.077,14.105,13.711,13.838,127981.1
2021-03-21 03:00:00,13.838,14.1,13.762,14.1,73748.7
2021-03-21 04:00:00,14.1,14.1,13.386,13.497,230246.3
2021-03-21 05:00:00,13.496,13.657,13.418,13.617,105467.6
2021-03-21 06:00:00,13.608,13.735,13.356,13.54,143177.3
2021-03-21 07:00:00,13.54,13.714,13.5,13.543,100666.3
2021-03-21 08:00:00,13.552,14.267,13.536,13.926,233045.3
2021-03-21 09:00:00,13.931,14.243,13.55,13.704,225000.7
2021-03-21 10:00:00,13.693,13.867,13.513,13.618,114822.1
2021-03-21 11:00:00,13.628,13.667,13.15,13.433,239626.2
2021-03-21 12:00:00,13.434,13.515,13.061,13.44,265815.6
2021-03-21 13:00:00,13.435,14.28,13.394,13.982,312386.0
2021-03-21 14:00:00,13.982,14.481,13.656,13.756,322281.3
2021-03-21 15:00:00,13.759,13.953,13.656,13.8,176360.4
2021-03-21 16:00:00,13.797,13.799,13.46,13.666,188367.2
2021-03-21 17:00:00,13.685,13.7,13.546,13.595,68970.8
2021-03-21 18:00:00,13.594,13.879,13.594,13.856,69325.2
2021-03-21 19:00:00,13.855,14.0,13.731,13.881,71970.3
2021-03-21 20:00:00,13.883,14.267,13.872,14.102,125607.2
2021-03-21 21:00:00,14.101,14.46,14.05,14.221,166910.4
2021-03-21 22:00:00,14.214,14.241,13.903,13.987,99525.3
2021-03-21 23:00:00,13.987,14.359,13.982,14.08,113892.2
2021-03-22 00:00:00,14.098,14.147,13.257,13.36,236117.3
2021-03-22 01:00:00,13.366,13.599,13.24,13.323,111042.8
2021-03-22 02:00:00,13.307,13.581,13.2,13.533,84821.0
2021-03-22 03:00:00,13.532,14.096,13.526,13.708,186540.9
2021-03-22 04:00:00,13.705,13.736,13.478,13.59,76021.8
2021-03-22 05:00:00,13.59,13.678,13.402,13.641,81313.7
2021-03-22 06:00:00,13.64,13.81,13.573,13.589,75642.8
2021-03-22 07:00:00,13.589,13.79,13.449,13.56,89141.8
2021-03-22 08:00:00,13.552,13.577,13.333,13.367,98947.1
2021-03-22 09:00:00,13.367,13.536,13.301,13.495,74039.2
2021-03-22 10:00:00,13.495,13.747,13.464,13.558,111030.5
2021-03-22 11:00:00,13.558,13.9,13.53,13.759,150733.5
2021-03-22 12:00:00,13.761,13.778,13.443,13.494,121648.6
2021-03-22 13:00:00,13.485,13.575,13.2,13.497,252625.3
2021-03-22 14:00:00,13.495,13.692,13.41,13.447,116940.6
2021-03-22 15:00:00,13.464,13.505,13.305,13.373,91958.6
2021-03-22 16:00:00,13.39,13.891,13.114,13.572,382396.3
2021-03-22 17:00:00,13.575,13.872,13.364,13.4,247415.7
