datetime,open,high,low,close,volume
2020-09-23 07:00:00,3.93,4.4124,3.8728,4.09,1668350.0
2020-09-23 08:00:00,4.0848,4.3151,3.9801,4.2278,1115225.0
2020-09-23 09:00:00,4.2237,4.2272,4.0563,4.203,618779.0
2020-09-23 10:00:00,4.2039,4.3368,4.0814,4.2245,854303.0
2020-09-23 11:00:00,4.2251,4.3797,4.11,4.1785,740321.0
2020-09-23 12:00:00,4.1807,4.395,4.031,4.2901,845244.0
2020-09-23 13:00:00,4.29,4.6092,4.245,4.4083,1230540.0
2020-09-23 14:00:00,4.4129,4.4527,4.1562,4.2145,764520.0
2020-09-23 15:00:00,4.2154,4.2736,4.027,4.1002,738453.0
2020-09-23 16:00:00,4.108,4.2768,4.0751,4.2754,732734.0
2020-09-23 17:00:00,4.2754,4.331,4.115,4.156,570260.0
2020-09-23 18:00:00,4.1571,4.275,3.966,3.9683,560770.0
2020-09-23 19:00:00,3.9683,4.0785,3.6374,3.7149,1188162.0
2020-09-23 20:00:00,3.7155,3.9082,3.3778,3.5468,919618.0
2020-09-23 21:00:00,3.5468,3.6173,3.424,3.5539,696833.0
2020-09-23 22:00:00,3.5542,3.6899,3.4582,3.5673,545453.0
2020-09-23 23:00:00,3.5706,3.6261,3.424,3.5136,499701.0
2020-09-24 00:00:00,3.5123,3.6206,3.4171,3.5534,486486.0
2020-09-24 01:00:00,3.5521,3.74,3.5452,3.6229,371793.0
2020-09-24 02:00:00,3.624,3.833,3.594,3.7141,493458.0
2020-09-24 03:00:00,3.7127,3.82,3.6894,3.7311,364570.0
2020-09-24 04:00:00,3.731,3.7735,3.565,3.5935,348188.0
2020-09-24 05:00:00,3.5958,3.666,3.5201,3.6124,366038.0
2020-09-24 06:00:00,3.6098,3.7645,3.6097,3.6706,345905.0
2020-09-24 07:00:00,3.6705,3.9339,3.6705,3.8357,547091.0
2020-09-24 08:00:00,3.8313,4.2199,3.8303,4.0975,775915.0
2020-09-24 09:00:00,4.0988,4.2041,3.8539,4.0233,822818.0
2020-09-24 10:00:00,4.022,4.2919,4.0001,4.2547,643355.0
2020-09-24 11:00:00,4.2484,4.435,4.2237,4.2978,802297.0
2020-09-24 12:00:00,4.2956,4.3503,3.9263,3.9556,792168.0
2020-09-24 13:00:00,3.9508,4.0742,3.8151,3.96,813163.0
2020-09-24 14:00:00,3.9586,4.1217,3.931,4.1143,591495.0
2020-09-24 15:00:00,4.1177,4.2246,4.0177,4.1399,551982.0
2020-09-24 16:00:00,4.1398,4.2945,4.0532,4.1819,533964.0
2020-09-24 17:00:00,4.1782,4.195,4.1211,4.1635,241423.0
2020-09-24 18:00:00,4.163,4.248,3.9844,3.9844,358744.0
2020-09-24 19:00:00,3.9929,4.161,3.9843,4.1603,280540.0
2020-09-24 20:00:00,4.1603,4.2437,4.07,4.0768,353028.0
2020-09-24 21:00:00,4.0786,4.3142,4.07,4.2686,318307.0
2020-09-24 22:00:00,4.2688,4.7533,4.2687,4.6679,1035019.0
2020-09-24 23:00:00,4.6775,4.86,4.514,4.6133,731075.0
2020-09-25 00:00:00,4.6129,4.6755,4.3624,4.479,568451.0
2020-09-25 01:00:00,4.4793,4.63,4.4202,4.4744,383361.0
2020-09-25 02:00:00,4.4745,4.62,4.4708,4.5424,296990.0
2020-09-25 03:00:00,4.5425,4.7715,4.4401,4.4881,524845.0
2020-09-25 04:00:00,4.4899,4.6496,4.4544,4.5869,381622.0
2020-09-25 05:00:00,4.5865,4.62,4.4526,4.4526,429920.0
2020-09-25 06:00:00,4.4549,4.7253,4.4091,4.7221,529748.0
2020-09-25 07:00:00,4.7238,4.8198,4.559,4.5734,761010.0
2020-09-25 08:00:00,4.5658,4.6425,4.3509,4.4262,692317.0
2020-09-25 09:00:00,4.421,4.5239,4.316,4.393,589238.0
2020-09-25 10:00:00,4.397,4.4758,4.2588,4.2684,439399.0
2020-09-25 11:00:00,4.2707,4.4132,4.189,4.3724,574614.0
2020-09-25 12:00:00,4.3728,4.4601,4.3102,4.3965,458375.0
2020-09-25 13:00:00,4.3978,4.5715,4.3876,4.5619,445511.0
