datetime,open,high,low,close,volume
2024-03-01 16:00:00,2.0187,2.064,1.9784,1.9853,1703288.9
2024-03-01 17:00:00,1.9852,2.0082,1.96,1.9754,956231.3
2024-03-01 18:00:00,1.9753,2.0011,1.9633,1.9833,860746.2
2024-03-01 19:00:00,1.9834,1.998,1.9278,1.9524,1064842.6
2024-03-01 20:00:00,1.9536,1.9586,1.9067,1.9273,1388327.7
2024-03-01 21:00:00,1.9273,1.9283,1.88,1.9119,1293616.3
2024-03-01 22:00:00,1.9128,1.9519,1.9058,1.9423,817213.2
2024-03-01 23:00:00,1.943,2.0034,1.9413,1.9751,1337598.4
2024-03-02 00:00:00,1.975,1.9753,1.8917,1.929,921214.7
2024-03-02 01:00:00,1.929,1.9298,1.899,1.9262,820581.9
2024-03-02 02:00:00,1.9261,1.9442,1.9085,1.9104,684223.4
2024-03-02 03:00:00,1.9108,1.9188,1.8972,1.9091,529770.0
2024-03-02 04:00:00,1.9081,1.9124,1.8933,1.8989,429941.1
2024-03-02 05:00:00,1.8989,1.9047,1.84,1.8621,1124055.4
2024-03-02 06:00:00,1.8621,1.8775,1.8447,1.8736,725810.6
2024-03-02 07:00:00,1.8738,1.9637,1.8737,1.9347,1808995.0
2024-03-02 08:00:00,1.9347,1.987,1.9186,1.957,1425898.6
2024-03-02 09:00:00,1.9567,1.9755,1.9151,1.9516,757454.7
2024-03-02 10:00:00,1.9514,1.9642,1.9337,1.9514,385585.2
2024-03-02 11:00:00,1.9516,2.0367,1.9428,2.0125,2034431.4
2024-03-02 12:00:00,2.0125,2.0608,1.9862,2.0302,1425234.4
2024-03-02 13:00:00,2.0302,2.0358,1.9966,2.0,787138.7
2024-03-02 14:00:00,2.0011,2.0016,1.9346,1.962,1611133.7
2024-03-02 15:00:00,1.9614,1.9627,1.92,1.9313,560594.2
2024-03-02 16:00:00,1.9314,1.9477,1.9268,1.9365,436180.1
2024-03-02 17:00:00,1.9359,1.9604,1.9344,1.9456,294355.7
2024-03-02 18:00:00,1.9455,1.9597,1.9422,1.9576,255591.0
2024-03-02 19:00:00,1.9576,1.9739,1.9428,1.9724,263434.6
2024-03-02 20:00:00,1.9724,1.9762,1.9485,1.9694,213206.8
2024-03-02 21:00:00,1.9694,1.9724,1.9432,1.9571,169475.5
2024-03-02 22:00:00,1.9575,1.9616,1.9417,1.9554,148659.3
2024-03-02 23:00:00,1.9554,1.9741,1.9536,1.9671,251905.3
2024-03-03 00:00:00,1.9673,1.9767,1.9516,1.9564,281750.1
2024-03-03 01:00:00,1.9565,1.9602,1.9437,1.9508,173512.5
2024-03-03 02:00:00,1.951,1.9539,1.9302,1.946,224497.5
2024-03-03 03:00:00,1.9465,2.0434,1.9401,2.0426,949253.6
2024-03-03 04:00:00,2.0421,2.1321,2.0116,2.035,2229228.3
2024-03-03 05:00:00,2.0348,2.079,2.0316,2.0764,574826.3
2024-03-03 06:00:00,2.0764,2.4,2.0762,2.3989,5958757.9
2024-03-03 07:00:00,2.399,2.69,2.0155,2.5139,25212555.2
2024-03-03 08:00:00,2.5138,2.6125,2.3861,2.4425,8191805.9
2024-03-03 09:00:00,2.4436,2.4523,2.3037,2.3739,3624766.3
2024-03-03 10:00:00,2.375,2.3757,2.2518,2.2915,3091625.1
2024-03-03 11:00:00,2.2907,2.3766,2.2777,2.3295,2210897.9
2024-03-03 12:00:00,2.3297,2.4,2.2868,2.3858,1762853.8
2024-03-03 13:00:00,2.3837,2.45,2.3291,2.3503,2716453.2
2024-03-03 14:00:00,2.3508,2.3694,2.2833,2.313,1701119.0
2024-03-03 15:00:00,2.313,2.559,2.2964,2.4777,5604651.7
2024-03-03 16:00:00,2.4777,2.5398,2.4163,2.431,2688644.2
2024-03-03 17:00:00,2.431,2.4854,2.4,2.4845,922188.4
2024-03-03 18:00:00,2.4847,2.6292,2.4477,2.546,4348476.6
2024-03-03 19:00:00,2.5457,2.597,2.5023,2.5141,1952580.3
2024-03-03 20:00:00,2.514,2.5149,2.4034,2.4126,1373615.7
2024-03-03 21:00:00,2.4128,2.4558,2.4063,2.425,967810.5
2024-03-03 22:00:00,2.425,2.4361,2.3552,2.402,1360301.6
2024-03-03 23:00:00,2.402,2.402,2.3621,2.3708,479168.4
2024-03-04 00:00:00,2.371,2.481,2.3621,2.4782,1713646.5
2024-03-04 01:00:00,2.4804,2.4889,2.3612,2.3659,1796542.3
2024-03-04 02:00:00,2.366,2.3818,2.3192,2.3764,1091395.4
2024-03-04 03:00:00,2.3764,2.4365,2.3603,2.412,1105816.3
2024-03-04 04:00:00,2.412,2.4498,2.386,2.415,798260.1
2024-03-04 05:00:00,2.4149,2.5278,2.4051,2.4739,2282315.9
2024-03-04 06:00:00,2.4716,2.4815,2.4,2.4386,1441892.0
2024-03-04 07:00:00,2.4379,2.439,2.3681,2.371,1186019.4
2024-03-04 08:00:00,2.371,2.376,2.2878,2.3433,2459523.3
2024-03-04 09:00:00,2.3419,2.3566,2.3209,2.3448,619651.5
2024-03-04 10:00:00,2.3447,2.3448,2.2824,2.3098,972928.8
2024-03-04 11:00:00,2.3096,2.3193,2.2889,2.3186,494356.8
2024-03-04 12:00:00,2.3189,2.3258,2.2895,2.3076,440433.6
2024-03-04 13:00:00,2.3077,2.3127,2.2366,2.2564,986294.4
2024-03-04 14:00:00,2.2564,2.3138,2.2241,2.2809,1158324.5
2024-03-04 15:00:00,2.2808,2.282,2.2392,2.2568,782652.5
2024-03-04 16:00:00,2.2567,2.2568,2.1959,2.2035,1197757.8
2024-03-04 17:00:00,2.2034,2.2054,2.1097,2.1287,1408661.9
2024-03-04 18:00:00,2.1293,2.218,2.1285,2.2177,936436.5
2024-03-04 19:00:00,2.2178,2.2404,2.2041,2.233,615020.9
2024-03-04 20:00:00,2.2323,2.2628,2.2291,2.2508,422948.2
2024-03-04 21:00:00,2.2507,2.2838,2.2388,2.257,595991.1
2024-03-04 22:00:00,2.2553,2.2678,2.2239,2.2316,360344.5
2024-03-04 23:00:00,2.2317,2.2375,2.1901,2.1974,435328.1
2024-03-05 00:00:00,2.1971,2.201,2.152,2.1728,659431.6
2024-03-05 01:00:00,2.1729,2.1901,2.1458,2.1499,594147.7
2024-03-05 02:00:00,2.1491,2.1532,2.11,2.1322,692309.0
2024-03-05 03:00:00,2.1324,2.1884,2.1192,2.176,631455.7
2024-03-05 04:00:00,2.175,2.2659,2.1604,2.2011,1837236.4
2024-03-05 05:00:00,2.201,2.2775,2.1353,2.27,1145641.5
2024-03-05 06:00:00,2.27,2.2725,2.2049,2.2256,600169.9
2024-03-05 07:00:00,2.2263,2.2305,2.1664,2.1892,722954.0
2024-03-05 08:00:00,2.1889,2.2537,2.174,2.236,702659.9
2024-03-05 09:00:00,2.236,2.2571,2.22,2.2405,387150.3
2024-03-05 10:00:00,2.2405,2.2633,2.2303,2.2567,605926.3
2024-03-05 11:00:00,2.2575,2.2593,2.22,2.2238,407090.2
2024-03-05 12:00:00,2.2238,2.2551,2.2119,2.248,493026.5
2024-03-05 13:00:00,2.2483,2.2869,2.2342,2.2359,557526.4
2024-03-05 14:00:00,2.2359,2.2373,2.1849,2.2021,608351.4
2024-03-05 15:00:00,2.2019,2.218,2.1564,2.1612,819865.7
2024-03-05 16:00:00,2.1611,2.1715,2.05,2.145,1557463.7
