datetime,open,high,low,close,volume
2021-05-19 07:00:00,5.4541,5.8549,5.2345,5.7903,720089.0
2021-05-19 08:00:00,5.7871,5.9073,5.58,5.7595,606015.0
2021-05-19 09:00:00,5.7644,5.8755,5.6,5.7063,442826.0
2021-05-19 10:00:00,5.7062,5.777,5.22,5.2976,710049.0
2021-05-19 11:00:00,5.2985,5.3664,4.6129,5.2075,1413379.0
2021-05-19 12:00:00,5.2075,5.3459,3.2833,4.1424,1196351.0
2021-05-19 13:00:00,4.1424,4.7689,3.1064,4.4976,409925.0
2021-05-19 14:00:00,4.6917,4.8279,3.9583,4.562,204599.0
2021-05-19 15:00:00,4.5667,5.2015,4.3033,4.9761,625517.0
2021-05-19 16:00:00,4.9832,5.1918,4.5624,5.0669,705049.0
2021-05-19 17:00:00,5.0705,5.2139,4.8621,5.0019,535073.0
2021-05-19 18:00:00,5.0112,5.0229,4.46,4.6347,525796.0
2021-05-19 19:00:00,4.6283,4.773,4.5462,4.7262,237775.0
2021-05-19 20:00:00,4.7224,4.8218,4.5339,4.5392,284586.0
2021-05-19 21:00:00,4.5393,4.6852,4.3709,4.632,320122.0
2021-05-19 22:00:00,4.6374,4.8657,4.5608,4.7302,284775.0
2021-05-19 23:00:00,4.7302,4.7447,4.0055,4.0244,402036.0
2021-05-20 00:00:00,4.0256,4.3713,3.3302,3.5793,961063.0
2021-05-20 01:00:00,3.5734,3.8759,3.4543,3.7494,552822.0
2021-05-20 02:00:00,3.7548,4.15,3.7498,4.1352,434290.0
2021-05-20 03:00:00,4.1338,4.4933,4.1043,4.3624,510372.0
2021-05-20 04:00:00,4.3613,4.6,4.3508,4.5395,503217.0
2021-05-20 05:00:00,4.5395,4.6888,4.3971,4.6143,316446.0
2021-05-20 06:00:00,4.6119,4.7746,4.5066,4.7182,361797.0
2021-05-20 07:00:00,4.7183,5.069,4.6586,4.7272,488797.0
2021-05-20 08:00:00,4.7307,4.9267,4.4935,4.6723,401325.0
2021-05-20 09:00:00,4.6718,4.6769,4.2449,4.4847,509234.0
2021-05-20 10:00:00,4.482,4.6652,4.4744,4.642,270185.0
2021-05-20 11:00:00,4.642,4.715,4.4767,4.6463,354787.0
2021-05-20 12:00:00,4.6431,5.0422,4.551,4.8949,595859.0
2021-05-20 13:00:00,4.8939,5.4331,4.876,4.9884,739549.0
2021-05-20 14:00:00,4.9807,5.0875,4.7933,4.8289,495739.0
2021-05-20 15:00:00,4.8307,5.0879,4.7555,4.7633,438566.0
2021-05-20 16:00:00,4.7636,4.7684,4.2403,4.4874,845092.0
2021-05-20 17:00:00,4.4892,4.6677,4.3719,4.6441,420822.0
2021-05-20 18:00:00,4.6433,4.6676,4.4763,4.6203,367099.0
2021-05-20 19:00:00,4.6198,4.689,4.5405,4.6578,204800.0
2021-05-20 20:00:00,4.6565,4.7187,4.54,4.5637,216261.0
2021-05-20 21:00:00,4.5641,4.7633,4.53,4.7555,225633.0
2021-05-20 22:00:00,4.7513,4.8022,4.5358,4.7842,265537.0
2021-05-20 23:00:00,4.7836,4.9765,4.6876,4.9231,341056.0
2021-05-21 00:00:00,4.9246,5.2427,4.892,5.1404,455576.0
2021-05-21 01:00:00,5.1407,5.1484,4.9587,4.9795,357867.0
2021-05-21 02:00:00,4.9789,4.9789,4.7902,4.8567,332692.0
2021-05-21 03:00:00,4.8572,4.8574,4.6901,4.8252,328573.0
2021-05-21 04:00:00,4.823,4.8318,4.5741,4.663,349352.0
2021-05-21 05:00:00,4.6581,4.7293,4.5467,4.5978,349171.0
2021-05-21 06:00:00,4.601,4.7742,4.4737,4.7525,340427.0
2021-05-21 07:00:00,4.751,4.76,4.5348,4.543,368084.0
2021-05-21 08:00:00,4.5465,4.6715,4.4217,4.6008,356276.0
2021-05-21 09:00:00,4.6009,4.9278,4.5948,4.75,409932.0
2021-05-21 10:00:00,4.7501,4.7564,4.5952,4.6382,338545.0
2021-05-21 11:00:00,4.6369,4.6656,4.4965,4.6326,408571.0
2021-05-21 12:00:00,4.6367,4.7146,4.5404,4.5475,352155.0
2021-05-21 13:00:00,4.5481,4.6358,4.5273,4.5856,214923.0
2021-05-21 14:00:00,4.588,4.6578,3.4795,3.8521,2076549.0
2021-05-21 15:00:00,3.8518,3.95,3.5617,3.5913,1278908.0
2021-05-21 16:00:00,3.5913,3.8342,3.4505,3.7577,1002182.0
2021-05-21 17:00:00,3.7565,3.7988,3.6633,3.7608,544775.0
2021-05-21 18:00:00,3.7602,3.7602,3.5418,3.6559,473980.0
2021-05-21 19:00:00,3.6515,3.6526,3.3676,3.453,567284.0
2021-05-21 20:00:00,3.4505,3.4906,3.1438,3.1614,1020852.0
2021-05-21 21:00:00,3.1614,3.4909,2.9706,3.461,1241634.0
2021-05-21 22:00:00,3.462,3.6891,3.3644,3.5018,921507.0
2021-05-21 23:00:00,3.4998,3.6921,3.4356,3.6863,409173.0
2021-05-22 00:00:00,3.6919,3.744,3.5313,3.6799,408858.0
2021-05-22 01:00:00,3.672,3.8362,3.6235,3.7527,383278.0
2021-05-22 02:00:00,3.7531,3.8304,3.5516,3.5643,362797.0
2021-05-22 03:00:00,3.5622,3.6152,3.3188,3.4275,531025.0
2021-05-22 04:00:00,3.431,3.474,3.08,3.2381,818257.0
2021-05-22 05:00:00,3.2382,3.3143,3.0464,3.193,811571.0
2021-05-22 06:00:00,3.1947,3.2304,3.0087,3.2232,556734.0
2021-05-22 07:00:00,3.2227,3.2712,3.1039,3.2458,608867.0
2021-05-22 08:00:00,3.2464,3.4733,3.2453,3.3934,603818.0
2021-05-22 09:00:00,3.3943,3.4633,3.3048,3.3793,427729.0
2021-05-22 10:00:00,3.3798,3.6373,3.2799,3.5225,653633.0
2021-05-22 11:00:00,3.5226,3.5733,3.3893,3.477,574151.0
2021-05-22 12:00:00,3.4761,3.5398,3.3257,3.3447,665641.0
2021-05-22 13:00:00,3.3456,3.5199,3.3324,3.4129,709213.0
2021-05-22 14:00:00,3.4148,3.4388,3.1676,3.2313,836562.0
2021-05-22 15:00:00,3.2274,3.2993,3.148,3.2555,622350.0
2021-05-22 16:00:00,3.2556,3.2973,3.1882,3.244,390993.0
2021-05-22 17:00:00,3.2437,3.2859,3.13,3.1622,301720.0
2021-05-22 18:00:00,3.163,3.185,3.11,3.1798,260780.0
2021-05-22 19:00:00,3.1803,3.2429,3.085,3.1077,338976.0
