datetime,open,high,low,close,volume
2020-07-29 07:00:00,3.84,3.96,3.7885,3.9374,607876.4
2020-07-29 08:00:00,3.9373,3.9893,3.89,3.9152,406878.9
2020-07-29 09:00:00,3.9157,3.9157,3.84,3.8938,246334.9
2020-07-29 10:00:00,3.8891,3.95,3.8496,3.8645,135780.8
2020-07-29 11:00:00,3.8642,3.9153,3.8599,3.8895,56549.7
2020-07-29 12:00:00,3.8895,3.9014,3.8487,3.8568,95374.8
2020-07-29 13:00:00,3.8492,3.9054,3.8432,3.9053,262731.6
2020-07-29 14:00:00,3.9055,3.9103,3.7927,3.832,211696.8
2020-07-29 15:00:00,3.8323,3.8918,3.8308,3.8733,239596.9
2020-07-29 16:00:00,3.8733,3.8765,3.8012,3.8057,214328.3
2020-07-29 17:00:00,3.8055,3.8567,3.7957,3.8269,329340.7
2020-07-29 18:00:00,3.8267,3.8332,3.785,3.7941,193589.7
2020-07-29 19:00:00,3.794,3.8899,3.794,3.8833,185840.0
2020-07-29 20:00:00,3.8832,3.961,3.8538,3.8863,332461.8
2020-07-29 21:00:00,3.8863,3.9213,3.828,3.8414,255454.0
2020-07-29 22:00:00,3.841,3.8971,3.8202,3.8903,337841.3
2020-07-29 23:00:00,3.8903,3.9009,3.8313,3.895,233717.9
2020-07-30 00:00:00,3.8951,3.897,3.836,3.8635,88728.1
2020-07-30 01:00:00,3.864,3.8641,3.8041,3.8043,275349.7
2020-07-30 02:00:00,3.8042,3.8441,3.8042,3.8065,57840.0
2020-07-30 03:00:00,3.8066,3.8096,3.77,3.787,225013.9
2020-07-30 04:00:00,3.7871,3.84,3.7871,3.8345,165045.7
2020-07-30 05:00:00,3.8342,3.8388,3.7396,3.7594,409267.3
2020-07-30 06:00:00,3.7594,3.8118,3.7528,3.8118,215478.4
2020-07-30 07:00:00,3.8118,3.8349,3.788,3.8276,259657.8
2020-07-30 08:00:00,3.8276,3.829,3.7982,3.8174,74999.4
2020-07-30 09:00:00,3.8174,3.8445,3.7807,3.8249,369206.8
2020-07-30 10:00:00,3.8252,3.9744,3.8252,3.9509,489657.3
2020-07-30 11:00:00,3.951,4.2,3.9498,4.1259,858896.6
2020-07-30 12:00:00,4.1235,4.189,4.0755,4.135,736534.9
2020-07-30 13:00:00,4.1348,4.1754,4.0709,4.0933,743862.1
2020-07-30 14:00:00,4.0936,4.129,4.0554,4.0814,585264.7
2020-07-30 15:00:00,4.0815,4.133,4.0608,4.0819,427978.3
2020-07-30 16:00:00,4.0826,4.1597,4.076,4.1385,523328.8
2020-07-30 17:00:00,4.1385,4.299,4.1385,4.293,563626.8
2020-07-30 18:00:00,4.2918,4.292,4.2075,4.2436,638885.9
2020-07-30 19:00:00,4.2472,4.249,4.1014,4.1284,679368.8
2020-07-30 20:00:00,4.1292,4.1517,4.0626,4.1101,525755.4
2020-07-30 21:00:00,4.1077,4.1168,4.0741,4.1009,490873.4
2020-07-30 22:00:00,4.1,4.1242,4.0795,4.1043,373430.8
2020-07-30 23:00:00,4.1025,4.1042,3.9394,3.9774,547628.6
2020-07-31 00:00:00,3.9812,4.024,3.9526,3.9982,587951.2
2020-07-31 01:00:00,3.998,4.118,3.9938,4.1163,501027.3
2020-07-31 02:00:00,4.118,4.1227,4.0393,4.1083,480142.3
