datetime,open,high,low,close,volume
2023-10-15 15:00:00,6.565,6.724,6.12,6.248,5088737.1
2023-10-15 16:00:00,6.245,6.335,5.618,5.784,3770759.3
2023-10-15 17:00:00,5.784,6.066,5.563,5.86,2003156.7
2023-10-15 18:00:00,5.865,5.994,5.715,5.794,1172620.4
2023-10-15 19:00:00,5.794,5.865,5.534,5.722,1045240.2
2023-10-15 20:00:00,5.719,5.942,5.668,5.888,1009406.3
2023-10-15 21:00:00,5.892,5.92,5.686,5.77,519565.9
2023-10-15 22:00:00,5.767,5.772,4.755,4.79,2787719.8
2023-10-15 23:00:00,4.792,4.846,4.14,4.52,6538091.0
2023-10-16 00:00:00,4.52,4.694,4.042,4.301,4505127.2
2023-10-16 01:00:00,4.301,4.739,4.231,4.635,2821913.8
2023-10-16 02:00:00,4.639,5.05,4.474,4.742,3726853.7
2023-10-16 03:00:00,4.74,5.1,4.728,4.886,1925896.1
2023-10-16 04:00:00,4.887,4.978,4.715,4.737,1587748.4
2023-10-16 05:00:00,4.737,4.788,4.517,4.659,2248685.7
2023-10-16 06:00:00,4.659,4.97,4.62,4.922,1710706.9
2023-10-16 07:00:00,4.921,4.921,4.484,4.566,1812840.5
2023-10-16 08:00:00,4.564,4.855,4.514,4.687,1767356.8
2023-10-16 09:00:00,4.686,4.789,4.466,4.693,1997020.3
2023-10-16 10:00:00,4.697,4.879,4.62,4.693,1977813.7
2023-10-16 11:00:00,4.692,4.727,4.538,4.671,1225848.7
2023-10-16 12:00:00,4.67,4.688,4.27,4.358,2758635.7
2023-10-16 13:00:00,4.363,4.518,4.14,4.49,3112702.9
2023-10-16 14:00:00,4.488,4.517,4.295,4.386,1574519.0
2023-10-16 15:00:00,4.386,4.437,4.156,4.204,1712741.6
2023-10-16 16:00:00,4.204,4.328,4.127,4.202,2398428.9
2023-10-16 17:00:00,4.203,4.254,3.682,3.799,7276993.5
2023-10-16 18:00:00,3.797,4.129,3.796,4.015,3810220.7
2023-10-16 19:00:00,4.016,4.087,3.95,3.996,2023309.7
2023-10-16 20:00:00,3.994,4.088,3.896,4.029,1620366.2
