datetime,open,high,low,close,volume
2023-10-20 13:00:00,52.68,54.48,52.63,53.91,177717.3
2023-10-20 14:00:00,53.88,54.21,52.3,52.75,111384.3
2023-10-20 15:00:00,52.82,53.87,52.04,53.48,85014.8
2023-10-20 16:00:00,53.53,54.26,52.8,53.41,86341.3
2023-10-20 17:00:00,53.36,53.42,51.68,53.05,79292.0
2023-10-20 18:00:00,53.06,53.2,52.44,52.76,17905.6
2023-10-20 19:00:00,52.75,53.36,52.25,53.17,21597.6
2023-10-20 20:00:00,53.17,53.98,52.77,53.82,33839.8
2023-10-20 21:00:00,53.78,54.3,53.57,54.09,26693.0
2023-10-20 22:00:00,54.15,55.62,53.56,53.84,82330.0
2023-10-20 23:00:00,53.81,55.2,53.8,55.0,44531.8
2023-10-21 00:00:00,54.97,57.25,53.08,53.93,279503.6
2023-10-21 01:00:00,53.94,53.97,52.45,53.0,106164.7
2023-10-21 02:00:00,52.99,53.95,52.45,53.51,102231.3
2023-10-21 03:00:00,53.51,54.88,52.84,54.26,87580.2
2023-10-21 04:00:00,54.23,54.57,53.63,54.06,60424.7
2023-10-21 05:00:00,54.07,56.65,54.03,56.05,186975.7
2023-10-21 06:00:00,56.04,57.99,55.17,57.66,209429.7
2023-10-21 07:00:00,57.66,58.87,56.99,57.41,315615.0
2023-10-21 08:00:00,57.41,57.69,56.46,56.8,180998.8
2023-10-21 09:00:00,56.82,57.24,55.8,57.03,113853.1
2023-10-21 10:00:00,57.03,57.35,55.2,55.6,163682.4
2023-10-21 11:00:00,55.6,56.04,54.69,55.43,139488.8
2023-10-21 12:00:00,55.43,56.13,54.79,55.38,88829.5
2023-10-21 13:00:00,55.37,56.03,54.0,54.37,130198.2
2023-10-21 14:00:00,54.39,54.74,52.56,53.34,152916.8
2023-10-21 15:00:00,53.38,54.7,53.15,54.09,81922.0
2023-10-21 16:00:00,54.08,54.43,53.03,53.37,56165.3
2023-10-21 17:00:00,53.37,54.34,53.21,53.68,61251.5
2023-10-21 18:00:00,53.69,54.32,53.3,54.04,45226.7
2023-10-21 19:00:00,54.02,54.46,53.4,53.54,27040.5
2023-10-21 20:00:00,53.54,54.65,53.54,54.32,31544.7
2023-10-21 21:00:00,54.33,54.67,53.68,54.13,17803.1
2023-10-21 22:00:00,54.13,55.37,54.13,54.26,48799.1
2023-10-21 23:00:00,54.23,55.85,53.93,55.73,53446.5
2023-10-22 00:00:00,55.72,55.97,54.46,55.17,82384.6
2023-10-22 01:00:00,55.12,56.51,54.02,54.52,156636.7
2023-10-22 02:00:00,54.51,55.34,54.07,55.24,51860.4
2023-10-22 03:00:00,55.24,55.85,54.69,55.06,53012.4
2023-10-22 04:00:00,55.05,55.31,54.62,55.26,46043.1
2023-10-22 05:00:00,55.28,56.3,55.0,55.49,74007.5
2023-10-22 06:00:00,55.49,56.23,55.32,55.68,57512.0
2023-10-22 07:00:00,55.7,55.76,52.66,53.81,159043.6
2023-10-22 08:00:00,53.8,54.0,52.7,52.96,89477.4
2023-10-22 09:00:00,52.96,53.49,52.09,52.89,82878.6
2023-10-22 10:00:00,52.89,53.72,52.5,52.86,76787.2
2023-10-22 11:00:00,52.85,52.99,51.42,51.81,98912.1
2023-10-22 12:00:00,51.8,52.51,50.15,50.35,155599.7
2023-10-22 13:00:00,50.34,51.74,50.3,51.29,93190.2
2023-10-22 14:00:00,51.29,51.43,49.51,49.7,104913.1
2023-10-22 15:00:00,49.71,49.86,48.03,48.53,192029.1
2023-10-22 16:00:00,48.52,49.24,48.41,48.76,67299.5
2023-10-22 17:00:00,48.76,48.85,48.12,48.77,45842.5
2023-10-22 18:00:00,48.75,49.13,48.31,48.65,37798.8
2023-10-22 19:00:00,48.66,49.21,48.51,48.83,28045.0
2023-10-22 20:00:00,48.8,49.55,48.6,49.25,33997.9
2023-10-22 21:00:00,49.24,50.27,49.03,49.69,96258.8
2023-10-22 22:00:00,49.69,51.19,49.58,50.74,85862.7
2023-10-22 23:00:00,50.72,51.32,50.45,50.83,51255.4
2023-10-23 00:00:00,50.83,51.94,49.97,50.69,145051.2
2023-10-23 01:00:00,50.72,54.16,50.2,52.96,235250.6
2023-10-23 02:00:00,52.97,53.4,52.06,52.69,79562.8
2023-10-23 03:00:00,52.69,52.92,51.26,52.9,76765.8
2023-10-23 04:00:00,52.86,52.97,52.11,52.82,46351.1
2023-10-23 05:00:00,52.82,53.27,52.17,52.18,53708.4
2023-10-23 06:00:00,52.18,52.76,50.94,51.02,72823.0
2023-10-23 07:00:00,51.03,52.45,50.98,51.63,57805.8
2023-10-23 08:00:00,51.64,52.47,50.93,52.26,46059.6
2023-10-23 09:00:00,52.26,52.27,50.56,51.06,49421.3
2023-10-23 10:00:00,51.08,51.96,50.67,50.95,49175.1
2023-10-23 11:00:00,50.96,52.18,50.88,52.06,55581.4
2023-10-23 12:00:00,52.05,52.16,50.79,50.98,45289.7
2023-10-23 13:00:00,51.0,51.05,49.02,49.77,114018.2
2023-10-23 14:00:00,49.78,50.75,49.58,50.31,82471.0
2023-10-23 15:00:00,50.3,51.46,50.05,50.86,63923.7
2023-10-23 16:00:00,50.84,52.9,50.61,52.48,69182.4
2023-10-23 17:00:00,52.53,52.83,51.25,51.89,49378.7
2023-10-23 18:00:00,51.89,52.38,51.41,52.33,23062.1
2023-10-23 19:00:00,52.35,52.6,51.91,52.22,27192.1
2023-10-23 20:00:00,52.22,53.03,52.04,52.32,37647.9
2023-10-23 21:00:00,52.31,52.84,51.99,52.67,21212.4
2023-10-23 22:00:00,52.7,57.42,52.7,56.68,206905.8
2023-10-23 23:00:00,56.7,56.82,53.67,55.0,141880.8
2023-10-24 00:00:00,54.99,55.58,53.49,54.73,112108.2
2023-10-24 01:00:00,54.72,54.95,53.29,54.9,67490.1
2023-10-24 02:00:00,54.9,55.24,54.03,54.89,93703.6
2023-10-24 03:00:00,54.87,55.12,53.07,53.14,67038.9
2023-10-24 04:00:00,53.14,54.22,53.0,53.53,42017.6
2023-10-24 05:00:00,53.54,53.79,52.46,52.76,38241.0
2023-10-24 06:00:00,52.77,53.12,51.27,52.54,79995.5
2023-10-24 07:00:00,52.55,52.7,51.78,52.5,49048.9
2023-10-24 08:00:00,52.49,53.12,52.34,53.06,32543.2
2023-10-24 09:00:00,53.05,53.69,52.76,53.2,61785.7
2023-10-24 10:00:00,53.23,53.55,52.84,53.19,27399.3
2023-10-24 11:00:00,53.19,53.67,52.62,53.12,40479.1
2023-10-24 12:00:00,53.11,53.45,52.04,52.31,80605.5
2023-10-24 13:00:00,52.31,52.34,51.58,52.18,45423.8
2023-10-24 14:00:00,52.16,52.45,51.31,52.32,26024.7
2023-10-24 15:00:00,52.33,52.57,49.3,50.39,92173.7
2023-10-24 16:00:00,50.41,51.41,49.93,50.89,26779.4
2023-10-24 17:00:00,50.9,51.32,50.6,50.63,12171.1
2023-10-24 18:00:00,50.62,50.83,49.86,50.79,15883.9
2023-10-24 19:00:00,50.79,50.99,50.64,50.83,7121.5
2023-10-24 20:00:00,50.82,51.21,50.56,50.71,11534.6
2023-10-24 21:00:00,50.74,51.75,50.4,51.59,12044.5
2023-10-24 22:00:00,51.59,51.74,51.32,51.71,11771.7
2023-10-24 23:00:00,51.7,51.71,50.99,51.57,17685.2
2023-10-25 00:00:00,51.54,51.91,50.58,51.77,36556.7
2023-10-25 01:00:00,51.72,52.35,51.72,51.91,32261.5
2023-10-25 02:00:00,51.91,52.03,51.2,51.64,23015.8
2023-10-25 03:00:00,51.63,51.73,51.06,51.15,13210.9
2023-10-25 04:00:00,51.16,51.95,51.0,51.87,18537.4
2023-10-25 05:00:00,51.83,51.88,50.76,50.91,19493.6
2023-10-25 06:00:00,50.95,51.44,50.83,50.91,26124.8
2023-10-25 07:00:00,50.91,51.01,48.9,49.56,71911.4
2023-10-25 08:00:00,49.57,49.74,48.77,49.04,40936.2
2023-10-25 09:00:00,49.06,50.11,48.95,49.5,30000.6
2023-10-25 10:00:00,49.48,49.86,49.13,49.62,20477.8
2023-10-25 11:00:00,49.62,49.8,49.2,49.34,25299.1
2023-10-25 12:00:00,49.35,50.2,49.34,49.95,25234.3
2023-10-25 13:00:00,49.91,50.89,49.9,50.28,44705.7
2023-10-25 14:00:00,50.26,50.31,49.5,49.76,35076.0
2023-10-25 15:00:00,49.77,51.3,49.33,50.63,52594.8
2023-10-25 16:00:00,50.63,50.82,48.56,48.71,67548.7
2023-10-25 17:00:00,48.71,49.2,48.56,49.04,29940.9
2023-10-25 18:00:00,49.04,49.61,49.04,49.54,11426.1
2023-10-25 19:00:00,49.53,49.86,49.2,49.8,6284.4
2023-10-25 20:00:00,49.79,50.02,49.56,49.71,8039.6
2023-10-25 21:00:00,49.71,49.99,49.38,49.59,8030.7
2023-10-25 22:00:00,49.59,50.21,49.48,49.96,11562.2
2023-10-25 23:00:00,49.95,50.35,49.53,50.33,18661.7
2023-10-26 00:00:00,50.35,51.42,50.02,50.52,59009.5
2023-10-26 01:00:00,50.51,50.66,49.46,49.51,24744.7
2023-10-26 02:00:00,49.5,49.88,49.25,49.73,20553.8
2023-10-26 03:00:00,49.74,50.69,49.64,50.59,18664.5
2023-10-26 04:00:00,50.6,50.91,50.34,50.63,21800.2
2023-10-26 05:00:00,50.62,50.62,49.79,49.79,15966.5
2023-10-26 06:00:00,49.81,50.14,49.39,50.01,18895.3
2023-10-26 07:00:00,50.02,51.03,49.86,50.86,31976.8
2023-10-26 08:00:00,50.85,50.97,49.86,50.4,26893.6
2023-10-26 09:00:00,50.41,50.65,49.7,49.87,19700.7
2023-10-26 10:00:00,49.85,50.37,49.29,49.68,23310.7
2023-10-26 11:00:00,49.67,49.92,48.74,49.21,30394.3
2023-10-26 12:00:00,49.21,49.71,49.16,49.57,15495.5
2023-10-26 13:00:00,49.59,49.9,49.02,49.07,19709.0
2023-10-26 14:00:00,49.04,49.52,45.21,46.9,141036.5
2023-10-26 15:00:00,46.9,47.21,45.96,46.84,43747.5
2023-10-26 16:00:00,46.83,47.22,46.72,46.95,18404.7
2023-10-26 17:00:00,46.93,47.25,46.79,47.03,13928.0
2023-10-26 18:00:00,47.04,47.25,46.39,46.57,18711.9
2023-10-26 19:00:00,46.57,46.8,46.3,46.69,10106.4
2023-10-26 20:00:00,46.67,47.0,46.45,46.97,11118.0
2023-10-26 21:00:00,46.98,47.37,46.85,47.34,8473.9
2023-10-26 22:00:00,47.34,47.75,47.2,47.71,10542.5
2023-10-26 23:00:00,47.7,47.76,47.37,47.69,15637.9
2023-10-27 00:00:00,47.68,47.78,46.5,46.58,26618.7
2023-10-27 01:00:00,46.59,46.66,45.46,45.49,25905.7
2023-10-27 02:00:00,45.51,46.54,45.39,46.15,18017.6
2023-10-27 03:00:00,46.16,46.45,46.1,46.31,11763.2
2023-10-27 04:00:00,46.32,46.37,45.61,46.22,23577.4
2023-10-27 05:00:00,46.24,46.24,45.55,46.11,18069.1
2023-10-27 06:00:00,46.1,46.47,45.92,46.41,16543.9
2023-10-27 07:00:00,46.44,46.47,45.66,45.68,16086.9
2023-10-27 08:00:00,45.71,46.44,45.63,46.38,20783.8
2023-10-27 09:00:00,46.39,46.64,46.28,46.4,18341.3
2023-10-27 10:00:00,46.39,46.45,46.01,46.04,14894.7
2023-10-27 11:00:00,46.02,46.14,45.4,45.85,29873.3
2023-10-27 12:00:00,45.87,46.58,45.7,46.31,26014.1
2023-10-27 13:00:00,46.3,46.95,46.21,46.29,29176.0
2023-10-27 14:00:00,46.28,46.33,45.67,45.93,20112.9
2023-10-27 15:00:00,45.92,46.42,45.79,46.33,10627.6
