datetime,open,high,low,close,volume
2022-09-22 12:00:00,4.515,4.738,4.515,4.71,70247.0
2022-09-22 13:00:00,4.71,4.721,4.587,4.596,49866.0
2022-09-22 14:00:00,4.59,4.674,4.584,4.592,40293.0
2022-09-22 15:00:00,4.59,4.653,4.587,4.628,22894.0
2022-09-22 16:00:00,4.633,4.66,4.59,4.641,15382.0
2022-09-22 17:00:00,4.643,4.68,4.606,4.663,20209.0
2022-09-22 18:00:00,4.661,4.723,4.634,4.683,60359.0
2022-09-22 19:00:00,4.688,4.779,4.676,4.724,159057.0
2022-09-22 20:00:00,4.724,4.806,4.714,4.719,48847.0
2022-09-22 21:00:00,4.72,4.743,4.679,4.688,21599.0
2022-09-22 22:00:00,4.688,4.791,4.676,4.754,20188.0
2022-09-22 23:00:00,4.743,4.837,4.722,4.746,15672.0
2022-09-23 00:00:00,4.752,4.823,4.743,4.743,10270.0
2022-09-23 01:00:00,4.752,4.804,4.71,4.804,7401.0
2022-09-23 02:00:00,4.801,4.808,4.741,4.766,12012.0
2022-09-23 03:00:00,4.766,4.824,4.759,4.785,18098.0
2022-09-23 04:00:00,4.785,4.842,4.746,4.799,26372.0
2022-09-23 05:00:00,4.799,4.859,4.789,4.823,25588.0
2022-09-23 06:00:00,4.823,4.872,4.82,4.822,31455.0
2022-09-23 07:00:00,4.821,4.823,4.72,4.724,30828.0
2022-09-23 08:00:00,4.723,4.789,4.667,4.679,41703.0
2022-09-23 09:00:00,4.679,4.734,4.645,4.698,28124.0
2022-09-23 10:00:00,4.692,4.705,4.625,4.655,19045.0
2022-09-23 11:00:00,4.647,4.706,4.628,4.667,24762.0
2022-09-23 12:00:00,4.667,4.72,4.66,4.699,34471.0
2022-09-23 13:00:00,4.688,4.775,4.668,4.679,47765.0
2022-09-23 14:00:00,4.679,4.699,4.564,4.654,52388.0
2022-09-23 15:00:00,4.649,4.743,4.628,4.703,18026.0
2022-09-23 16:00:00,4.701,4.701,4.594,4.637,24161.0
2022-09-23 17:00:00,4.637,4.679,4.621,4.656,16789.0
2022-09-23 18:00:00,4.663,4.694,4.607,4.645,16674.0
2022-09-23 19:00:00,4.646,4.729,4.63,4.707,23392.0
2022-09-23 20:00:00,4.707,4.768,4.705,4.729,13975.0
2022-09-23 21:00:00,4.73,4.775,4.73,4.765,10987.0
2022-09-23 22:00:00,4.774,4.888,4.774,4.859,26866.0
2022-09-23 23:00:00,4.861,4.87,4.791,4.818,11854.0
2022-09-24 00:00:00,4.82,4.866,4.806,4.836,21179.0
2022-09-24 01:00:00,4.836,4.863,4.796,4.834,6223.0
2022-09-24 02:00:00,4.84,4.865,4.819,4.838,7862.0
2022-09-24 03:00:00,4.84,4.84,4.798,4.825,9158.0
2022-09-24 04:00:00,4.822,4.839,4.797,4.837,12763.0
2022-09-24 05:00:00,4.837,4.923,4.821,4.904,22827.0
2022-09-24 06:00:00,4.903,4.97,4.84,4.917,48171.0
2022-09-24 07:00:00,4.918,4.928,4.833,4.869,19123.0
2022-09-24 08:00:00,4.871,4.93,4.823,4.91,51495.0
2022-09-24 09:00:00,4.91,4.913,4.879,4.901,21291.0
2022-09-24 10:00:00,4.901,4.942,4.846,4.873,59604.0
2022-09-24 11:00:00,4.863,4.874,4.836,4.841,32206.0
2022-09-24 12:00:00,4.841,4.875,4.839,4.859,27428.0
2022-09-24 13:00:00,4.858,4.873,4.85,4.85,14740.0
2022-09-24 14:00:00,4.856,4.886,4.829,4.831,20989.0
2022-09-24 15:00:00,4.837,4.864,4.818,4.861,11073.0
2022-09-24 16:00:00,4.864,4.897,4.825,4.833,20444.0
2022-09-24 17:00:00,4.834,4.866,4.821,4.825,16995.0
2022-09-24 18:00:00,4.825,4.864,4.814,4.863,6947.0
2022-09-24 19:00:00,4.863,4.863,4.835,4.846,3152.0
2022-09-24 20:00:00,4.841,4.841,4.802,4.839,9755.0
2022-09-24 21:00:00,4.827,4.827,4.731,4.743,23270.0
2022-09-24 22:00:00,4.741,4.751,4.697,4.707,10706.0
2022-09-24 23:00:00,4.707,4.741,4.689,4.727,7110.0
2022-09-25 00:00:00,4.724,4.742,4.692,4.732,17955.0
2022-09-25 01:00:00,4.732,4.752,4.726,4.74,5737.0
2022-09-25 02:00:00,4.739,4.757,4.726,4.745,7222.0
2022-09-25 03:00:00,4.746,4.774,4.715,4.76,14311.0
2022-09-25 04:00:00,4.764,4.778,4.755,4.764,7351.0
2022-09-25 05:00:00,4.767,4.773,4.736,4.742,7241.0
2022-09-25 06:00:00,4.745,4.762,4.728,4.757,10058.0
2022-09-25 07:00:00,4.757,4.782,4.725,4.76,11812.0
2022-09-25 08:00:00,4.764,4.772,4.737,4.754,19877.0
2022-09-25 09:00:00,4.754,4.76,4.723,4.728,17899.0
2022-09-25 10:00:00,4.727,4.756,4.7,4.738,23766.0
2022-09-25 11:00:00,4.738,4.762,4.728,4.743,26361.0
2022-09-25 12:00:00,4.742,4.753,4.718,4.721,7482.0
2022-09-25 13:00:00,4.724,4.733,4.666,4.69,17213.0
2022-09-25 14:00:00,4.693,4.698,4.661,4.682,8216.0
2022-09-25 15:00:00,4.685,4.712,4.655,4.692,20807.0
2022-09-25 16:00:00,4.687,4.715,4.653,4.663,11195.0
2022-09-25 17:00:00,4.664,4.67,4.613,4.652,13447.0
2022-09-25 18:00:00,4.657,4.676,4.63,4.667,20023.0
2022-09-25 19:00:00,4.667,4.67,4.622,4.636,13192.0
2022-09-25 20:00:00,4.631,4.642,4.595,4.601,10705.0
2022-09-25 21:00:00,4.602,4.618,4.585,4.598,9168.0
2022-09-25 22:00:00,4.596,4.65,4.575,4.61,9441.0
2022-09-25 23:00:00,4.61,4.664,4.584,4.595,14202.0
2022-09-26 00:00:00,4.595,4.665,4.578,4.596,21983.0
2022-09-26 01:00:00,4.602,4.668,4.589,4.652,19588.0
2022-09-26 02:00:00,4.652,4.687,4.631,4.635,29350.0
2022-09-26 03:00:00,4.635,4.674,4.624,4.639,10898.0
2022-09-26 04:00:00,4.641,4.662,4.621,4.626,4034.0
2022-09-26 05:00:00,4.623,4.627,4.588,4.602,9033.0
2022-09-26 06:00:00,4.604,4.634,4.574,4.592,14900.0
2022-09-26 07:00:00,4.596,4.66,4.591,4.66,15888.0
2022-09-26 08:00:00,4.661,4.737,4.643,4.734,19895.0
2022-09-26 09:00:00,4.726,4.75,4.668,4.681,15282.0
2022-09-26 10:00:00,4.683,4.752,4.658,4.678,66824.0
2022-09-26 11:00:00,4.676,4.686,4.601,4.671,23036.0
2022-09-26 12:00:00,4.671,4.711,4.646,4.696,27654.0
2022-09-26 13:00:00,4.696,4.75,4.675,4.741,25738.0
2022-09-26 14:00:00,4.737,4.772,4.71,4.748,40942.0
2022-09-26 15:00:00,4.759,4.776,4.712,4.731,22859.0
2022-09-26 16:00:00,4.727,4.766,4.712,4.742,29161.0
2022-09-26 17:00:00,4.732,4.756,4.698,4.736,16125.0
2022-09-26 18:00:00,4.736,4.784,4.728,4.748,41921.0
2022-09-26 19:00:00,4.748,4.787,4.735,4.759,17239.0
2022-09-26 20:00:00,4.764,4.767,4.718,4.736,15615.0
2022-09-26 21:00:00,4.737,4.76,4.717,4.739,16604.0
2022-09-26 22:00:00,4.74,4.787,4.713,4.777,13544.0
2022-09-26 23:00:00,4.775,4.79,4.733,4.768,18863.0
2022-09-27 00:00:00,4.76,4.824,4.756,4.806,28043.0
2022-09-27 01:00:00,4.81,4.924,4.802,4.888,25273.0
2022-09-27 02:00:00,4.889,4.93,4.888,4.93,18185.0
2022-09-27 03:00:00,4.93,5.0,4.913,4.945,29127.0
2022-09-27 04:00:00,4.946,5.02,4.937,4.941,66084.0
2022-09-27 05:00:00,4.945,4.967,4.929,4.966,15662.0
2022-09-27 06:00:00,4.964,5.037,4.949,4.997,17216.0
2022-09-27 07:00:00,4.997,5.044,4.972,4.99,13648.0
2022-09-27 08:00:00,4.984,5.016,4.967,4.977,14707.0
2022-09-27 09:00:00,4.97,5.002,4.966,4.991,8322.0
2022-09-27 10:00:00,4.991,5.025,4.954,4.988,13856.0
2022-09-27 11:00:00,4.989,5.025,4.964,5.0,12505.0
2022-09-27 12:00:00,5.005,5.027,4.975,5.0,14112.0
2022-09-27 13:00:00,4.993,5.023,4.975,4.997,26980.0
2022-09-27 14:00:00,4.991,5.033,4.987,5.027,18838.0
2022-09-27 15:00:00,5.028,5.086,5.001,5.009,71746.0
2022-09-27 16:00:00,5.016,5.044,4.846,4.901,119247.0
2022-09-27 17:00:00,4.9,4.902,4.792,4.82,42577.0
2022-09-27 18:00:00,4.817,4.916,4.796,4.895,33279.0
2022-09-27 19:00:00,4.894,4.95,4.835,4.9,37468.0
2022-09-27 20:00:00,4.896,4.939,4.855,4.886,36936.0
2022-09-27 21:00:00,4.887,4.897,4.845,4.85,13247.0
2022-09-27 22:00:00,4.853,4.915,4.838,4.907,8576.0
2022-09-27 23:00:00,4.907,4.92,4.868,4.873,10808.0
2022-09-28 00:00:00,4.874,4.977,4.866,4.913,53360.0
2022-09-28 01:00:00,4.913,4.949,4.843,4.851,36252.0
2022-09-28 02:00:00,4.85,4.85,4.668,4.729,37376.0
2022-09-28 03:00:00,4.727,4.759,4.722,4.741,15564.0
2022-09-28 04:00:00,4.741,4.755,4.709,4.742,19468.0
2022-09-28 05:00:00,4.746,4.753,4.691,4.753,24998.0
2022-09-28 06:00:00,4.753,4.764,4.704,4.709,21747.0
2022-09-28 07:00:00,4.709,4.745,4.689,4.73,19785.0
2022-09-28 08:00:00,4.729,4.748,4.7,4.729,27709.0
