datetime,open,high,low,close,volume
2024-02-07 07:00:00,5.244,5.283,5.07,5.108,1148291.5
2024-02-07 08:00:00,5.107,5.12,4.895,5.039,1572898.4
2024-02-07 09:00:00,5.038,5.255,4.96,5.189,1619604.4
2024-02-07 10:00:00,5.187,5.654,5.126,5.6,4559235.7
2024-02-07 11:00:00,5.601,5.994,5.454,5.853,6957520.9
2024-02-07 12:00:00,5.852,5.884,5.633,5.681,4273034.3
2024-02-07 13:00:00,5.681,5.753,5.541,5.619,2925306.6
2024-02-07 14:00:00,5.619,6.15,5.576,6.039,6199738.9
2024-02-07 15:00:00,6.04,6.234,5.933,6.169,6440665.4
2024-02-07 16:00:00,6.167,6.353,6.05,6.1,6627718.5
2024-02-07 17:00:00,6.099,6.208,5.983,6.038,3406073.5
2024-02-07 18:00:00,6.037,6.1,5.95,6.093,2443236.7
2024-02-07 19:00:00,6.094,6.149,5.847,5.885,3024965.6
2024-02-07 20:00:00,5.885,6.059,5.863,5.884,2048606.8
2024-02-07 21:00:00,5.883,5.9,5.648,5.752,3344499.8
2024-02-07 22:00:00,5.753,5.83,5.548,5.595,2642509.0
2024-02-07 23:00:00,5.595,5.779,5.573,5.731,1482820.2
2024-02-08 00:00:00,5.733,5.959,5.699,5.939,2185807.8
2024-02-08 01:00:00,5.941,6.098,5.888,6.085,2471070.7
2024-02-08 02:00:00,6.084,6.086,5.829,5.885,1852477.6
2024-02-08 03:00:00,5.885,5.975,5.858,5.897,822746.9
2024-02-08 04:00:00,5.899,6.053,5.85,6.013,1196090.0
2024-02-08 05:00:00,6.014,6.088,5.968,6.019,1318186.2
2024-02-08 06:00:00,6.017,6.189,5.965,6.133,2372335.3
2024-02-08 07:00:00,6.131,6.472,6.105,6.413,6161036.7
2024-02-08 08:00:00,6.413,6.66,6.369,6.427,8170934.2
2024-02-08 09:00:00,6.426,6.618,6.409,6.6,4685453.9
2024-02-08 10:00:00,6.6,6.947,6.55,6.859,10949538.8
2024-02-08 11:00:00,6.86,6.96,6.729,6.8,6834709.4
2024-02-08 12:00:00,6.8,7.16,6.784,7.12,10599767.6
2024-02-08 13:00:00,7.119,7.2,6.86,6.957,7722014.1
2024-02-08 14:00:00,6.956,7.157,6.948,7.072,5138842.6
2024-02-08 15:00:00,7.073,7.33,7.015,7.281,7332276.8
2024-02-08 16:00:00,7.281,8.05,7.251,7.722,20937249.5
2024-02-08 17:00:00,7.724,8.357,7.557,7.688,20728694.7
2024-02-08 18:00:00,7.689,7.946,7.665,7.808,7901118.5
2024-02-08 19:00:00,7.809,8.066,7.721,7.741,5300975.8
2024-02-08 20:00:00,7.74,7.946,7.5,7.606,7236345.4
2024-02-08 21:00:00,7.605,7.736,7.425,7.659,5390129.2
2024-02-08 22:00:00,7.658,7.713,7.321,7.422,5512272.1
2024-02-08 23:00:00,7.423,7.559,7.226,7.272,4583339.8
2024-02-09 00:00:00,7.272,7.682,7.269,7.549,6291935.7
2024-02-09 01:00:00,7.55,7.944,7.495,7.612,6370578.0
2024-02-09 02:00:00,7.614,7.775,7.536,7.695,3867824.6
2024-02-09 03:00:00,7.696,7.857,7.479,7.609,4838734.0
2024-02-09 04:00:00,7.609,8.0,7.606,7.85,5984000.2
2024-02-09 05:00:00,7.849,7.961,7.706,7.772,3783914.6
2024-02-09 06:00:00,7.772,7.975,7.722,7.928,3361382.7
2024-02-09 07:00:00,7.929,8.281,7.861,7.914,9573379.7
2024-02-09 08:00:00,7.913,7.977,7.595,7.724,6356734.7
2024-02-09 09:00:00,7.725,7.937,7.659,7.864,4494949.7
2024-02-09 10:00:00,7.863,7.896,7.61,7.719,3745899.1
2024-02-09 11:00:00,7.719,7.777,7.363,7.577,7385740.7
2024-02-09 12:00:00,7.577,7.796,7.46,7.503,4862051.9
2024-02-09 13:00:00,7.504,7.749,7.464,7.647,3583726.2
2024-02-09 14:00:00,7.647,7.887,7.506,7.7,5204601.5
2024-02-09 15:00:00,7.7,7.758,7.115,7.168,9348815.3
2024-02-09 16:00:00,7.168,7.248,6.882,7.052,10351679.6
2024-02-09 17:00:00,7.053,7.187,6.952,7.096,4171746.6
2024-02-09 18:00:00,7.095,7.224,7.027,7.057,3135958.5
2024-02-09 19:00:00,7.057,7.163,6.912,7.014,3117257.1
2024-02-09 20:00:00,7.013,7.14,6.96,7.015,2148208.5
2024-02-09 21:00:00,7.016,7.099,6.925,7.047,2549089.6
