datetime,open,high,low,close,volume
2023-11-28 13:00:00,2.885,2.942,2.818,2.93,1017812.0
2023-11-28 14:00:00,2.93,2.933,2.816,2.893,678820.0
2023-11-28 15:00:00,2.893,2.93,2.842,2.882,427625.0
2023-11-28 16:00:00,2.881,3.11,2.88,2.975,1434520.0
2023-11-28 17:00:00,2.969,3.028,2.92,2.98,634584.0
2023-11-28 18:00:00,2.977,3.043,2.943,3.03,262355.0
2023-11-28 19:00:00,3.032,3.059,2.962,2.992,268103.0
2023-11-28 20:00:00,2.992,3.044,2.978,3.029,229513.0
2023-11-28 21:00:00,3.032,3.093,3.016,3.072,249808.0
2023-11-28 22:00:00,3.074,3.088,3.01,3.02,197246.0
2023-11-28 23:00:00,3.021,3.05,2.968,2.973,195184.0
2023-11-29 00:00:00,2.973,2.981,2.864,2.977,427045.0
2023-11-29 01:00:00,2.976,3.034,2.938,2.947,443039.0
2023-11-29 02:00:00,2.947,2.948,2.901,2.92,207659.0
2023-11-29 03:00:00,2.921,2.955,2.919,2.939,201217.0
2023-11-29 04:00:00,2.94,2.98,2.94,2.963,228636.0
2023-11-29 05:00:00,2.964,3.013,2.961,2.992,224868.0
2023-11-29 06:00:00,2.992,2.996,2.917,2.943,295356.0
2023-11-29 07:00:00,2.943,2.959,2.83,2.851,605630.0
2023-11-29 08:00:00,2.852,2.918,2.832,2.888,597052.0
2023-11-29 09:00:00,2.887,2.92,2.861,2.868,379547.0
2023-11-29 10:00:00,2.867,2.896,2.842,2.892,333045.0
2023-11-29 11:00:00,2.892,2.926,2.82,2.847,543397.0
2023-11-29 12:00:00,2.847,2.884,2.8,2.857,547683.0
2023-11-29 13:00:00,2.857,2.857,2.744,2.802,635509.0
2023-11-29 14:00:00,2.802,2.831,2.722,2.742,487826.0
2023-11-29 15:00:00,2.741,2.774,2.7,2.762,492952.0
2023-11-29 16:00:00,2.759,2.773,2.659,2.718,479399.0
2023-11-29 17:00:00,2.72,2.772,2.715,2.756,257874.0
2023-11-29 18:00:00,2.757,2.773,2.739,2.773,167802.0
2023-11-29 19:00:00,2.773,2.774,2.736,2.76,105218.0
2023-11-29 20:00:00,2.758,2.771,2.73,2.758,143440.0
2023-11-29 21:00:00,2.757,2.768,2.724,2.736,119027.0
2023-11-29 22:00:00,2.736,2.761,2.734,2.753,119402.0
2023-11-29 23:00:00,2.754,2.763,2.718,2.739,172739.0
2023-11-30 00:00:00,2.739,2.769,2.708,2.728,182201.0
2023-11-30 01:00:00,2.728,2.731,2.666,2.679,323212.0
2023-11-30 02:00:00,2.678,2.727,2.67,2.722,141943.0
2023-11-30 03:00:00,2.722,2.759,2.7,2.752,275305.0
2023-11-30 04:00:00,2.752,2.761,2.714,2.721,125244.0
2023-11-30 05:00:00,2.721,2.731,2.689,2.708,154032.0
2023-11-30 06:00:00,2.708,2.723,2.699,2.715,93644.0
2023-11-30 07:00:00,2.715,2.762,2.711,2.73,145489.0
2023-11-30 08:00:00,2.731,2.748,2.662,2.683,233969.0
2023-11-30 09:00:00,2.684,2.711,2.666,2.702,159668.0
2023-11-30 10:00:00,2.704,2.73,2.695,2.702,105630.0
2023-11-30 11:00:00,2.702,2.719,2.691,2.716,95405.0
2023-11-30 12:00:00,2.717,2.722,2.695,2.708,76918.0
2023-11-30 13:00:00,2.708,2.72,2.678,2.692,178429.0
2023-11-30 14:00:00,2.692,2.692,2.574,2.604,741765.0
2023-11-30 15:00:00,2.604,2.631,2.583,2.607,238513.0
2023-11-30 16:00:00,2.606,2.769,2.598,2.719,1292252.0
2023-11-30 17:00:00,2.718,2.745,2.706,2.717,210587.0
2023-11-30 18:00:00,2.714,2.714,2.685,2.693,181229.0
2023-11-30 19:00:00,2.694,2.71,2.674,2.678,104403.0
2023-11-30 20:00:00,2.678,2.692,2.652,2.671,154160.0
