datetime,open,high,low,close,volume
2022-02-10 03:00:00,8.22,8.22,7.888,8.034,44997.9
2022-02-10 04:00:00,8.017,8.143,7.93,7.971,60296.7
2022-02-10 05:00:00,7.973,8.011,7.929,7.975,38530.3
2022-02-10 06:00:00,7.976,7.98,7.769,7.885,108513.3
2022-02-10 07:00:00,7.876,8.452,7.863,8.282,676728.1
2022-02-10 08:00:00,8.282,8.307,8.12,8.226,145257.8
2022-02-10 09:00:00,8.216,8.313,8.149,8.235,138047.6
2022-02-10 10:00:00,8.232,8.502,8.216,8.311,225698.3
2022-02-10 11:00:00,8.311,8.393,8.254,8.28,72162.6
2022-02-10 12:00:00,8.28,8.287,8.088,8.197,142725.2
2022-02-10 13:00:00,8.197,8.305,7.667,7.862,400066.9
2022-02-10 14:00:00,7.862,7.978,7.679,7.978,204879.3
2022-02-10 15:00:00,7.969,8.283,7.908,8.06,301045.0
2022-02-10 16:00:00,8.065,8.346,8.03,8.302,132308.9
2022-02-10 17:00:00,8.319,8.59,8.279,8.317,344673.2
2022-02-10 18:00:00,8.334,8.345,8.22,8.242,81062.2
2022-02-10 19:00:00,8.242,8.265,8.025,8.066,96467.3
2022-02-10 20:00:00,8.059,8.171,7.936,8.059,97647.7
2022-02-10 21:00:00,8.059,8.174,7.984,8.06,97541.3
2022-02-10 22:00:00,8.065,8.204,8.036,8.172,55942.7
2022-02-10 23:00:00,8.164,8.282,7.892,7.966,145705.6
2022-02-11 00:00:00,7.959,8.006,7.707,7.871,116452.6
2022-02-11 01:00:00,7.866,7.998,7.788,7.81,88766.1
2022-02-11 02:00:00,7.81,7.933,7.722,7.832,164083.1
2022-02-11 03:00:00,7.832,7.963,7.766,7.936,78957.4
2022-02-11 04:00:00,7.926,7.931,7.812,7.832,38639.2
2022-02-11 05:00:00,7.836,7.845,7.77,7.781,26456.1
2022-02-11 06:00:00,7.78,7.932,7.76,7.92,39606.1
2022-02-11 07:00:00,7.911,7.924,7.857,7.9,48906.3
2022-02-11 08:00:00,7.901,7.93,7.723,7.728,98490.5
2022-02-11 09:00:00,7.726,7.853,7.719,7.807,45653.2
