datetime,open,high,low,close,volume
2023-09-26 02:00:00,0.2428,0.2472,0.2206,0.2243,35887767.0
2023-09-26 03:00:00,0.2246,0.2382,0.218,0.2246,48039313.0
2023-09-26 04:00:00,0.2246,0.2328,0.2202,0.224,24506075.0
2023-09-26 05:00:00,0.2239,0.23,0.2194,0.2292,23708773.0
2023-09-26 06:00:00,0.2292,0.2309,0.2248,0.2272,15235039.0
2023-09-26 07:00:00,0.2273,0.236,0.227,0.2333,20511992.0
2023-09-26 08:00:00,0.2331,0.236,0.2235,0.2273,19687487.0
2023-09-26 09:00:00,0.2272,0.2297,0.2236,0.2284,9237926.0
2023-09-26 10:00:00,0.2283,0.232,0.2264,0.2304,8165798.0
2023-09-26 11:00:00,0.2304,0.245,0.2302,0.2365,41290062.0
2023-09-26 12:00:00,0.2365,0.2414,0.2268,0.2299,23408791.0
2023-09-26 13:00:00,0.2299,0.2383,0.2279,0.2322,16883500.0
2023-09-26 14:00:00,0.2322,0.2331,0.2238,0.2281,15441217.0
2023-09-26 15:00:00,0.2281,0.2308,0.2256,0.2293,6912212.0
2023-09-26 16:00:00,0.2293,0.2338,0.227,0.2291,8150462.0
2023-09-26 17:00:00,0.2291,0.2328,0.2282,0.2294,3407981.0
2023-09-26 18:00:00,0.2293,0.2324,0.2272,0.2322,5009015.0
2023-09-26 19:00:00,0.2322,0.2369,0.23,0.2335,7272628.0
2023-09-26 20:00:00,0.2335,0.2364,0.2311,0.2314,4490792.0
2023-09-26 21:00:00,0.2314,0.2409,0.2308,0.236,10575836.0
2023-09-26 22:00:00,0.2361,0.24,0.2331,0.236,4967055.0
2023-09-26 23:00:00,0.2359,0.2436,0.2348,0.2368,8056992.0
2023-09-27 00:00:00,0.2368,0.243,0.23,0.2403,13739987.0
2023-09-27 01:00:00,0.2402,0.2406,0.2352,0.2395,5312393.0
2023-09-27 02:00:00,0.2394,0.2406,0.2252,0.231,16701541.0
2023-09-27 03:00:00,0.2309,0.2354,0.2267,0.23,7209753.0
2023-09-27 04:00:00,0.23,0.2313,0.2271,0.2302,3985301.0
2023-09-27 05:00:00,0.2301,0.2557,0.2296,0.2528,56611720.0
2023-09-27 06:00:00,0.2528,0.2616,0.2485,0.2555,69478483.0
2023-09-27 07:00:00,0.2556,0.2785,0.2521,0.26,131854596.0
2023-09-27 08:00:00,0.26,0.2695,0.2486,0.2678,80354731.0
2023-09-27 09:00:00,0.2678,0.2711,0.2579,0.2647,39538161.0
2023-09-27 10:00:00,0.2647,0.2691,0.252,0.2544,44465165.0
2023-09-27 11:00:00,0.2543,0.2552,0.2383,0.2483,57866074.0
2023-09-27 12:00:00,0.2482,0.2517,0.243,0.2484,17096935.0
2023-09-27 13:00:00,0.2485,0.2607,0.245,0.259,18878984.0
2023-09-27 14:00:00,0.2591,0.2599,0.242,0.2522,41815199.0
2023-09-27 15:00:00,0.2521,0.258,0.2462,0.2552,21210419.0
2023-09-27 16:00:00,0.2552,0.2609,0.2501,0.2541,21399236.0
2023-09-27 17:00:00,0.2541,0.2579,0.2524,0.2552,9978776.0
2023-09-27 18:00:00,0.2552,0.2644,0.2528,0.2548,21044587.0
2023-09-27 19:00:00,0.2549,0.2615,0.2538,0.2582,13037571.0
2023-09-27 20:00:00,0.2583,0.2649,0.2574,0.2582,15136735.0
2023-09-27 21:00:00,0.2582,0.2586,0.2494,0.2534,10347412.0
2023-09-27 22:00:00,0.2533,0.2599,0.2496,0.2534,9561050.0
2023-09-27 23:00:00,0.2534,0.2557,0.2516,0.2532,3974284.0
2023-09-28 00:00:00,0.2531,0.2578,0.2456,0.252,15097723.0
2023-09-28 01:00:00,0.252,0.2575,0.2496,0.2548,6711045.0
2023-09-28 02:00:00,0.2548,0.2561,0.2471,0.2504,7017741.0
2023-09-28 03:00:00,0.2506,0.2544,0.2444,0.247,6988078.0
2023-09-28 04:00:00,0.2471,0.2497,0.2409,0.245,10568270.0
2023-09-28 05:00:00,0.245,0.2482,0.2426,0.2432,5321823.0
2023-09-28 06:00:00,0.2433,0.2463,0.2421,0.2458,4301560.0
2023-09-28 07:00:00,0.2459,0.2525,0.2452,0.2494,9497058.0
2023-09-28 08:00:00,0.2493,0.2537,0.2452,0.2471,13335319.0
2023-09-28 09:00:00,0.2471,0.2478,0.2284,0.2354,34144243.0
2023-09-28 10:00:00,0.2354,0.2384,0.2336,0.2367,8463103.0
2023-09-28 11:00:00,0.2366,0.2391,0.2333,0.2373,7341001.0
2023-09-28 12:00:00,0.2373,0.2375,0.2309,0.2361,9721774.0
2023-09-28 13:00:00,0.2361,0.241,0.235,0.2366,11147836.0
2023-09-28 14:00:00,0.2367,0.2447,0.2346,0.2432,11709599.0
2023-09-28 15:00:00,0.2432,0.2444,0.2359,0.2378,9703561.0
2023-09-28 16:00:00,0.2376,0.2433,0.2356,0.2402,7099630.0
2023-09-28 17:00:00,0.2402,0.2435,0.2388,0.242,3989379.0
2023-09-28 18:00:00,0.242,0.245,0.2394,0.2441,5749295.0
2023-09-28 19:00:00,0.2441,0.2492,0.2426,0.2485,7326482.0
2023-09-28 20:00:00,0.2485,0.2488,0.2451,0.2468,3372443.0
2023-09-28 21:00:00,0.2468,0.2472,0.2434,0.2471,2820196.0
2023-09-28 22:00:00,0.2469,0.2484,0.2442,0.2451,3117459.0
2023-09-28 23:00:00,0.245,0.2484,0.2422,0.2476,3900426.0
2023-09-29 00:00:00,0.2477,0.248,0.2371,0.2394,6988840.0
2023-09-29 01:00:00,0.2396,0.2437,0.2378,0.2408,4013840.0
2023-09-29 02:00:00,0.2408,0.2463,0.239,0.2418,6355184.0
2023-09-29 03:00:00,0.242,0.2446,0.242,0.2435,2455238.0
2023-09-29 04:00:00,0.2434,0.2574,0.2411,0.2516,16996688.0
2023-09-29 05:00:00,0.2515,0.2622,0.2495,0.2532,20959338.0
2023-09-29 06:00:00,0.2532,0.2564,0.2471,0.2482,7827452.0
2023-09-29 07:00:00,0.2482,0.2496,0.245,0.2486,4440900.0
2023-09-29 08:00:00,0.2485,0.249,0.2453,0.2474,2910465.0
2023-09-29 09:00:00,0.2474,0.251,0.2473,0.2497,4514094.0
