datetime,open,high,low,close,volume
2023-09-16 14:00:00,1.943,2.4527,1.8542,2.3629,26673753.0
2023-09-16 15:00:00,2.3607,2.642,2.3427,2.5625,77934414.0
2023-09-16 16:00:00,2.5625,2.618,1.9235,1.9516,92515779.0
2023-09-16 17:00:00,1.951,1.9564,1.4671,1.7245,132295017.0
2023-09-16 18:00:00,1.7242,1.7586,1.416,1.4369,55742867.0
2023-09-16 19:00:00,1.4365,1.525,1.3076,1.4757,59943557.0
2023-09-16 20:00:00,1.4757,1.705,1.46,1.6236,51146228.0
2023-09-16 21:00:00,1.6236,1.78,1.6158,1.7642,29509210.0
2023-09-16 22:00:00,1.7633,1.9419,1.721,1.9158,26166026.0
2023-09-16 23:00:00,1.9157,2.0169,1.7668,1.7965,36012326.0
2023-09-17 00:00:00,1.7969,1.8321,1.4444,1.473,55929678.0
2023-09-17 01:00:00,1.4722,1.5032,1.32,1.3875,51577851.0
2023-09-17 02:00:00,1.388,1.4566,1.284,1.3582,47242992.0
2023-09-17 03:00:00,1.3587,1.5276,1.326,1.3746,58545665.0
2023-09-17 04:00:00,1.3738,1.4012,1.3131,1.3504,29542831.0
2023-09-17 05:00:00,1.3509,1.3685,1.26,1.3452,38951380.0
2023-09-17 06:00:00,1.3447,1.346,1.22,1.2417,51032008.0
2023-09-17 07:00:00,1.2417,1.2699,1.0903,1.1121,78136203.0
2023-09-17 08:00:00,1.1119,1.1823,1.0368,1.1698,109163021.0
2023-09-17 09:00:00,1.1695,1.2135,1.1103,1.1588,59596481.0
2023-09-17 10:00:00,1.1592,1.165,1.07,1.0944,45298183.0
2023-09-17 11:00:00,1.0942,1.1,1.03,1.0596,54800159.0
2023-09-17 12:00:00,1.0597,1.1222,1.0356,1.0771,55186071.0
2023-09-17 13:00:00,1.0774,1.0953,1.0455,1.0822,38816794.0
2023-09-17 14:00:00,1.0822,1.1439,1.0768,1.1246,53981968.0
2023-09-17 15:00:00,1.1246,1.135,1.1,1.1181,31160780.0
2023-09-17 16:00:00,1.1181,1.1215,1.04,1.0726,47560424.0
2023-09-17 17:00:00,1.0727,1.08,1.043,1.0665,27311619.0
2023-09-17 18:00:00,1.0665,1.0673,0.981,1.0001,56410872.0
2023-09-17 19:00:00,1.0001,1.0194,0.9537,0.9634,38504756.0
2023-09-17 20:00:00,0.9634,0.976,0.8566,0.8826,94181201.0
2023-09-17 21:00:00,0.883,0.8999,0.85,0.8736,47744870.0
2023-09-17 22:00:00,0.8735,0.9579,0.8705,0.9,49511338.0
2023-09-17 23:00:00,0.8999,0.9144,0.8706,0.9005,23229608.0
2023-09-18 00:00:00,0.9005,0.9243,0.7985,0.8532,87570790.0
2023-09-18 01:00:00,0.8534,0.88,0.8109,0.8344,38720984.0
2023-09-18 02:00:00,0.8344,0.873,0.8215,0.8522,25189929.0
2023-09-18 03:00:00,0.8522,0.923,0.8319,0.9002,41508528.0
2023-09-18 04:00:00,0.9002,0.9353,0.8563,0.8701,41235632.0
2023-09-18 05:00:00,0.8701,0.8943,0.8595,0.8666,19158900.0
2023-09-18 06:00:00,0.8668,0.8704,0.8345,0.8468,25560609.0
2023-09-18 07:00:00,0.8467,0.88,0.8423,0.8529,22287510.0
2023-09-18 08:00:00,0.853,0.8739,0.8458,0.8709,18170085.0
2023-09-18 09:00:00,0.871,0.8976,0.8414,0.8589,32563312.0
2023-09-18 10:00:00,0.8585,0.865,0.828,0.847,34926777.0
2023-09-18 11:00:00,0.8469,0.8718,0.8175,0.8386,29486987.0
2023-09-18 12:00:00,0.8384,0.8474,0.8301,0.8388,17672281.0
2023-09-18 13:00:00,0.8387,0.8493,0.811,0.8273,30241015.0
2023-09-18 14:00:00,0.8272,0.86,0.8245,0.8447,25760689.0
2023-09-18 15:00:00,0.8447,0.8535,0.8332,0.8486,16513285.0
2023-09-18 16:00:00,0.8488,0.871,0.824,0.8364,25139068.0
2023-09-18 17:00:00,0.8363,0.8488,0.825,0.8394,12650690.0
2023-09-18 18:00:00,0.8393,0.8444,0.8214,0.8364,13908900.0
2023-09-18 19:00:00,0.8364,0.846,0.8356,0.8426,6675278.0
