datetime,open,high,low,close,volume
2023-01-23 03:00:00,2.59,2.59,2.361,2.4,2508385.1
2023-01-23 04:00:00,2.404,2.622,2.399,2.584,2770262.9
2023-01-23 05:00:00,2.584,2.862,2.583,2.804,6667359.9
2023-01-23 06:00:00,2.803,2.838,2.621,2.685,3764421.0
2023-01-23 07:00:00,2.683,2.738,2.595,2.64,2193738.8
2023-01-23 08:00:00,2.64,2.748,2.581,2.591,3086836.7
2023-01-23 09:00:00,2.591,2.733,2.591,2.697,1532540.6
2023-01-23 10:00:00,2.697,2.802,2.651,2.794,2042711.2
2023-01-23 11:00:00,2.794,2.877,2.68,2.838,3076416.6
2023-01-23 12:00:00,2.839,3.063,2.83,2.903,13824034.0
2023-01-23 13:00:00,2.905,2.958,2.746,2.83,7389056.5
2023-01-23 14:00:00,2.826,2.838,2.57,2.619,7826762.6
2023-01-23 15:00:00,2.614,2.73,2.584,2.684,4333822.8
2023-01-23 16:00:00,2.686,2.797,2.681,2.754,2718822.8
2023-01-23 17:00:00,2.754,2.789,2.63,2.718,2378007.2
2023-01-23 18:00:00,2.718,2.75,2.635,2.643,1162253.1
2023-01-23 19:00:00,2.644,2.673,2.6,2.658,1335100.1
2023-01-23 20:00:00,2.658,2.758,2.65,2.732,1335754.6
2023-01-23 21:00:00,2.732,2.774,2.7,2.725,889498.9
2023-01-23 22:00:00,2.726,2.757,2.7,2.711,582751.5
2023-01-23 23:00:00,2.711,2.897,2.68,2.804,2265119.9
2023-01-24 00:00:00,2.802,3.085,2.8,2.994,7759989.5
2023-01-24 01:00:00,2.997,3.286,2.988,3.093,12051900.7
2023-01-24 02:00:00,3.093,3.19,3.01,3.064,5692090.7
2023-01-24 03:00:00,3.064,3.228,3.012,3.051,6706107.3
2023-01-24 04:00:00,3.051,3.15,3.033,3.074,3561049.1
2023-01-24 05:00:00,3.072,3.177,3.028,3.063,4136589.4
2023-01-24 06:00:00,3.065,3.116,3.022,3.06,2958397.0
2023-01-24 07:00:00,3.059,3.13,3.024,3.039,2825339.5
2023-01-24 08:00:00,3.04,3.126,3.011,3.071,3568715.2
2023-01-24 09:00:00,3.071,3.076,2.85,2.902,8025809.9
2023-01-24 10:00:00,2.902,2.939,2.798,2.852,3180460.7
2023-01-24 11:00:00,2.854,2.885,2.732,2.789,4529774.7
2023-01-24 12:00:00,2.789,2.85,2.718,2.81,3451045.6
2023-01-24 13:00:00,2.809,2.853,2.755,2.783,2045708.0
2023-01-24 14:00:00,2.783,2.839,2.7,2.721,2392001.9
2023-01-24 15:00:00,2.722,2.798,2.683,2.782,2539492.4
2023-01-24 16:00:00,2.784,2.784,2.656,2.668,1874189.3
2023-01-24 17:00:00,2.668,2.731,2.612,2.708,2952554.0
2023-01-24 18:00:00,2.708,2.768,2.662,2.741,1181203.6
2023-01-24 19:00:00,2.738,2.778,2.72,2.743,931412.5
2023-01-24 20:00:00,2.745,2.748,2.64,2.698,1074429.9
2023-01-24 21:00:00,2.698,2.713,2.459,2.499,4338595.3
2023-01-24 22:00:00,2.499,2.55,2.409,2.519,4962172.1
2023-01-24 23:00:00,2.517,2.556,2.425,2.532,3350553.1
2023-01-25 00:00:00,2.533,2.535,2.35,2.51,4923301.5
2023-01-25 01:00:00,2.513,2.655,2.45,2.621,5057603.8
2023-01-25 02:00:00,2.622,2.635,2.567,2.59,2002486.1
2023-01-25 03:00:00,2.591,2.617,2.546,2.566,1112229.9
2023-01-25 04:00:00,2.564,2.596,2.467,2.547,2515972.8
2023-01-25 05:00:00,2.549,2.637,2.547,2.589,1806512.7
2023-01-25 06:00:00,2.589,2.699,2.575,2.653,2340337.9
2023-01-25 07:00:00,2.654,2.77,2.637,2.688,2729030.8
2023-01-25 08:00:00,2.688,2.739,2.65,2.679,1755648.9
2023-01-25 09:00:00,2.679,2.685,2.581,2.622,2626847.5
2023-01-25 10:00:00,2.622,2.668,2.578,2.664,1484723.8
2023-01-25 11:00:00,2.664,2.668,2.605,2.63,1326109.6
2023-01-25 12:00:00,2.63,2.956,2.614,2.955,8370158.9
2023-01-25 13:00:00,2.954,3.084,2.85,2.876,8383955.3
2023-01-25 14:00:00,2.876,2.89,2.693,2.698,7608902.3
2023-01-25 15:00:00,2.7,2.759,2.62,2.719,6112464.9
2023-01-25 16:00:00,2.716,2.888,2.715,2.832,4802087.0
2023-01-25 17:00:00,2.83,2.85,2.723,2.784,2521398.1
2023-01-25 18:00:00,2.786,2.841,2.691,2.824,2504372.1
2023-01-25 19:00:00,2.824,2.942,2.771,2.924,2127268.5
2023-01-25 20:00:00,2.922,3.172,2.885,3.15,6324459.3
2023-01-25 21:00:00,3.15,3.39,3.044,3.101,10387555.1
2023-01-25 22:00:00,3.101,3.189,2.907,2.935,5378210.8
2023-01-25 23:00:00,2.935,3.129,2.928,3.058,3187271.3
2023-01-26 00:00:00,3.055,3.294,3.055,3.258,5580893.7
2023-01-26 01:00:00,3.258,3.26,3.008,3.042,3982334.5
2023-01-26 02:00:00,3.043,3.158,3.043,3.069,2262652.2
2023-01-26 03:00:00,3.069,3.134,3.049,3.054,1641541.5
2023-01-26 04:00:00,3.054,3.118,2.94,3.092,2899884.8
2023-01-26 05:00:00,3.09,3.094,3.0,3.022,1236483.5
2023-01-26 06:00:00,3.022,3.085,2.961,2.985,1864688.7
2023-01-26 07:00:00,2.985,3.05,2.952,2.975,1792458.7
2023-01-26 08:00:00,2.975,3.031,2.853,2.921,3173998.4
2023-01-26 09:00:00,2.92,2.947,2.816,2.9,2583180.9
2023-01-26 10:00:00,2.9,2.9,2.758,2.81,3197553.0
