datetime,open,high,low,close,volume
2020-07-28 07:00:00,2.589,2.7391,2.44,2.6491,673282.5
2020-07-28 08:00:00,2.6495,2.695,2.55,2.5733,638834.6
2020-07-28 09:00:00,2.5709,2.5908,2.4642,2.4717,325055.5
2020-07-28 10:00:00,2.4717,2.6163,2.4569,2.5996,545865.1
2020-07-28 11:00:00,2.5996,2.65,2.56,2.6247,813090.1
2020-07-28 12:00:00,2.6247,2.627,2.5339,2.5596,645225.9
2020-07-28 13:00:00,2.5611,2.565,2.488,2.4886,461951.3
2020-07-28 14:00:00,2.4886,2.5278,2.4624,2.4654,556501.4
2020-07-28 15:00:00,2.4661,2.4896,2.4262,2.4791,699071.0
2020-07-28 16:00:00,2.4791,2.5243,2.4486,2.5112,683797.4
2020-07-28 17:00:00,2.51,2.5186,2.4896,2.5066,324176.5
2020-07-28 18:00:00,2.5064,2.5284,2.4657,2.4865,371365.8
2020-07-28 19:00:00,2.4869,2.5245,2.4846,2.5149,211408.2
2020-07-28 20:00:00,2.511,2.53,2.5089,2.514,163466.8
2020-07-28 21:00:00,2.5146,2.53,2.4845,2.5283,254007.0
2020-07-28 22:00:00,2.5297,2.5999,2.525,2.5917,464367.8
2020-07-28 23:00:00,2.592,2.6261,2.5873,2.5999,548557.6
2020-07-29 00:00:00,2.6,2.7224,2.5949,2.686,836587.3
2020-07-29 01:00:00,2.686,2.6962,2.6024,2.6252,563435.4
2020-07-29 02:00:00,2.6252,2.6487,2.6054,2.6235,403449.7
2020-07-29 03:00:00,2.6235,2.6852,2.6233,2.662,484696.9
2020-07-29 04:00:00,2.6627,2.6646,2.5985,2.652,380550.5
2020-07-29 05:00:00,2.652,2.7373,2.6344,2.6755,564983.9
2020-07-29 06:00:00,2.6743,2.7031,2.6481,2.6509,391688.6
2020-07-29 07:00:00,2.6511,2.6618,2.6315,2.6332,233733.0
2020-07-29 08:00:00,2.6332,2.6556,2.6059,2.6143,379613.3
2020-07-29 09:00:00,2.6163,2.6163,2.516,2.5703,493393.5
2020-07-29 10:00:00,2.5701,2.5719,2.5455,2.5582,273249.9
2020-07-29 11:00:00,2.5576,2.5917,2.5479,2.5737,252903.1
2020-07-29 12:00:00,2.5737,2.5771,2.531,2.5613,291736.3
2020-07-29 13:00:00,2.5599,2.5709,2.5355,2.5517,282274.3
2020-07-29 14:00:00,2.5522,2.5523,2.4914,2.5201,363259.1
2020-07-29 15:00:00,2.5201,2.5312,2.5051,2.5129,319728.9
2020-07-29 16:00:00,2.5111,2.53,2.4631,2.47,341169.0
2020-07-29 17:00:00,2.4698,2.5415,2.4581,2.5075,478350.5
2020-07-29 18:00:00,2.5078,2.5401,2.5076,2.5257,287448.4
2020-07-29 19:00:00,2.526,2.577,2.5259,2.5729,362356.8
2020-07-29 20:00:00,2.573,2.5884,2.5406,2.5477,347394.6
2020-07-29 21:00:00,2.5477,2.5477,2.4878,2.5069,384247.4
2020-07-29 22:00:00,2.5059,2.5181,2.4882,2.5072,508055.4
2020-07-29 23:00:00,2.5072,2.5201,2.4901,2.5145,300517.7
2020-07-30 00:00:00,2.5168,2.525,2.4895,2.5207,415534.8
