datetime,open,high,low,close,volume
2023-03-10 12:00:00,1.73,1.73,1.637,1.6715,2769230.3
2023-03-10 13:00:00,1.6716,1.7614,1.6301,1.7465,3436950.2
2023-03-10 14:00:00,1.7464,1.774,1.6921,1.7225,5175121.8
2023-03-10 15:00:00,1.7225,1.7446,1.665,1.6943,2915699.8
2023-03-10 16:00:00,1.6944,1.776,1.6812,1.7642,3426657.8
2023-03-10 17:00:00,1.763,1.7785,1.7027,1.717,3047864.0
2023-03-10 18:00:00,1.7176,1.7895,1.7146,1.7598,3106125.5
2023-03-10 19:00:00,1.7599,1.9068,1.741,1.8628,8616535.7
2023-03-10 20:00:00,1.863,1.8878,1.8028,1.8555,4305675.8
2023-03-10 21:00:00,1.8555,1.8953,1.8,1.8834,3103128.8
2023-03-10 22:00:00,1.8827,1.9464,1.8611,1.9058,3726837.5
2023-03-10 23:00:00,1.9058,2.2655,1.886,2.1186,12910254.5
2023-03-11 00:00:00,2.12,2.256,2.1176,2.1779,13659755.1
2023-03-11 01:00:00,2.1769,2.2388,2.16,2.1723,6445729.8
2023-03-11 02:00:00,2.1721,2.2914,2.1703,2.227,10687319.5
2023-03-11 03:00:00,2.227,2.2279,2.0686,2.1551,13636686.7
2023-03-11 04:00:00,2.1551,2.179,2.0798,2.14,7982264.6
2023-03-11 05:00:00,2.1396,2.38,2.1388,2.2877,16824429.4
2023-03-11 06:00:00,2.2876,2.2882,2.06,2.0721,12095969.8
2023-03-11 07:00:00,2.0721,2.0994,1.7518,1.843,18083815.0
2023-03-11 08:00:00,1.843,1.996,1.7649,1.9573,13522850.0
2023-03-11 09:00:00,1.9561,2.11,1.9326,2.0046,13638715.0
2023-03-11 10:00:00,2.0045,2.13,1.9968,2.0372,12500218.4
2023-03-11 11:00:00,2.0367,2.0927,1.956,2.0268,8965172.5
2023-03-11 12:00:00,2.0261,2.0651,1.965,1.9987,8105353.1
2023-03-11 13:00:00,1.9988,2.0292,1.9738,1.985,4877013.0
2023-03-11 14:00:00,1.9854,2.03,1.94,1.9801,5136070.6
2023-03-11 15:00:00,1.9801,1.989,1.9102,1.9475,8264783.0
2023-03-11 16:00:00,1.9472,1.9472,1.8287,1.8764,9652096.6
2023-03-11 17:00:00,1.8753,2.1026,1.8553,2.0514,13883439.5
2023-03-11 18:00:00,2.0512,2.0619,1.9801,2.0001,7465195.3
2023-03-11 19:00:00,2.0001,2.029,1.9837,2.0086,3592965.9
2023-03-11 20:00:00,2.0083,2.078,1.99,2.046,4728096.8
2023-03-11 21:00:00,2.046,2.15,2.0152,2.0673,5670652.6
2023-03-11 22:00:00,2.0673,2.17,2.0581,2.1362,7216498.6
