datetime,open,high,low,close,volume
2023-01-25 03:00:00,1.29,1.29,1.1634,1.2053,6885107.3
2023-01-25 04:00:00,1.2042,1.266,1.2014,1.2303,4129378.1
2023-01-25 05:00:00,1.2316,1.2318,1.1593,1.1709,3725470.9
2023-01-25 06:00:00,1.1705,1.205,1.1548,1.1761,2587018.0
2023-01-25 07:00:00,1.176,1.1951,1.1622,1.1903,1499642.4
2023-01-25 08:00:00,1.1897,1.1915,1.1,1.135,7064100.7
2023-01-25 09:00:00,1.1344,1.1385,1.071,1.0917,6458403.3
2023-01-25 10:00:00,1.0917,1.1144,1.08,1.11,2321651.9
2023-01-25 11:00:00,1.1106,1.1253,1.091,1.0997,2973885.0
2023-01-25 12:00:00,1.0992,1.1945,1.0809,1.1618,8077866.6
2023-01-25 13:00:00,1.1614,1.2018,1.1354,1.1568,4924339.0
2023-01-25 14:00:00,1.156,1.1617,1.1023,1.107,3902104.1
2023-01-25 15:00:00,1.1067,1.1543,1.0814,1.1413,3534442.9
2023-01-25 16:00:00,1.1407,1.1559,1.1144,1.1269,1909689.1
2023-01-25 17:00:00,1.1268,1.1446,1.088,1.1117,2830976.5
2023-01-25 18:00:00,1.1117,1.13,1.1042,1.129,1302888.5
2023-01-25 19:00:00,1.1299,1.1479,1.1096,1.1466,2175786.2
2023-01-25 20:00:00,1.1466,1.221,1.1351,1.219,3596307.0
2023-01-25 21:00:00,1.2189,1.258,1.2,1.2362,4707285.9
2023-01-25 22:00:00,1.2364,1.2685,1.1704,1.1947,5063595.3
2023-01-25 23:00:00,1.1943,1.236,1.1725,1.2099,2634226.7
2023-01-26 00:00:00,1.2105,1.35,1.2,1.2804,8290627.9
2023-01-26 01:00:00,1.2804,1.3118,1.0901,1.1462,23365224.8
2023-01-26 02:00:00,1.1461,1.2323,1.1386,1.2035,10451729.0
2023-01-26 03:00:00,1.203,1.2556,1.1765,1.244,5599635.2
2023-01-26 04:00:00,1.2436,1.2728,1.2051,1.2665,4111622.3
2023-01-26 05:00:00,1.2664,1.42,1.2444,1.3931,14341596.1
2023-01-26 06:00:00,1.3928,1.4624,1.3,1.3858,15589902.2
2023-01-26 07:00:00,1.3867,1.3869,1.328,1.341,5912429.3
2023-01-26 08:00:00,1.341,1.4057,1.3306,1.3739,8108563.1
2023-01-26 09:00:00,1.3736,1.3935,1.3015,1.3048,6337495.7
2023-01-26 10:00:00,1.3048,1.3434,1.2301,1.272,10164691.4
2023-01-26 11:00:00,1.2714,1.3044,1.2544,1.2954,5182337.1
2023-01-26 12:00:00,1.2957,1.3148,1.25,1.283,5877719.6
2023-01-26 13:00:00,1.2829,1.3512,1.2637,1.3504,6518300.6
2023-01-26 14:00:00,1.3512,1.352,1.25,1.2596,7391868.1
2023-01-26 15:00:00,1.2591,1.289,1.211,1.2264,6096317.8
2023-01-26 16:00:00,1.2236,1.2506,1.1795,1.2361,6497544.9
2023-01-26 17:00:00,1.2361,1.245,1.2163,1.2287,2061801.0
2023-01-26 18:00:00,1.2289,1.242,1.2068,1.2288,1482406.2
2023-01-26 19:00:00,1.2288,1.23,1.201,1.2133,1540453.3
2023-01-26 20:00:00,1.2133,1.2229,1.1906,1.2088,1564389.9
2023-01-26 21:00:00,1.2088,1.2156,1.1962,1.2112,1333092.9
2023-01-26 22:00:00,1.2112,1.2416,1.2076,1.2294,1474565.1
2023-01-26 23:00:00,1.2291,1.2348,1.201,1.2228,1729342.2
