datetime,open,high,low,close,volume
2020-07-31 07:00:00,1.1255,1.2179,1.1255,1.1786,760577.0
2020-07-31 08:00:00,1.1742,1.2298,1.1729,1.2182,697430.2
2020-07-31 09:00:00,1.2172,1.2599,1.1966,1.215,891057.1
2020-07-31 10:00:00,1.211,1.2354,1.211,1.219,667123.0
2020-07-31 11:00:00,1.2185,1.2224,1.2023,1.2057,375718.5
2020-07-31 12:00:00,1.2064,1.22,1.2033,1.2093,487376.2
2020-07-31 13:00:00,1.2095,1.2141,1.185,1.1969,586177.4
2020-07-31 14:00:00,1.1969,1.2075,1.1912,1.2041,607058.9
2020-07-31 15:00:00,1.2041,1.2041,1.1676,1.1955,794726.9
2020-07-31 16:00:00,1.1955,1.2206,1.1815,1.212,1006012.6
2020-07-31 17:00:00,1.2151,1.2203,1.1775,1.1843,760500.8
2020-07-31 18:00:00,1.1839,1.1931,1.1701,1.1806,387596.2
2020-07-31 19:00:00,1.1806,1.1946,1.1805,1.1845,454894.5
2020-07-31 20:00:00,1.1845,1.1929,1.1747,1.1842,478778.0
2020-07-31 21:00:00,1.1842,1.1955,1.1727,1.1777,465805.9
2020-07-31 22:00:00,1.1775,1.1888,1.1742,1.1843,225301.8
2020-07-31 23:00:00,1.1842,1.192,1.1762,1.1805,479282.1
2020-08-01 00:00:00,1.1808,1.1831,1.1727,1.1763,385255.4
2020-08-01 01:00:00,1.176,1.221,1.176,1.2159,612422.8
2020-08-01 02:00:00,1.2159,1.2178,1.1875,1.2035,530371.5
2020-08-01 03:00:00,1.2033,1.2052,1.1826,1.1888,475880.3
2020-08-01 04:00:00,1.1889,1.2003,1.1824,1.1979,419653.5
2020-08-01 05:00:00,1.1979,1.2062,1.1774,1.1896,634155.1
2020-08-01 06:00:00,1.1896,1.1972,1.1783,1.1859,504616.4
2020-08-01 07:00:00,1.1863,1.2003,1.182,1.1917,499591.9
2020-08-01 08:00:00,1.1916,1.2089,1.1902,1.2012,547784.0
