datetime,open,high,low,close,volume
2023-02-03 02:00:00,1.584,1.7214,1.5472,1.5761,1661234.9
2023-02-03 03:00:00,1.5776,1.5975,1.5299,1.5787,1159724.8
2023-02-03 04:00:00,1.5786,1.642,1.5711,1.6416,1468289.1
2023-02-03 05:00:00,1.6405,1.6459,1.5819,1.5967,1163203.0
2023-02-03 06:00:00,1.5948,1.6132,1.5472,1.5825,1079446.9
2023-02-03 07:00:00,1.5825,1.6086,1.5684,1.5832,779704.2
2023-02-03 08:00:00,1.582,1.63,1.57,1.6205,983107.8
2023-02-03 09:00:00,1.6191,1.6548,1.6083,1.6478,1641580.0
2023-02-03 10:00:00,1.6517,1.7416,1.6304,1.7364,3219778.1
2023-02-03 11:00:00,1.7326,1.7388,1.683,1.717,3497183.4
2023-02-03 12:00:00,1.7182,1.723,1.673,1.7005,1988818.0
2023-02-03 13:00:00,1.7022,1.71,1.5998,1.6562,2829480.4
2023-02-03 14:00:00,1.6562,1.7055,1.645,1.6995,1370598.8
2023-02-03 15:00:00,1.6996,1.76,1.6664,1.6728,2477567.8
2023-02-03 16:00:00,1.6737,1.7231,1.6736,1.6811,1390718.8
2023-02-03 17:00:00,1.6811,1.7097,1.68,1.6894,854150.4
2023-02-03 18:00:00,1.6861,1.6971,1.6468,1.6641,777528.9
2023-02-03 19:00:00,1.667,1.6702,1.6467,1.6492,468209.2
2023-02-03 20:00:00,1.6488,1.6704,1.6262,1.6637,781894.2
2023-02-03 21:00:00,1.6639,1.7251,1.6639,1.6955,1490058.4
2023-02-03 22:00:00,1.6955,1.7234,1.6842,1.7059,973857.6
2023-02-03 23:00:00,1.7069,1.7198,1.6946,1.6975,566613.5
2023-02-04 00:00:00,1.6975,1.7159,1.676,1.7038,895504.6
2023-02-04 01:00:00,1.7039,1.7137,1.6403,1.6449,747400.0
2023-02-04 02:00:00,1.6465,1.6901,1.6444,1.6826,538461.7
2023-02-04 03:00:00,1.6825,1.6834,1.6501,1.6556,377121.6
2023-02-04 04:00:00,1.6557,1.6894,1.6534,1.6583,618632.9
2023-02-04 05:00:00,1.6586,1.6684,1.64,1.6608,559857.0
2023-02-04 06:00:00,1.6614,1.6848,1.6548,1.6782,701086.3
2023-02-04 07:00:00,1.6783,1.6783,1.6518,1.6652,440043.2
2023-02-04 08:00:00,1.6658,1.6661,1.639,1.6424,423841.2
2023-02-04 09:00:00,1.6427,1.663,1.6303,1.6581,655366.2
2023-02-04 10:00:00,1.6581,1.6611,1.647,1.6546,381226.3
2023-02-04 11:00:00,1.6546,1.765,1.653,1.7263,4402073.7
2023-02-04 12:00:00,1.7263,1.763,1.6867,1.7141,1968082.6
2023-02-04 13:00:00,1.7129,1.7268,1.6927,1.7029,888176.1
2023-02-04 14:00:00,1.703,1.7239,1.6935,1.7099,711978.7
2023-02-04 15:00:00,1.7084,1.7094,1.6782,1.6831,552009.3
2023-02-04 16:00:00,1.684,1.6944,1.6625,1.6679,899055.5
2023-02-04 17:00:00,1.6672,1.68,1.6433,1.6782,651811.8
2023-02-04 18:00:00,1.6777,1.707,1.659,1.7004,797983.1
2023-02-04 19:00:00,1.7005,1.7274,1.6779,1.6849,966936.3
2023-02-04 20:00:00,1.6848,1.7121,1.6711,1.6729,754269.6
2023-02-04 21:00:00,1.673,1.6933,1.673,1.6929,398421.6
2023-02-04 22:00:00,1.6924,1.6961,1.682,1.6913,280415.7
2023-02-04 23:00:00,1.692,1.6937,1.659,1.6763,436345.8
2023-02-05 00:00:00,1.6762,1.6766,1.626,1.633,778225.9
2023-02-05 01:00:00,1.6351,1.71,1.6351,1.6964,1081381.1
2023-02-05 02:00:00,1.6966,1.7171,1.6768,1.6816,1118411.8
2023-02-05 03:00:00,1.6811,1.75,1.68,1.7472,2804281.5
2023-02-05 04:00:00,1.7463,1.7696,1.7001,1.7211,2676896.0
2023-02-05 05:00:00,1.7192,1.78,1.7179,1.7798,1747365.2
2023-02-05 06:00:00,1.7798,1.8428,1.7788,1.7998,4855558.0
2023-02-05 07:00:00,1.8016,1.829,1.7821,1.7959,2969229.3
2023-02-05 08:00:00,1.7951,1.7962,1.7552,1.7702,2410573.1
2023-02-05 09:00:00,1.7703,1.8746,1.7577,1.8541,7089982.7
2023-02-05 10:00:00,1.8547,1.8729,1.83,1.8584,4504886.1
2023-02-05 11:00:00,1.8585,1.8594,1.808,1.833,3465581.7
2023-02-05 12:00:00,1.833,1.8397,1.64,1.7149,6579935.7
2023-02-05 13:00:00,1.7144,1.775,1.6907,1.7526,4941118.4
2023-02-05 14:00:00,1.751,1.7686,1.7207,1.7375,1723991.6
2023-02-05 15:00:00,1.7375,1.7502,1.6712,1.698,2633823.9
2023-02-05 16:00:00,1.6981,1.7463,1.66,1.7047,3401092.3
2023-02-05 17:00:00,1.705,1.7125,1.6518,1.6557,1997168.2
2023-02-05 18:00:00,1.6558,1.705,1.6536,1.6774,1398066.6
2023-02-05 19:00:00,1.6757,1.7058,1.6715,1.7001,874201.2
2023-02-05 20:00:00,1.7003,1.7376,1.6681,1.7375,1528610.4
2023-02-05 21:00:00,1.7364,1.7599,1.7018,1.7516,2409425.1
2023-02-05 22:00:00,1.7516,1.7842,1.7219,1.7682,2271012.4
2023-02-05 23:00:00,1.7682,1.7785,1.7413,1.7513,1201313.6
2023-02-06 00:00:00,1.7518,1.8485,1.731,1.8435,2542817.9
2023-02-06 01:00:00,1.8434,1.86,1.7717,1.8107,3202540.4
2023-02-06 02:00:00,1.8133,1.8311,1.7827,1.7906,2096637.5
2023-02-06 03:00:00,1.7915,1.8641,1.7811,1.8489,3173496.1
2023-02-06 04:00:00,1.8486,1.8975,1.8221,1.8724,4923913.6
2023-02-06 05:00:00,1.8725,1.88,1.8021,1.8238,3363647.2
2023-02-06 06:00:00,1.824,1.85,1.8025,1.8202,1371723.6
2023-02-06 07:00:00,1.8212,1.8426,1.7837,1.8107,2018296.5
2023-02-06 08:00:00,1.8109,1.8595,1.8076,1.844,1766231.5
2023-02-06 09:00:00,1.844,1.8588,1.8129,1.8235,1098440.4
2023-02-06 10:00:00,1.8234,1.8345,1.7828,1.8102,1359369.7
2023-02-06 11:00:00,1.8102,1.835,1.795,1.8349,1082371.2
2023-02-06 12:00:00,1.8349,1.8498,1.8153,1.8458,1172806.5
2023-02-06 13:00:00,1.8467,1.9669,1.8444,1.9399,6868252.0
2023-02-06 14:00:00,1.9399,1.965,1.9031,1.9312,5762050.3
2023-02-06 15:00:00,1.9312,1.9604,1.8696,1.9588,4061815.3
2023-02-06 16:00:00,1.9592,2.01,1.9233,1.9747,6735234.6
2023-02-06 17:00:00,1.9741,1.9747,1.912,1.9293,2437726.2
2023-02-06 18:00:00,1.9293,1.938,1.8906,1.9109,1641463.3
2023-02-06 19:00:00,1.9107,1.9448,1.899,1.9222,1426515.0
2023-02-06 20:00:00,1.9226,1.9226,1.8718,1.8803,1827880.0
2023-02-06 21:00:00,1.8803,1.8946,1.86,1.8741,1138342.0
2023-02-06 22:00:00,1.8741,1.8967,1.8397,1.8814,1588986.7
2023-02-06 23:00:00,1.8816,1.8816,1.81,1.8777,2447343.5
2023-02-07 00:00:00,1.8777,1.8923,1.8215,1.8797,2477173.0
2023-02-07 01:00:00,1.8799,1.9374,1.8725,1.9107,2924113.3
2023-02-07 02:00:00,1.9106,1.996,1.8963,1.9728,4717654.4
2023-02-07 03:00:00,1.9727,2.0481,1.9607,2.0038,4708533.6
2023-02-07 04:00:00,2.003,2.0375,1.97,1.9739,3116839.6
2023-02-07 05:00:00,1.9753,2.1005,1.9737,2.1005,3473954.0
2023-02-07 06:00:00,2.1005,2.1548,2.058,2.0988,5585205.0
2023-02-07 07:00:00,2.099,2.099,2.021,2.055,2669034.0
2023-02-07 08:00:00,2.0549,2.0717,2.0067,2.0334,2519001.3
2023-02-07 09:00:00,2.0334,2.0853,2.0316,2.0492,1985750.5
2023-02-07 10:00:00,2.0491,2.0949,2.0399,2.0456,1419794.3
2023-02-07 11:00:00,2.045,2.0722,2.0139,2.0289,1423039.1
2023-02-07 12:00:00,2.0292,2.1021,2.0245,2.0929,1773314.8
2023-02-07 13:00:00,2.0929,2.1044,2.0401,2.0597,2119025.0
2023-02-07 14:00:00,2.0599,2.1003,2.0465,2.05,1460311.7
2023-02-07 15:00:00,2.0507,2.0523,1.995,2.008,2281476.0
2023-02-07 16:00:00,2.008,2.0504,1.9921,2.0197,1547377.7
2023-02-07 17:00:00,2.0177,2.1,2.0012,2.0798,1840623.3
2023-02-07 18:00:00,2.0789,2.0998,1.9728,2.0333,2967959.9
2023-02-07 19:00:00,2.0328,2.0856,2.0322,2.0704,1353638.8
2023-02-07 20:00:00,2.0702,2.1,2.0518,2.0885,1302489.5
2023-02-07 21:00:00,2.0885,2.1528,2.0761,2.0938,2352908.0
2023-02-07 22:00:00,2.0946,2.1917,2.0916,2.1884,2305541.2
2023-02-07 23:00:00,2.1884,2.1928,2.128,2.1356,1302219.0
2023-02-08 00:00:00,2.1359,2.152,2.1101,2.1254,1523058.0
2023-02-08 01:00:00,2.1248,2.1371,2.091,2.1236,1568915.9
2023-02-08 02:00:00,2.1223,2.1295,2.0904,2.0904,822843.6
2023-02-08 03:00:00,2.0903,2.1247,2.0871,2.1073,962372.7
2023-02-08 04:00:00,2.105,2.1113,2.0404,2.0512,2159002.4
2023-02-08 05:00:00,2.0502,2.0704,2.0125,2.029,1764412.7
2023-02-08 06:00:00,2.0288,2.0463,1.9947,2.0304,1940350.5
2023-02-08 07:00:00,2.0305,2.0449,2.0049,2.0128,1042450.2
2023-02-08 08:00:00,2.0126,2.0175,1.9071,1.9722,4616242.4
