datetime,open,high,low,close,volume
2024-04-09 10:00:00,6.61,7.5694,6.535,7.3808,7593739.9
2024-04-09 11:00:00,7.3808,7.635,7.0434,7.0903,14314723.0
2024-04-09 12:00:00,7.0939,7.15,6.2742,6.582,24710206.8
2024-04-09 13:00:00,6.582,7.176,6.58,6.7249,16282320.1
2024-04-09 14:00:00,6.7265,6.98,6.625,6.7034,10026269.2
2024-04-09 15:00:00,6.704,6.8892,6.516,6.721,9826532.8
2024-04-09 16:00:00,6.7215,6.759,6.29,6.3966,8630450.8
2024-04-09 17:00:00,6.3966,6.4718,6.052,6.2796,10728152.0
2024-04-09 18:00:00,6.2798,6.4749,6.0822,6.4537,6498990.9
2024-04-09 19:00:00,6.4548,6.5,6.227,6.3676,5288927.1
2024-04-09 20:00:00,6.3696,6.4668,6.185,6.2532,4092018.4
2024-04-09 21:00:00,6.2531,6.4323,6.1628,6.3951,3922384.2
2024-04-09 22:00:00,6.397,6.7755,6.3063,6.5984,7472263.0
2024-04-09 23:00:00,6.5975,6.8208,6.4507,6.5606,6502734.2
2024-04-10 00:00:00,6.5628,6.7355,6.4779,6.5922,4715772.8
2024-04-10 01:00:00,6.5921,6.6062,6.2786,6.5063,4982457.2
2024-04-10 02:00:00,6.5065,6.511,6.0379,6.0921,5603474.5
2024-04-10 03:00:00,6.0923,6.2409,6.09,6.2064,3374803.0
2024-04-10 04:00:00,6.2064,6.2145,6.0387,6.1743,3421962.0
2024-04-10 05:00:00,6.1764,6.4806,6.1435,6.4271,5202976.0
2024-04-10 06:00:00,6.4274,6.4312,6.2307,6.2427,2942955.9
2024-04-10 07:00:00,6.2428,6.45,6.24,6.3523,3156441.0
2024-04-10 08:00:00,6.3524,6.3603,6.1357,6.2245,3588359.9
2024-04-10 09:00:00,6.225,6.2466,6.126,6.211,2411156.6
2024-04-10 10:00:00,6.2119,6.2119,5.8414,5.8977,8912141.1
2024-04-10 11:00:00,5.8964,5.9381,5.82,5.9241,4353140.6
2024-04-10 12:00:00,5.9241,5.976,5.5798,5.7851,8819700.6
2024-04-10 13:00:00,5.7855,5.971,5.69,5.947,5707056.3
2024-04-10 14:00:00,5.9498,5.9498,5.742,5.8186,4743258.6
2024-04-10 15:00:00,5.8204,5.828,5.627,5.6967,3922384.5
2024-04-10 16:00:00,5.6979,5.9599,5.613,5.958,5232638.4
2024-04-10 17:00:00,5.9584,6.12,5.8802,5.9202,4823690.0
2024-04-10 18:00:00,5.9214,6.0199,5.8458,5.8941,3075120.8
2024-04-10 19:00:00,5.8914,6.0788,5.8627,6.0718,2298260.7
2024-04-10 20:00:00,6.0717,6.0748,5.9167,5.94,1757093.4
2024-04-10 21:00:00,5.9386,6.0447,5.84,6.0068,1994034.0
2024-04-10 22:00:00,6.0066,6.08,5.9571,6.0536,2142402.0
2024-04-10 23:00:00,6.0555,6.1773,5.9111,6.1244,3050737.5
2024-04-11 00:00:00,6.1244,6.1264,5.87,5.9161,3025353.3
2024-04-11 01:00:00,5.9155,5.9289,5.65,5.7477,3767834.4
2024-04-11 02:00:00,5.7477,5.7987,5.66,5.781,2347321.4
2024-04-11 03:00:00,5.7809,5.83,5.7236,5.784,1331552.6
2024-04-11 04:00:00,5.7839,5.7856,5.6571,5.7167,1785293.4
2024-04-11 05:00:00,5.7167,5.8259,5.673,5.7183,1581696.3
2024-04-11 06:00:00,5.7187,5.7729,5.564,5.7456,3678468.0
2024-04-11 07:00:00,5.7465,5.9422,5.7375,5.8535,4021822.5
2024-04-11 08:00:00,5.8541,5.9675,5.7854,5.8424,2867280.9
2024-04-11 09:00:00,5.8419,5.8504,5.6409,5.6567,2866811.7
2024-04-11 10:00:00,5.6567,5.6771,5.4573,5.5179,5270785.9
2024-04-11 11:00:00,5.5189,5.535,5.235,5.2715,5888536.3
2024-04-11 12:00:00,5.2716,5.359,5.2033,5.2396,6977094.4
2024-04-11 13:00:00,5.2385,5.2585,5.063,5.1412,7216213.5
2024-04-11 14:00:00,5.1411,5.1728,4.9925,5.1137,7014311.5
2024-04-11 15:00:00,5.1138,5.16,4.9742,5.0023,4563322.4
2024-04-11 16:00:00,5.0032,5.1577,4.9942,5.12,4047038.6
2024-04-11 17:00:00,5.1199,5.18,5.0353,5.0705,3070731.1
2024-04-11 18:00:00,5.0707,5.233,5.04,5.1584,3418926.4
2024-04-11 19:00:00,5.1587,5.2178,5.1096,5.1971,1630983.3
2024-04-11 20:00:00,5.1956,5.2499,5.16,5.1863,1909724.6
2024-04-11 21:00:00,5.1867,5.1988,5.1221,5.1881,1276322.9
2024-04-11 22:00:00,5.188,5.2375,5.1364,5.1563,1253637.0
2024-04-11 23:00:00,5.155,5.1613,5.0747,5.1031,1269653.4
2024-04-12 00:00:00,5.1046,5.25,5.1012,5.1654,2000867.4
2024-04-12 01:00:00,5.165,5.1653,5.0777,5.1225,1107224.1
2024-04-12 02:00:00,5.1217,5.2477,5.1186,5.1719,1871940.2
2024-04-12 03:00:00,5.1729,5.235,5.15,5.1857,1352822.8
2024-04-12 04:00:00,5.1856,5.3033,5.1815,5.2596,2802272.1
2024-04-12 05:00:00,5.2595,5.3317,5.233,5.2807,1804168.4
2024-04-12 06:00:00,5.2801,5.2827,5.0903,5.1656,2543916.1
2024-04-12 07:00:00,5.1658,5.1672,4.9101,4.944,4315745.6
2024-04-12 08:00:00,4.9439,4.9779,4.8115,4.8526,5680614.3
2024-04-12 09:00:00,4.8522,4.8897,4.8001,4.8231,3270508.9
2024-04-12 10:00:00,4.8225,4.9541,4.8225,4.9204,3286236.3
2024-04-12 11:00:00,4.9218,4.9362,4.833,4.8426,2155891.8
2024-04-12 12:00:00,4.8428,4.8515,4.64,4.6934,6875908.6
2024-04-12 13:00:00,4.6934,4.7272,4.5057,4.563,6026762.4
2024-04-12 14:00:00,4.5623,4.6,4.4304,4.4387,5642942.6
2024-04-12 15:00:00,4.4395,4.644,4.4361,4.5227,5100386.6
2024-04-12 16:00:00,4.5218,4.6399,4.4874,4.5922,3763511.9
