datetime,open,high,low,close,volume
2023-02-24 12:00:00,37.24,40.0,37.01,39.46,152720.28
2023-02-24 13:00:00,39.45,39.69,38.08,38.42,170995.28
2023-02-24 14:00:00,38.4,39.73,38.0,39.5,126308.22
2023-02-24 15:00:00,39.52,39.53,36.49,36.85,158228.4
2023-02-24 16:00:00,36.82,39.25,35.91,38.82,166965.26
2023-02-24 17:00:00,38.85,39.36,38.07,38.52,84473.85
2023-02-24 18:00:00,38.52,39.0,38.22,38.71,30139.39
2023-02-24 19:00:00,38.74,39.26,37.74,39.08,48153.42
2023-02-24 20:00:00,39.11,39.5,38.47,39.42,31625.58
2023-02-24 21:00:00,39.43,39.6,37.75,38.13,59842.1
2023-02-24 22:00:00,38.09,38.6,37.55,37.97,27989.15
2023-02-24 23:00:00,37.95,38.44,37.24,37.95,34680.6
2023-02-25 00:00:00,37.95,38.08,36.66,37.21,34265.04
2023-02-25 01:00:00,37.2,38.53,37.19,37.88,30545.09
2023-02-25 02:00:00,37.89,38.49,36.85,36.95,45129.4
2023-02-25 03:00:00,36.95,37.88,36.53,37.81,43446.75
2023-02-25 04:00:00,37.81,38.6,37.35,38.4,57475.12
2023-02-25 05:00:00,38.4,38.9,37.28,37.67,60047.75
2023-02-25 06:00:00,37.68,38.3,36.97,37.33,28163.88
2023-02-25 07:00:00,37.34,37.63,36.74,37.41,35493.89
2023-02-25 08:00:00,37.38,38.53,37.18,37.74,56233.07
2023-02-25 09:00:00,37.73,38.15,37.41,38.12,27488.37
2023-02-25 10:00:00,38.13,39.4,38.11,39.07,235427.61
2023-02-25 11:00:00,39.09,39.9,38.61,39.56,254535.43
2023-02-25 12:00:00,39.58,39.86,38.83,39.04,278813.42
2023-02-25 13:00:00,39.04,39.97,38.8,39.65,153696.55
2023-02-25 14:00:00,39.64,41.7,39.06,40.74,284578.78
2023-02-25 15:00:00,40.74,41.2,40.05,40.63,247030.0
2023-02-25 16:00:00,40.63,41.0,40.1,40.17,130679.3
2023-02-25 17:00:00,40.18,40.7,39.24,39.9,115465.03
2023-02-25 18:00:00,39.92,40.17,39.2,39.58,54758.86
2023-02-25 19:00:00,39.57,39.97,39.27,39.82,40181.79
2023-02-25 20:00:00,39.81,39.93,38.3,38.78,116768.33
2023-02-25 21:00:00,38.79,39.44,38.3,39.4,47818.73
2023-02-25 22:00:00,39.4,41.08,39.14,40.96,76166.5
2023-02-25 23:00:00,40.96,41.1,39.54,40.02,103771.8
2023-02-26 00:00:00,40.04,41.2,39.7,40.98,108685.32
2023-02-26 01:00:00,40.98,41.58,40.68,41.0,156151.19
2023-02-26 02:00:00,41.0,42.4,40.43,42.07,275251.48
2023-02-26 03:00:00,42.05,44.0,41.85,43.73,384407.11
2023-02-26 04:00:00,43.73,44.54,42.5,43.0,336992.15
2023-02-26 05:00:00,43.0,43.28,42.41,42.47,113421.76
2023-02-26 06:00:00,42.49,43.5,42.34,43.31,198320.98
2023-02-26 07:00:00,43.31,43.5,43.0,43.2,124152.3
2023-02-26 08:00:00,43.2,43.22,42.04,42.83,162481.5
2023-02-26 09:00:00,42.83,43.64,42.82,43.14,195691.3
2023-02-26 10:00:00,43.13,43.9,42.92,43.42,141629.15
2023-02-26 11:00:00,43.43,43.6,42.88,43.29,87974.15
2023-02-26 12:00:00,43.28,43.96,42.79,43.42,196745.09
2023-02-26 13:00:00,43.42,44.0,43.09,43.72,130370.03
2023-02-26 14:00:00,43.72,44.52,43.32,43.46,195263.13
2023-02-26 15:00:00,43.43,43.67,43.03,43.32,82935.82
2023-02-26 16:00:00,43.34,43.93,43.2,43.71,68421.02
2023-02-26 17:00:00,43.69,43.96,43.25,43.86,74493.93
2023-02-26 18:00:00,43.89,45.98,43.46,44.89,204617.47
2023-02-26 19:00:00,44.88,45.46,44.6,45.07,108846.5
2023-02-26 20:00:00,45.1,45.5,44.71,44.87,80233.4
2023-02-26 21:00:00,44.88,45.0,44.32,44.49,48923.45
2023-02-26 22:00:00,44.49,44.54,43.69,44.22,72433.1
2023-02-26 23:00:00,44.22,45.0,43.9,44.81,74252.96
2023-02-27 00:00:00,44.81,44.94,43.5,44.08,113469.26
2023-02-27 01:00:00,44.06,44.1,43.0,43.5,93643.01
2023-02-27 02:00:00,43.5,43.88,43.19,43.36,44801.96
2023-02-27 03:00:00,43.37,44.41,43.3,44.16,54401.09
2023-02-27 04:00:00,44.18,44.32,43.93,43.96,36048.97
2023-02-27 05:00:00,43.97,44.01,43.37,43.75,50857.67
2023-02-27 06:00:00,43.75,44.96,43.74,44.73,89690.67
2023-02-27 07:00:00,44.76,47.3,44.42,45.6,301887.68
2023-02-27 08:00:00,45.6,45.99,44.26,44.45,131610.94
2023-02-27 09:00:00,44.47,44.97,44.2,44.58,58474.43
2023-02-27 10:00:00,44.61,44.7,44.0,44.09,49044.32
2023-02-27 11:00:00,44.09,45.44,44.01,45.23,85007.3
2023-02-27 12:00:00,45.24,45.86,44.86,45.51,63658.42
2023-02-27 13:00:00,45.51,47.4,45.45,46.17,175591.5
2023-02-27 14:00:00,46.16,46.5,45.11,45.27,72273.49
2023-02-27 15:00:00,45.3,46.67,44.7,45.99,90734.26
2023-02-27 16:00:00,46.01,47.75,45.42,47.5,140082.47
2023-02-27 17:00:00,47.5,49.0,47.18,48.55,281695.83
2023-02-27 18:00:00,48.55,48.9,46.75,47.89,191329.35
2023-02-27 19:00:00,47.9,49.5,47.82,48.0,170606.32
2023-02-27 20:00:00,47.99,49.6,47.55,49.07,112141.91
2023-02-27 21:00:00,49.06,50.0,48.86,49.25,150597.31
2023-02-27 22:00:00,49.26,49.97,48.71,49.56,100926.47
2023-02-27 23:00:00,49.56,49.88,48.77,49.0,102912.7
2023-02-28 00:00:00,49.01,49.19,48.05,48.49,106851.65
2023-02-28 01:00:00,48.48,49.8,48.41,48.81,134969.22
2023-02-28 02:00:00,48.8,49.01,46.5,47.02,165097.06
2023-02-28 03:00:00,47.02,47.36,45.16,46.63,211837.75
2023-02-28 04:00:00,46.62,46.68,44.79,45.38,155002.98
2023-02-28 05:00:00,45.38,46.7,45.34,46.41,86551.37
2023-02-28 06:00:00,46.4,46.42,45.15,45.42,78642.99
2023-02-28 07:00:00,45.42,45.74,44.34,44.44,95390.26
2023-02-28 08:00:00,44.43,45.89,44.36,45.85,89905.39
2023-02-28 09:00:00,45.83,45.89,44.55,45.32,58323.44
2023-02-28 10:00:00,45.32,45.77,44.8,44.84,46548.66
2023-02-28 11:00:00,44.84,45.63,44.6,44.73,63368.02
2023-02-28 12:00:00,44.72,44.88,43.59,44.43,147180.57
2023-02-28 13:00:00,44.44,44.53,43.22,43.38,74276.73
2023-02-28 14:00:00,43.35,44.35,43.1,43.59,85596.58
2023-02-28 15:00:00,43.57,44.47,43.49,44.39,48836.05
2023-02-28 16:00:00,44.4,44.7,43.6,44.7,41590.06
2023-02-28 17:00:00,44.69,44.75,44.14,44.57,31595.41
2023-02-28 18:00:00,44.57,44.57,42.1,42.78,144468.56
2023-02-28 19:00:00,42.78,42.9,41.01,41.29,120082.06
2023-02-28 20:00:00,41.29,41.9,41.11,41.49,72945.01
2023-02-28 21:00:00,41.49,42.13,40.72,41.93,97208.73
2023-02-28 22:00:00,41.92,42.75,41.52,42.69,86950.78
2023-02-28 23:00:00,42.7,42.76,41.61,41.92,65183.97
2023-03-01 00:00:00,41.92,42.74,40.81,42.63,131275.83
2023-03-01 01:00:00,42.64,44.84,42.21,44.76,152433.53
2023-03-01 02:00:00,44.76,44.93,43.36,44.71,105184.04
2023-03-01 03:00:00,44.7,45.96,44.4,45.63,125378.92
2023-03-01 04:00:00,45.63,46.97,45.5,45.83,207220.51
2023-03-01 05:00:00,45.82,45.96,43.5,44.3,166891.32
2023-03-01 06:00:00,44.31,44.31,43.11,44.09,78499.77
2023-03-01 07:00:00,44.08,44.13,43.21,43.38,46224.66
