datetime,open,high,low,close,volume
2023-11-03 14:00:00,1.259,1.2752,1.2184,1.2317,1190154.0
2023-11-03 15:00:00,1.2316,1.2552,1.2237,1.2337,556650.0
2023-11-03 16:00:00,1.2337,1.2409,1.1864,1.1949,629451.0
2023-11-03 17:00:00,1.1952,1.2233,1.1935,1.2188,376304.0
2023-11-03 18:00:00,1.2178,1.2285,1.2064,1.2171,285896.0
2023-11-03 19:00:00,1.2183,1.2216,1.2085,1.2195,111610.0
2023-11-03 20:00:00,1.219,1.2211,1.2069,1.2143,130723.0
2023-11-03 21:00:00,1.2136,1.2335,1.2109,1.2297,180229.0
2023-11-03 22:00:00,1.2298,1.2405,1.2122,1.223,306655.0
2023-11-03 23:00:00,1.2234,1.2273,1.2132,1.2221,120173.0
2023-11-04 00:00:00,1.2202,1.2208,1.2042,1.2143,113958.0
2023-11-04 01:00:00,1.2146,1.2189,1.2068,1.2159,69605.0
2023-11-04 02:00:00,1.2159,1.2159,1.2016,1.2138,281788.0
2023-11-04 03:00:00,1.2143,1.2339,1.2079,1.2264,398197.0
2023-11-04 04:00:00,1.2263,1.2279,1.2081,1.2145,301119.0
2023-11-04 05:00:00,1.215,1.256,1.2146,1.2534,483444.0
2023-11-04 06:00:00,1.253,1.2595,1.2395,1.2484,281589.0
2023-11-04 07:00:00,1.2482,1.2482,1.2215,1.2256,494983.0
2023-11-04 08:00:00,1.2264,1.245,1.2079,1.2344,550041.0
2023-11-04 09:00:00,1.2353,1.24,1.2231,1.2326,372507.0
2023-11-04 10:00:00,1.233,1.3098,1.2286,1.28,2832317.0
2023-11-04 11:00:00,1.279,1.2969,1.27,1.2725,733934.0
2023-11-04 12:00:00,1.2725,1.332,1.267,1.3268,1245125.0
2023-11-04 13:00:00,1.3262,1.3381,1.2828,1.295,1477815.0
2023-11-04 14:00:00,1.2952,1.2966,1.2731,1.2759,434097.0
2023-11-04 15:00:00,1.2759,1.2972,1.2616,1.2952,491520.0
2023-11-04 16:00:00,1.2947,1.2989,1.2747,1.2764,344338.0
2023-11-04 17:00:00,1.2772,1.2976,1.2766,1.2947,287389.0
2023-11-04 18:00:00,1.2956,1.3121,1.2848,1.3071,576156.0
2023-11-04 19:00:00,1.3068,1.3098,1.2923,1.3,703797.0
2023-11-04 20:00:00,1.3,1.3032,1.2929,1.2981,303726.0
2023-11-04 21:00:00,1.2971,1.3004,1.2909,1.2936,174574.0
2023-11-04 22:00:00,1.2933,1.3028,1.2916,1.2972,747136.0
2023-11-04 23:00:00,1.2974,1.3131,1.2959,1.3101,295638.0
2023-11-05 00:00:00,1.31,1.3137,1.2994,1.3129,248933.0
2023-11-05 01:00:00,1.3131,1.3481,1.311,1.3477,775711.0
2023-11-05 02:00:00,1.3476,1.3544,1.3255,1.3427,764016.0
2023-11-05 03:00:00,1.3426,1.3438,1.3242,1.3348,317501.0
2023-11-05 04:00:00,1.335,1.3394,1.3022,1.3112,419722.0
2023-11-05 05:00:00,1.3111,1.315,1.301,1.3098,260925.0
2023-11-05 06:00:00,1.3099,1.3103,1.2805,1.2886,678607.0
2023-11-05 07:00:00,1.2879,1.322,1.2859,1.321,778232.0
2023-11-05 08:00:00,1.3209,1.4014,1.3181,1.3632,5190985.0
2023-11-05 09:00:00,1.363,1.363,1.323,1.3257,1327985.0
2023-11-05 10:00:00,1.3255,1.3376,1.314,1.3167,650483.0
2023-11-05 11:00:00,1.3167,1.3246,1.3059,1.3145,389733.0
2023-11-05 12:00:00,1.3145,1.3381,1.3105,1.3334,376662.0
2023-11-05 13:00:00,1.3334,1.3399,1.28,1.2828,817281.0
2023-11-05 14:00:00,1.2834,1.3205,1.2793,1.3166,514899.0
2023-11-05 15:00:00,1.3172,1.3213,1.3,1.3105,465531.0
2023-11-05 16:00:00,1.3105,1.3367,1.308,1.3335,422728.0
2023-11-05 17:00:00,1.3336,1.3548,1.3149,1.3164,681856.0
2023-11-05 18:00:00,1.3164,1.3239,1.3142,1.3195,825228.0
2023-11-05 19:00:00,1.3191,1.3238,1.312,1.319,259313.0
2023-11-05 20:00:00,1.3194,1.3352,1.3188,1.3258,172175.0
2023-11-05 21:00:00,1.3247,1.3279,1.3,1.3062,235538.0
2023-11-05 22:00:00,1.306,1.3259,1.3055,1.3252,111746.0
2023-11-05 23:00:00,1.3259,1.334,1.3188,1.3204,198549.0
2023-11-06 00:00:00,1.3204,1.3332,1.3188,1.3294,214113.0
2023-11-06 01:00:00,1.3295,1.3509,1.3237,1.3313,264187.0
2023-11-06 02:00:00,1.3322,1.3402,1.3245,1.3281,193824.0
2023-11-06 03:00:00,1.3282,1.4637,1.32,1.4554,7322313.0
2023-11-06 04:00:00,1.4536,1.5487,1.422,1.5104,10116435.0
2023-11-06 05:00:00,1.5093,1.5191,1.4263,1.471,8868544.0
2023-11-06 06:00:00,1.4719,1.4899,1.4422,1.479,3237848.0
2023-11-06 07:00:00,1.4789,1.5116,1.4653,1.48,5281352.0
2023-11-06 08:00:00,1.4799,1.5049,1.4329,1.4507,3671410.0
2023-11-06 09:00:00,1.4507,1.4676,1.4424,1.4455,1832960.0
2023-11-06 10:00:00,1.4454,1.4827,1.4376,1.4684,1672421.0
2023-11-06 11:00:00,1.468,1.4809,1.4441,1.4546,1379379.0
2023-11-06 12:00:00,1.4543,1.4708,1.442,1.4681,1400665.0
2023-11-06 13:00:00,1.4687,1.655,1.4642,1.6177,28316149.0
