datetime,open,high,low,close,volume
2023-05-10 12:00:00,2.657,2.944,2.6,2.69,242769.0
2023-05-10 13:00:00,2.69,2.697,2.582,2.665,207128.0
2023-05-10 14:00:00,2.666,2.675,2.622,2.647,163484.0
2023-05-10 15:00:00,2.647,2.716,2.644,2.69,199044.0
2023-05-10 16:00:00,2.689,2.711,2.626,2.633,164680.0
2023-05-10 17:00:00,2.633,2.633,2.447,2.542,342298.0
2023-05-10 18:00:00,2.543,2.569,2.51,2.566,111118.0
2023-05-10 19:00:00,2.564,2.589,2.547,2.549,98651.0
2023-05-10 20:00:00,2.55,2.596,2.534,2.585,131371.0
2023-05-10 21:00:00,2.589,2.591,2.536,2.583,81026.0
2023-05-10 22:00:00,2.579,2.601,2.571,2.578,59090.0
2023-05-10 23:00:00,2.578,2.597,2.563,2.567,48469.0
2023-05-11 00:00:00,2.568,2.572,2.542,2.559,98716.0
2023-05-11 01:00:00,2.56,2.6,2.537,2.586,383804.0
2023-05-11 02:00:00,2.586,2.591,2.422,2.422,819738.0
2023-05-11 03:00:00,2.422,2.463,2.39,2.442,702433.0
2023-05-11 04:00:00,2.442,2.465,2.414,2.428,455318.0
2023-05-11 05:00:00,2.428,2.451,2.409,2.426,308854.0
2023-05-11 06:00:00,2.426,2.461,2.411,2.448,494800.0
2023-05-11 07:00:00,2.448,2.811,2.44,2.762,2512664.0
2023-05-11 08:00:00,2.768,2.8,2.624,2.631,2104949.0
2023-05-11 09:00:00,2.631,2.729,2.623,2.672,1081417.0
2023-05-11 10:00:00,2.67,2.681,2.596,2.616,740213.0
2023-05-11 11:00:00,2.616,2.642,2.565,2.566,547852.0
2023-05-11 12:00:00,2.569,2.592,2.51,2.512,649622.0
2023-05-11 13:00:00,2.512,2.528,2.485,2.494,444203.0
2023-05-11 14:00:00,2.493,2.526,2.461,2.466,367221.0
2023-05-11 15:00:00,2.466,2.508,2.455,2.475,335877.0
2023-05-11 16:00:00,2.476,2.479,2.375,2.389,733233.0
2023-05-11 17:00:00,2.388,2.389,2.316,2.336,582403.0
2023-05-11 18:00:00,2.336,2.36,2.304,2.354,301792.0
2023-05-11 19:00:00,2.351,2.443,2.35,2.405,861457.0
2023-05-11 20:00:00,2.405,2.411,2.368,2.402,257683.0
2023-05-11 21:00:00,2.4,2.409,2.38,2.389,142945.0
2023-05-11 22:00:00,2.39,2.415,2.382,2.39,212490.0
2023-05-11 23:00:00,2.391,2.407,2.35,2.389,438835.0
2023-05-12 00:00:00,2.387,2.415,2.368,2.414,300110.0
2023-05-12 01:00:00,2.415,2.415,2.345,2.35,147426.0
2023-05-12 02:00:00,2.351,2.426,2.346,2.406,332543.0
2023-05-12 03:00:00,2.406,2.466,2.389,2.43,937078.0
2023-05-12 04:00:00,2.43,2.508,2.406,2.459,841852.0
2023-05-12 05:00:00,2.458,2.461,2.367,2.41,714874.0
2023-05-12 06:00:00,2.41,2.415,2.336,2.379,367348.0
2023-05-12 07:00:00,2.378,2.395,2.354,2.363,230471.0
2023-05-12 08:00:00,2.363,2.39,2.336,2.342,510742.0
2023-05-12 09:00:00,2.342,2.388,2.338,2.381,421238.0
2023-05-12 10:00:00,2.382,2.382,2.345,2.352,316576.0
2023-05-12 11:00:00,2.351,2.365,2.345,2.354,252461.0
2023-05-12 12:00:00,2.354,2.39,2.344,2.367,267055.0
2023-05-12 13:00:00,2.367,2.383,2.351,2.363,188120.0
2023-05-12 14:00:00,2.363,2.374,2.312,2.312,273088.0
2023-05-12 15:00:00,2.313,2.343,2.302,2.32,357210.0
2023-05-12 16:00:00,2.319,2.325,2.285,2.3,262352.0
2023-05-12 17:00:00,2.3,2.318,2.294,2.304,180534.0
2023-05-12 18:00:00,2.303,2.312,2.29,2.295,124359.0
2023-05-12 19:00:00,2.295,2.334,2.242,2.333,293428.0
2023-05-12 20:00:00,2.334,2.359,2.324,2.341,323087.0
2023-05-12 21:00:00,2.341,2.372,2.341,2.371,198246.0
2023-05-12 22:00:00,2.372,2.386,2.365,2.376,161676.0
2023-05-12 23:00:00,2.376,2.414,2.375,2.409,216168.0
2023-05-13 00:00:00,2.409,2.441,2.375,2.391,311963.0
2023-05-13 01:00:00,2.391,2.397,2.364,2.384,161149.0
2023-05-13 02:00:00,2.385,2.39,2.355,2.366,137832.0
2023-05-13 03:00:00,2.366,2.401,2.349,2.381,284349.0
