datetime,open,high,low,close,volume
2020-02-03 08:00:00,75.81,77.21,75.7,76.66,9094.826
2020-02-03 09:00:00,76.66,76.74,75.98,76.12,10198.387
2020-02-03 10:00:00,76.12,76.6,75.92,76.5,14820.044
2020-02-03 11:00:00,76.5,78.27,76.33,77.44,18219.038
2020-02-03 12:00:00,77.44,77.99,77.35,77.39,13923.253
2020-02-03 13:00:00,77.39,77.6,77.07,77.33,9152.836
2020-02-03 14:00:00,77.35,77.84,76.76,77.76,11864.963
2020-02-03 15:00:00,77.8,77.88,76.68,76.68,13461.709
2020-02-03 16:00:00,76.69,77.81,76.0,77.18,12540.61
2020-02-03 17:00:00,77.18,77.58,77.09,77.14,10014.597
2020-02-03 18:00:00,77.16,77.62,77.1,77.52,10754.611
2020-02-03 19:00:00,77.52,77.7,77.11,77.17,10667.813
2020-02-03 20:00:00,77.17,77.35,76.79,77.09,8537.792
2020-02-03 21:00:00,77.09,77.39,76.96,77.17,7239.277
2020-02-03 22:00:00,77.16,77.26,76.68,76.99,7089.749
2020-02-03 23:00:00,76.99,77.13,76.61,76.72,9491.598
2020-02-04 00:00:00,76.73,77.3,76.32,76.58,10380.633
2020-02-04 01:00:00,76.59,76.8,76.01,76.01,9858.381
2020-02-04 02:00:00,76.01,76.53,76.01,76.28,9854.797
2020-02-04 03:00:00,76.28,76.37,75.9,76.07,9252.859
2020-02-04 04:00:00,76.01,76.12,75.78,75.85,8615.161
2020-02-04 05:00:00,75.89,76.05,75.44,75.97,8449.68
2020-02-04 06:00:00,75.97,76.16,75.46,75.67,8724.712
2020-02-04 07:00:00,75.7,75.75,75.31,75.32,9683.419
2020-02-04 08:00:00,75.32,75.66,75.09,75.21,9557.431
2020-02-04 09:00:00,75.21,75.5,74.08,74.12,9724.482
2020-02-04 10:00:00,74.2,74.54,73.96,74.2,9033.936
2020-02-04 11:00:00,74.18,75.0,73.73,74.58,11168.929
2020-02-04 12:00:00,74.5,74.64,73.73,73.97,10026.58
2020-02-04 13:00:00,74.04,74.46,73.9,74.4,10344.976
2020-02-04 14:00:00,74.39,74.91,73.77,74.17,9460.468
2020-02-04 15:00:00,74.17,75.17,74.11,75.08,12767.616
2020-02-04 16:00:00,75.08,75.37,74.83,75.06,10513.619
2020-02-04 17:00:00,75.11,75.74,74.82,75.62,9199.139
2020-02-04 18:00:00,75.6,75.66,74.91,75.09,8200.503
2020-02-04 19:00:00,75.04,75.11,74.41,74.46,9670.947
2020-02-04 20:00:00,74.46,75.11,74.06,74.95,9988.98
2020-02-04 21:00:00,74.95,75.39,74.84,75.31,9583.519
2020-02-04 22:00:00,75.29,75.48,74.95,75.34,7735.028
2020-02-04 23:00:00,75.32,75.5,75.03,75.27,8937.326
2020-02-05 00:00:00,75.27,75.41,74.88,75.09,8976.264
2020-02-05 01:00:00,75.09,75.2,74.57,74.66,9455.806
2020-02-05 02:00:00,74.68,75.12,74.55,74.98,9416.642
2020-02-05 03:00:00,74.95,75.36,74.82,75.3,8950.732
2020-02-05 04:00:00,75.3,75.53,74.82,75.39,9181.425
2020-02-05 05:00:00,75.38,75.72,75.26,75.42,7681.201
2020-02-05 06:00:00,75.39,75.79,75.22,75.39,8722.476
2020-02-05 07:00:00,75.39,75.91,75.39,75.73,11373.251
2020-02-05 08:00:00,75.73,75.79,75.11,75.4,10397.134
2020-02-05 09:00:00,75.4,75.77,75.3,75.56,9408.594
2020-02-05 10:00:00,75.56,76.5,75.35,76.26,19998.28
2020-02-05 11:00:00,76.28,76.96,76.12,76.84,15060.254
2020-02-05 12:00:00,76.8,77.15,76.47,76.96,11378.988
2020-02-05 13:00:00,77.08,78.24,76.99,78.24,12588.365
2020-02-05 14:00:00,78.24,78.62,77.05,77.69,11664.353
2020-02-05 15:00:00,77.7,78.9,77.31,78.19,15343.897
2020-02-05 16:00:00,78.19,78.49,77.38,78.33,15743.871
2020-02-05 17:00:00,78.33,78.73,78.13,78.33,11307.475
2020-02-05 18:00:00,78.33,79.2,77.97,78.45,14726.364
2020-02-05 19:00:00,78.45,78.73,77.67,77.86,11514.323
2020-02-05 20:00:00,77.87,78.15,77.54,77.75,10265.89
2020-02-05 21:00:00,77.75,78.47,77.75,78.1,12121.274
2020-02-05 22:00:00,78.24,78.28,77.44,77.57,9313.848
2020-02-05 23:00:00,77.57,78.16,77.46,77.87,10714.781
2020-02-06 00:00:00,77.94,78.29,76.28,76.69,12623.715
2020-02-06 01:00:00,76.69,77.58,76.65,77.48,10610.324
2020-02-06 02:00:00,77.48,77.53,77.0,77.26,4714.689
2020-02-06 03:00:00,77.21,78.55,77.01,78.43,4224.379
2020-02-06 04:00:00,78.55,78.55,77.88,78.3,3905.538
2020-02-06 05:00:00,78.3,78.67,78.15,78.3,3751.06
2020-02-06 06:00:00,78.3,78.46,77.91,78.25,4137.987
2020-02-06 07:00:00,78.25,78.8,77.99,78.03,5322.309
2020-02-06 08:00:00,78.03,78.97,77.97,78.5,6339.729
2020-02-06 09:00:00,78.5,79.06,77.98,79.05,4920.738
2020-02-06 10:00:00,79.05,79.89,78.89,79.51,8891.44
2020-02-06 11:00:00,79.47,80.11,78.95,79.88,7249.446
2020-02-06 12:00:00,79.9,80.23,79.4,79.64,9222.997
2020-02-06 13:00:00,79.68,79.86,77.23,79.15,9400.846
2020-02-06 14:00:00,79.12,80.18,78.59,79.77,7596.346
2020-02-06 15:00:00,79.78,79.84,78.81,79.18,5165.672
2020-02-06 16:00:00,79.18,79.36,78.23,78.9,5701.934
2020-02-06 17:00:00,78.96,79.39,78.59,78.76,2479.481
2020-02-06 18:00:00,78.76,78.85,78.04,78.32,2302.859
2020-02-06 19:00:00,78.32,78.44,77.97,78.32,1985.968
2020-02-06 20:00:00,78.32,78.73,77.98,78.66,3170.517
2020-02-06 21:00:00,78.68,78.75,77.94,78.39,2157.14
2020-02-06 22:00:00,78.39,78.8,77.79,77.87,755.618
2020-02-06 23:00:00,77.88,78.55,77.6,78.39,3725.162
2020-02-07 00:00:00,78.38,79.68,78.36,79.29,5466.866
2020-02-07 01:00:00,79.29,80.86,79.05,80.09,11169.757
2020-02-07 02:00:00,80.08,80.38,79.76,79.81,5024.676
2020-02-07 03:00:00,79.83,80.24,79.27,79.47,8150.952
2020-02-07 04:00:00,79.44,79.68,78.43,79.14,6432.759
2020-02-07 05:00:00,79.14,79.72,79.06,79.44,6376.841
2020-02-07 06:00:00,79.4,79.68,79.02,79.67,8697.226
2020-02-07 07:00:00,79.68,80.87,79.38,80.75,7097.774
2020-02-07 08:00:00,80.75,80.83,79.99,80.17,7340.217
2020-02-07 09:00:00,80.17,80.23,79.92,80.01,5112.209
2020-02-07 10:00:00,80.0,80.52,79.99,80.25,4168.658
2020-02-07 11:00:00,80.25,81.01,79.93,79.93,10280.632
2020-02-07 12:00:00,79.94,80.17,79.41,79.75,5132.878
2020-02-07 13:00:00,79.7,80.25,79.68,80.13,3494.561
2020-02-07 14:00:00,80.13,80.57,80.12,80.26,3652.526
2020-02-07 15:00:00,80.18,80.81,80.16,80.81,6727.389
2020-02-07 16:00:00,80.81,81.0,79.79,80.24,9108.485
2020-02-07 17:00:00,80.24,80.36,79.85,80.03,4898.606
2020-02-07 18:00:00,80.03,80.33,79.68,80.21,4228.991
2020-02-07 19:00:00,80.16,80.16,79.56,79.83,2777.103
2020-02-07 20:00:00,79.93,79.97,78.38,78.91,7326.631
2020-02-07 21:00:00,78.91,79.1,78.5,78.93,6948.948
2020-02-07 22:00:00,78.93,79.76,78.93,79.3,2867.653
2020-02-07 23:00:00,79.29,79.96,79.29,79.63,3339.201
2020-02-08 00:00:00,79.63,79.71,78.74,79.0,3531.703
2020-02-08 01:00:00,79.05,79.1,78.25,78.37,4072.366
2020-02-08 02:00:00,78.38,78.47,77.36,77.48,3470.915
2020-02-08 03:00:00,77.48,77.58,76.84,77.52,3879.143
