datetime,open,high,low,close,volume
2020-02-06 08:00:00,2.182,2.224,2.174,2.197,165498.4
2020-02-06 09:00:00,2.197,2.208,2.176,2.204,89877.5
2020-02-06 10:00:00,2.204,2.224,2.199,2.214,80969.9
2020-02-06 11:00:00,2.214,2.231,2.195,2.197,191581.7
2020-02-06 12:00:00,2.198,2.222,2.195,2.214,132860.5
2020-02-06 13:00:00,2.214,2.22,2.15,2.162,188704.0
2020-02-06 14:00:00,2.162,2.197,2.122,2.172,223005.4
2020-02-06 15:00:00,2.175,2.192,2.151,2.19,114899.9
2020-02-06 16:00:00,2.188,2.206,2.175,2.185,130640.2
2020-02-06 17:00:00,2.185,2.206,2.175,2.177,53945.8
2020-02-06 18:00:00,2.177,2.188,2.163,2.171,42709.0
2020-02-06 19:00:00,2.171,2.174,2.15,2.158,44433.1
2020-02-06 20:00:00,2.158,2.185,2.151,2.168,37912.1
2020-02-06 21:00:00,2.168,2.186,2.168,2.173,57332.7
2020-02-06 22:00:00,2.173,2.185,2.17,2.176,28513.7
2020-02-06 23:00:00,2.176,2.186,2.163,2.177,39146.9
2020-02-07 00:00:00,2.177,2.207,2.177,2.194,77442.1
2020-02-07 01:00:00,2.194,2.2,2.183,2.188,50654.3
2020-02-07 02:00:00,2.188,2.218,2.188,2.207,61517.9
2020-02-07 03:00:00,2.207,2.209,2.18,2.196,66668.1
2020-02-07 04:00:00,2.196,2.206,2.174,2.191,105082.9
2020-02-07 05:00:00,2.191,2.193,2.176,2.182,33396.4
2020-02-07 06:00:00,2.182,2.199,2.182,2.184,52965.0
2020-02-07 07:00:00,2.184,2.193,2.179,2.186,58945.8
2020-02-07 08:00:00,2.186,2.213,2.185,2.2,109871.4
2020-02-07 09:00:00,2.2,2.262,2.18,2.257,210116.8
2020-02-07 10:00:00,2.256,2.297,2.241,2.25,226750.3
2020-02-07 11:00:00,2.25,2.288,2.236,2.246,111699.6
2020-02-07 12:00:00,2.246,2.247,2.172,2.18,179418.7
2020-02-07 13:00:00,2.18,2.203,2.174,2.193,50141.5
2020-02-07 14:00:00,2.196,2.208,2.19,2.202,92324.1
2020-02-07 15:00:00,2.202,2.214,2.19,2.19,66255.9
2020-02-07 16:00:00,2.192,2.202,2.181,2.193,60516.3
2020-02-07 17:00:00,2.193,2.2,2.176,2.182,50889.7
2020-02-07 18:00:00,2.182,2.213,2.18,2.197,87113.3
2020-02-07 19:00:00,2.197,2.228,2.197,2.225,67537.7
2020-02-07 20:00:00,2.227,2.227,2.185,2.194,110753.6
2020-02-07 21:00:00,2.196,2.198,2.18,2.187,63508.5
2020-02-07 22:00:00,2.187,2.217,2.186,2.214,75185.3
2020-02-07 23:00:00,2.214,2.218,2.194,2.195,64137.5
2020-02-08 00:00:00,2.196,2.208,2.184,2.194,59422.0
2020-02-08 01:00:00,2.193,2.195,2.154,2.164,110579.6
2020-02-08 02:00:00,2.165,2.166,2.05,2.069,275936.9
2020-02-08 03:00:00,2.07,2.105,2.01,2.098,244601.7
2020-02-08 04:00:00,2.1,2.13,2.085,2.125,121364.8
2020-02-08 05:00:00,2.124,2.158,2.111,2.151,167308.4
2020-02-08 06:00:00,2.151,2.159,2.136,2.138,90732.7
2020-02-08 07:00:00,2.138,2.139,2.082,2.1,142236.5
2020-02-08 08:00:00,2.1,2.161,2.1,2.147,152956.1
