datetime,open,high,low,close,volume
2023-04-13 02:00:00,6.882,7.391,6.882,7.27,151398.4
2023-04-13 03:00:00,7.264,7.265,7.073,7.144,166110.4
2023-04-13 04:00:00,7.147,7.161,6.93,6.949,114305.9
2023-04-13 05:00:00,6.945,6.945,6.677,6.728,191981.0
2023-04-13 06:00:00,6.73,6.874,6.704,6.76,161791.4
2023-04-13 07:00:00,6.764,6.99,6.744,6.92,161776.8
2023-04-13 08:00:00,6.923,7.035,6.818,7.034,125286.1
2023-04-13 09:00:00,7.033,7.039,6.937,6.97,83028.4
2023-04-13 10:00:00,6.968,6.989,6.898,6.901,61913.0
2023-04-13 11:00:00,6.901,6.981,6.895,6.931,65381.0
2023-04-13 12:00:00,6.931,6.952,6.897,6.916,44594.3
2023-04-13 13:00:00,6.912,6.932,6.745,6.795,82537.7
2023-04-13 14:00:00,6.8,6.946,6.782,6.93,69080.8
2023-04-13 15:00:00,6.93,6.962,6.846,6.921,99433.8
2023-04-13 16:00:00,6.922,6.996,6.846,6.89,92905.4
2023-04-13 17:00:00,6.886,6.95,6.868,6.898,53551.2
2023-04-13 18:00:00,6.894,6.937,6.845,6.88,58616.8
2023-04-13 19:00:00,6.882,6.889,6.82,6.841,41091.8
2023-04-13 20:00:00,6.841,6.88,6.8,6.817,41931.8
2023-04-13 21:00:00,6.818,6.863,6.797,6.815,27892.7
2023-04-13 22:00:00,6.814,6.861,6.766,6.845,40385.0
2023-04-13 23:00:00,6.846,7.123,6.846,7.004,181532.6
2023-04-14 00:00:00,6.991,7.089,6.932,6.995,117910.3
2023-04-14 01:00:00,7.001,7.188,6.993,7.067,124485.1
2023-04-14 02:00:00,7.068,7.107,6.958,6.984,86038.0
2023-04-14 03:00:00,6.98,7.074,6.936,7.037,77475.1
2023-04-14 04:00:00,7.036,7.24,7.014,7.144,100523.2
2023-04-14 05:00:00,7.144,7.155,7.038,7.046,52051.2
2023-04-14 06:00:00,7.046,7.08,6.975,6.979,42597.2
2023-04-14 07:00:00,6.975,6.984,6.784,6.794,137105.4
2023-04-14 08:00:00,6.796,6.886,6.778,6.869,83276.3
2023-04-14 09:00:00,6.866,7.032,6.85,7.029,153164.0
2023-04-14 10:00:00,7.029,7.12,6.962,6.979,94925.7
2023-04-14 11:00:00,6.976,7.15,6.942,7.099,70274.7
2023-04-14 12:00:00,7.098,7.5,7.065,7.268,331441.5
2023-04-14 13:00:00,7.268,7.512,7.203,7.325,248100.4
2023-04-14 14:00:00,7.322,8.483,7.21,8.252,2493885.6
2023-04-14 15:00:00,8.251,8.65,7.643,7.778,2691463.6
2023-04-14 16:00:00,7.777,8.047,7.515,7.962,880665.5
2023-04-14 17:00:00,7.956,8.321,7.866,8.166,557289.0
2023-04-14 18:00:00,8.161,8.512,7.977,8.297,908970.7
2023-04-14 19:00:00,8.3,8.456,8.1,8.311,468514.1
2023-04-14 20:00:00,8.311,8.321,8.001,8.022,340276.4
2023-04-14 21:00:00,8.022,8.098,7.896,8.05,301752.0
2023-04-14 22:00:00,8.05,8.093,7.925,8.024,148459.0
2023-04-14 23:00:00,8.031,8.142,7.931,8.0,150266.8
2023-04-15 00:00:00,8.0,8.038,7.669,7.686,334004.0
2023-04-15 01:00:00,7.689,8.1,7.688,7.961,231440.2
2023-04-15 02:00:00,7.96,8.172,7.876,8.046,386706.3
2023-04-15 03:00:00,8.045,8.045,7.788,7.857,184323.6
2023-04-15 04:00:00,7.86,7.888,7.733,7.831,111393.0
2023-04-15 05:00:00,7.831,8.26,7.83,8.224,373577.5
2023-04-15 06:00:00,8.215,8.229,7.9,7.934,402869.0
2023-04-15 07:00:00,7.934,7.953,7.777,7.851,243443.4
2023-04-15 08:00:00,7.85,7.866,7.747,7.846,199404.9
