datetime,open,high,low,close,volume
2020-02-05 08:00:00,65.99,66.0,64.77,65.38,2361.295
2020-02-05 09:00:00,65.38,65.77,65.38,65.54,2830.144
2020-02-05 10:00:00,65.54,68.06,65.54,67.68,12101.578
2020-02-05 11:00:00,67.68,69.18,67.12,68.67,13181.67
2020-02-05 12:00:00,68.61,69.85,68.26,68.51,7705.983
2020-02-05 13:00:00,68.51,69.78,68.05,69.28,6590.713
2020-02-05 14:00:00,69.28,70.08,69.18,69.62,3803.726
2020-02-05 15:00:00,69.62,70.0,69.14,69.57,3488.538
2020-02-05 16:00:00,69.6,71.7,69.19,71.41,8485.561
2020-02-05 17:00:00,71.36,71.95,71.31,71.7,3129.616
2020-02-05 18:00:00,71.7,73.26,71.26,71.71,8298.139
2020-02-05 19:00:00,71.81,72.0,70.7,70.81,3005.432
2020-02-05 20:00:00,70.82,71.3,70.26,70.65,2715.646
2020-02-05 21:00:00,70.65,71.75,70.62,71.17,2123.683
2020-02-05 22:00:00,71.17,71.64,70.8,71.44,1164.298
2020-02-05 23:00:00,71.42,71.72,70.44,71.22,2812.317
2020-02-06 00:00:00,71.22,71.4,69.57,70.18,3521.795
2020-02-06 01:00:00,70.18,71.5,70.18,71.32,2531.706
2020-02-06 02:00:00,71.32,71.69,70.72,71.08,1458.048
2020-02-06 03:00:00,71.1,72.87,70.78,72.8,4281.974
2020-02-06 04:00:00,72.8,73.47,72.72,72.72,2462.32
2020-02-06 05:00:00,72.72,73.0,72.46,72.61,1655.911
2020-02-06 06:00:00,72.61,72.7,71.7,72.3,2357.163
2020-02-06 07:00:00,72.3,72.72,71.81,72.06,1694.735
2020-02-06 08:00:00,72.07,72.6,71.77,71.85,1495.317
2020-02-06 09:00:00,71.87,72.04,71.35,71.69,1605.451
2020-02-06 10:00:00,71.69,72.23,71.63,72.19,1359.017
2020-02-06 11:00:00,72.19,72.29,71.59,72.09,1460.864
2020-02-06 12:00:00,72.09,72.85,71.95,72.0,2923.492
2020-02-06 13:00:00,72.0,72.06,67.76,69.73,10465.237
2020-02-06 14:00:00,69.61,71.07,69.4,70.38,4991.572
2020-02-06 15:00:00,70.43,70.72,69.74,70.08,2161.331
2020-02-06 16:00:00,70.08,70.36,68.78,69.57,3508.231
2020-02-06 17:00:00,69.57,70.42,69.38,69.72,2660.146
2020-02-06 18:00:00,69.72,69.91,69.34,69.46,2830.936
2020-02-06 19:00:00,69.46,69.83,69.24,69.35,1859.123
2020-02-06 20:00:00,69.35,70.04,69.29,70.03,1587.054
2020-02-06 21:00:00,70.03,70.76,69.64,70.4,4097.113
2020-02-06 22:00:00,70.41,70.59,69.4,69.66,2478.353
2020-02-06 23:00:00,69.58,70.71,69.1,70.17,3842.271
2020-02-07 00:00:00,70.21,70.93,70.18,70.86,2339.267
2020-02-07 01:00:00,70.86,72.03,70.53,71.56,6672.041
2020-02-07 02:00:00,71.54,72.25,71.23,71.37,4417.14
2020-02-07 03:00:00,71.38,71.59,70.04,70.1,4638.445
2020-02-07 04:00:00,70.1,70.86,69.69,70.44,4535.476
2020-02-07 05:00:00,70.44,71.19,70.04,70.16,4208.897
2020-02-07 06:00:00,70.28,70.81,69.69,69.81,4764.501
2020-02-07 07:00:00,69.81,70.04,69.28,69.65,3650.599
2020-02-07 08:00:00,69.65,70.19,69.0,69.35,7103.808
2020-02-07 09:00:00,69.35,70.0,69.35,69.6,5175.32
2020-02-07 10:00:00,69.6,70.49,69.6,69.95,3277.22
2020-02-07 11:00:00,70.0,70.05,68.98,68.99,5622.498
2020-02-07 12:00:00,69.03,69.66,68.03,68.7,10179.331
2020-02-07 13:00:00,68.7,69.49,68.43,68.78,4403.959
2020-02-07 14:00:00,68.77,69.5,68.75,68.99,3166.966
2020-02-07 15:00:00,68.99,69.24,68.85,68.9,5259.009
2020-02-07 16:00:00,68.92,70.03,68.76,68.9,8401.446
2020-02-07 17:00:00,68.89,69.28,68.75,68.9,1642.607
2020-02-07 18:00:00,68.91,69.18,68.91,69.07,2018.438
2020-02-07 19:00:00,69.07,69.11,68.67,68.74,1751.107
2020-02-07 20:00:00,68.74,68.86,68.57,68.57,1584.507
2020-02-07 21:00:00,68.57,68.7,68.35,68.45,1281.652
2020-02-07 22:00:00,68.45,68.73,68.31,68.7,601.255
2020-02-07 23:00:00,68.7,69.17,68.59,68.59,1477.354
2020-02-08 00:00:00,68.61,69.02,68.3,68.36,2338.066
2020-02-08 01:00:00,68.37,68.52,68.04,68.18,2057.943
2020-02-08 02:00:00,68.18,68.43,66.85,67.17,5122.482
2020-02-08 03:00:00,67.17,67.2,66.0,66.99,4964.108
2020-02-08 04:00:00,66.99,69.78,66.94,69.24,6865.561
2020-02-08 05:00:00,69.24,72.34,69.18,70.67,13609.525
2020-02-08 06:00:00,70.8,71.77,69.88,70.5,5854.648
2020-02-08 07:00:00,70.5,71.43,70.06,70.76,4686.957
2020-02-08 08:00:00,70.76,71.8,70.76,71.3,4967.688
2020-02-08 09:00:00,71.3,71.49,70.76,70.85,1991.834
2020-02-08 10:00:00,70.88,71.66,70.85,70.85,5395.88
2020-02-08 11:00:00,70.85,71.24,70.39,70.97,2884.445
2020-02-08 12:00:00,70.97,71.54,70.97,71.12,2092.413
2020-02-08 13:00:00,71.12,71.39,70.01,70.52,5122.304
2020-02-08 14:00:00,70.52,70.81,70.0,70.28,2860.005
2020-02-08 15:00:00,70.3,70.7,70.15,70.15,1007.439
2020-02-08 16:00:00,70.15,70.62,70.15,70.58,2372.835
2020-02-08 17:00:00,70.58,70.6,69.88,70.0,2555.097
2020-02-08 18:00:00,70.0,71.35,69.65,70.96,4331.097
2020-02-08 19:00:00,70.96,71.34,70.46,71.04,2543.821
2020-02-08 20:00:00,71.04,71.12,70.43,71.08,1699.956
2020-02-08 21:00:00,71.08,71.31,70.6,70.65,2548.819
2020-02-08 22:00:00,70.63,70.65,70.09,70.38,1019.658
2020-02-08 23:00:00,70.38,70.45,70.08,70.13,661.446
2020-02-09 00:00:00,70.14,71.33,70.14,71.06,3631.096
2020-02-09 01:00:00,71.08,71.11,70.51,70.77,1311.663
2020-02-09 02:00:00,70.77,72.1,70.48,72.0,2771.719
2020-02-09 03:00:00,71.77,72.0,70.66,71.05,4689.239
2020-02-09 04:00:00,71.07,71.31,70.46,71.03,7582.82
2020-02-09 05:00:00,71.03,71.46,70.76,71.26,2929.515
2020-02-09 06:00:00,71.26,72.38,71.01,72.15,2880.062
2020-02-09 07:00:00,72.15,73.1,72.15,72.23,6242.289
2020-02-09 08:00:00,72.23,72.29,71.62,71.78,3488.118
2020-02-09 09:00:00,71.8,71.8,70.89,71.26,4904.432
2020-02-09 10:00:00,71.26,71.69,71.0,71.6,2592.236
2020-02-09 11:00:00,71.6,71.7,71.13,71.26,2031.148
2020-02-09 12:00:00,71.26,71.59,71.13,71.16,1842.758
2020-02-09 13:00:00,71.16,71.31,70.42,70.42,2630.724
2020-02-09 14:00:00,70.42,71.36,70.0,70.21,3157.212
2020-02-09 15:00:00,70.22,70.5,68.85,70.14,7219.056
2020-02-09 16:00:00,70.14,71.0,70.06,70.32,2933.428
2020-02-09 17:00:00,70.32,70.99,70.06,70.11,1915.483
2020-02-09 18:00:00,70.11,70.29,69.79,69.99,1919.708
2020-02-09 19:00:00,69.99,70.37,69.91,70.22,1365.339
2020-02-09 20:00:00,70.23,70.23,69.51,69.7,1204.285
2020-02-09 21:00:00,69.7,70.43,69.7,70.34,940.902
2020-02-09 22:00:00,70.34,71.0,70.29,70.82,1484.146
2020-02-09 23:00:00,70.82,71.44,70.64,71.43,1911.835
2020-02-10 00:00:00,71.43,71.65,70.63,71.26,3616.388
2020-02-10 01:00:00,71.26,71.58,71.0,71.17,2605.426
2020-02-10 02:00:00,71.16,71.46,70.89,71.23,2447.899
2020-02-10 03:00:00,71.23,71.36,70.23,70.44,2720.783
2020-02-10 04:00:00,70.44,70.53,69.56,69.95,1443.243
2020-02-10 05:00:00,69.95,70.6,68.19,68.76,4102.956
2020-02-10 06:00:00,68.75,70.07,68.6,69.5,5089.534
2020-02-10 07:00:00,69.5,70.59,69.48,70.12,2589.062
2020-02-10 08:00:00,70.08,70.38,68.84,69.17,4112.717
2020-02-10 09:00:00,69.17,69.23,68.0,68.75,3818.011
2020-02-10 10:00:00,68.75,69.45,68.18,68.59,3242.15
2020-02-10 11:00:00,68.59,68.9,68.38,68.67,2943.368
2020-02-10 12:00:00,68.8,69.17,68.42,68.99,1611.744
2020-02-10 13:00:00,68.99,69.26,68.66,68.83,3474.935
2020-02-10 14:00:00,68.83,69.78,68.65,69.55,2776.448
2020-02-10 15:00:00,69.57,70.45,68.93,69.71,5091.106
2020-02-10 16:00:00,69.71,70.19,69.04,69.53,4296.627
2020-02-10 17:00:00,69.53,69.74,69.1,69.35,3226.471
2020-02-10 18:00:00,69.35,70.45,68.9,70.22,3526.084
2020-02-10 19:00:00,70.25,70.49,69.67,69.99,7330.279
2020-02-10 20:00:00,69.99,70.24,69.66,69.94,2260.394
2020-02-10 21:00:00,69.94,70.05,69.77,70.01,517.696
2020-02-10 22:00:00,70.01,70.16,69.74,69.8,731.109
2020-02-10 23:00:00,69.8,70.29,69.8,69.9,2538.971
2020-02-11 00:00:00,69.9,70.26,69.57,69.8,3466.423
2020-02-11 01:00:00,69.8,69.99,69.25,69.65,2053.729
2020-02-11 02:00:00,69.65,69.74,69.0,69.16,2371.825
2020-02-11 03:00:00,69.16,69.45,68.69,68.72,1791.006
2020-02-11 04:00:00,68.72,68.82,68.34,68.48,1696.22
2020-02-11 05:00:00,68.48,69.09,68.37,68.8,2659.185
